time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025135,607.3,1068.7,1669.3,617.3,2461.5,179.8,599.3,905.9,2307.8,0,59.6,-200
0.027135,627.7,696.1,1686.4,500.7,2466.0,209.5,599.2,906.2,2307.8,0,59.7,-200
0.029135,635.3,549.7,1672.7,440.5,2468.7,264.2,599.2,906.7,2308,0,59.8,-200
0.031135,649.3,504.7,1632.9,414.4,2471.3,320.9,599.1,907.4,2308.1,0,60,-200
0.033135,672.5,484.7,1581.9,375.0,2482.9,364.1,599,908.3,2308.4,0,60.3,-200
0.035135,686.5,446.4,1549.9,317.4,2512.3,403.5,598.9,909.3,2308.6,0,60.6,-200
0.037135,675.1,415.1,1539.5,277.8,2547.7,420.4,598.7,910.6,2309,0,60.8,-200
0.039135,643.6,391.8,1533.3,259.8,2574.8,412.7,598.6,912,2309.4,0,61,-203.3
0.041135,603.9,370.7,1522.9,258.7,2593.7,395.5,598.4,913.7,2309.8,0,61.2,-209.8
0.043135,569.4,363.6,1502.4,276.3,2604.3,381.3,598.2,915.5,2310.3,0,61.9,-214.7
0.045135,560.1,400.4,1455.5,354.3,2599.7,388.1,597.9,917.6,2310.8,0,63.6,-213
0.047135,635.1,476.9,1301.4,678.8,2542.0,416.7,597.7,919.8,2311.4,0,65.8,-200
0.049135,752.2,858.4,837.3,482.6,2447.2,293.7,597.4,922.2,2312,0,68.4,-169
0.051135,563.7,665.7,872.1,275.9,2427.4,173.0,597.1,924.8,2312.7,121.3,70.8,-123.4
0.053135,512.7,464.7,885.6,208.3,2429.4,124.4,596.8,927.6,2313.4,120.8,72.9,-72.8
0.055135,485.6,347.7,890.9,166.8,2436.5,100.1,596.5,930.6,2314.2,120.4,74.7,-27.2
0.057135,470.6,287.2,891.0,148.9,2445.5,85.8,596.1,933.7,2315,119.9,76.2,3.5
0.059135,465.9,258.4,886.8,154.3,2452.2,75.3,595.7,937.1,2315.8,119.4,77.6,16
0.061135,468.2,235.8,876.9,176.7,2454.2,66.4,595.3,940.6,2316.8,118.8,78.8,16.8
0.063135,470.4,211.7,865.8,198.3,2454.9,60.1,594.9,944.3,2317.7,118.3,79.8,11.1
0.065135,474.4,200.8,860.0,225.1,2459.8,59.8,594.5,948.2,2318.7,117.8,80.6,4
0.067135,488.5,217.6,860.8,276.8,2469.8,66.8,594,952.3,2319.8,117.2,81.3,0.9
0.069135,511.8,252.7,859.5,333.2,2478.1,73.3,593.5,956.6,2320.9,116.7,81.9,2
0.071135,527.9,281.3,854.4,342.6,2480.5,72.1,593,961,2322.1,116.1,82.3,3.9
0.073135,524.3,280.1,855.2,308.9,2479.2,66.9,592.5,965.6,2323.3,115.6,82.7,6
0.075135,519.4,260.6,859.0,285.5,2476.9,64.7,591.9,970.4,2324.5,115.1,83.1,8
0.077135,533.5,245.5,861.9,313.7,2474.9,68.4,591.4,975.4,2325.8,114.5,83.5,9.4
0.079135,554.3,212.7,873.2,365.7,2473.2,70.4,590.8,980.5,2327.1,114,83.8,10
0.081135,555.9,169.7,891.5,360.3,2471.2,65.7,590.2,985.9,2328.5,113.5,84.1,10.2
0.083135,547.3,140.1,901.1,319.1,2468.9,61.1,589.6,991.3,2329.9,113.1,84.4,10.2
0.085135,542.4,124.5,909.7,299.4,2465.6,63.1,589,997,2331.4,112.6,84.6,10.2
