time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025979,670.9,656.8,1512.3,457.4,2463.9,442.3,567.7,991.5,2392.3,0,58.8,-203.1
0.027979,617.7,573.0,1481.4,374.2,2477.3,433.7,567.7,991.8,2392.4,0,59.3,-209.4
0.029979,589.5,523.0,1448.4,361.3,2497.1,465.6,567.6,992.3,2392.5,0,59.5,-214.1
0.031979,572.8,508.3,1413.9,394.5,2519.9,520.3,567.5,992.9,2392.6,0,59.6,-212.5
0.033979,559.9,513.3,1383.2,460.8,2536.5,583.9,567.4,993.7,2392.8,0,60.2,-200
0.035979,556.1,552.8,1361.3,600.6,2531.0,688.4,567.3,994.7,2393,0,61.2,-170.4
0.037979,608.4,695.2,1253.1,990.7,2446.8,864.5,567.1,995.9,2393.2,0,62.8,-126.8
0.039979,197.7,2125.7,851.6,414.9,2343.6,660.1,566.9,997.3,2393.5,0,65.3,-78.5
0.041979,238.3,1601.4,850.1,249.9,2407.9,418.1,566.7,998.8,2393.8,0,67.8,-34.5
0.043979,454.1,967.5,857.5,219.4,2441.7,268.6,566.5,1000.5,2394.1,0,70.1,-4.1
0.045979,477.7,597.1,877.0,199.5,2451.9,187.3,566.2,1002.4,2394.5,0,72,9.9
0.047979,467.7,411.9,890.2,172.0,2454.7,146.8,565.9,1004.5,2394.9,0,73.7,13.7
0.049979,459.3,307.8,896.2,159.6,2457.2,124.8,565.6,1006.7,2395.3,0,75.2,11.5
0.051979,459.8,256.0,898.2,182.5,2462.6,111.7,565.3,1009.2,2395.8,0,76.6,7.4
0.053979,463.7,214.3,897.0,234.7,2468.0,98.6,564.9,1011.8,2396.3,0,77.8,5.7
0.055979,462.8,174.5,891.1,269.5,2470.6,84.5,564.6,1014.5,2396.9,112.2,78.8,6.3
0.057979,460.8,151.4,888.3,253.0,2470.0,73.6,564.2,1017.5,2397.4,111.9,79.6,6.2
0.059979,467.3,153.0,893.1,232.6,2465.7,67.3,563.7,1020.6,2398.1,111.6,80.2,5.8
0.061979,483.7,177.6,897.8,234.0,2459.8,63.0,563.3,1023.9,2398.7,111.3,80.7,5.4
0.063979,499.2,200.2,897.9,238.5,2455.0,57.8,562.8,1027.4,2399.4,111,81,5.4
0.065979,504.2,205.7,896.2,243.3,2451.8,53.7,562.3,1031,2400.1,110.7,81.3,5.8
0.067979,510.3,214.3,895.2,285.1,2449.8,55.1,561.8,1034.8,2400.9,110.4,81.4,6.4
0.069979,536.8,235.1,895.5,422.5,2448.2,62.0,561.3,1038.8,2401.6,110,81.6,7.1
0.071979,563.7,220.2,910.6,584.1,2446.0,65.5,560.7,1042.9,2402.5,109.7,81.7,7.8
0.073979,562.6,187.8,937.9,584.2,2443.7,60.3,560.1,1047.2,2403.3,109.4,81.8,8.5
0.075979,550.1,160.9,953.8,506.2,2443.4,52.1,559.5,1051.7,2404.2,109,81.9,9.3
0.077979,545.4,149.3,967.5,490.5,2445.6,48.6,558.9,1056.3,2405.1,108.7,81.9,10.1
0.079979,553.6,155.7,991.2,552.7,2447.5,49.5,558.2,1061.1,2406.1,108.4,82,10.9
0.081979,564.0,167.4,1009.1,588.3,2445.2,48.0,557.6,1066.1,2407,108,82.1,11.6
0.083979,561.8,164.6,1014.1,533.8,2440.0,42.3,556.9,1071.2,2408.1,107.7,82.1,12.2
0.085979,549.8,143.1,1016.5,442.0,2432.6,35.8,556.2,1076.4,2409.1,107.4,82.1,12.5
0.087979,542.7,124.6,1024.5,378.5,2422.2,33.1,555.4,1081.9,2410.2,107.1,82.1,12.6
0.089979,544.5,124.3,1038.0,339.6,2406.5,34.6,554.7,1087.4,2411.3,106.8,82.1,12.7
0.091979,548.8,137.0,1042.8,303.9,2392.0,36.3,553.9,1093.1,2412.4,106.5,82,12.7
0.093979,546.8,140.5,1040.3,265.6,2383.6,35.8,553.1,1099,2413.6,106.2,81.9,12.7
0.095979,542.1,133.7,1039.2,242.5,2380.4,35.7,552.3,1105,2414.8,106,81.9,12.7
0.097979,544.8,141.4,1045.0,254.4,2378.9,38.8,551.5,1111.2,2416,105.7,81.8,12.6
0.099979,554.0,169.5,1052.3,274.1,2374.7,42.3,550.7,1117.5,2417.3,105.5,81.8,12.6
0.101979,555.7,186.3,1054.4,259.9,2369.1,41.6,549.8,1123.9,2418.6,105.3,81.8,12.5
0.103979,547.6,176.0,1058.5,234.9,2365.6,38.6,549,1130.5,2419.9,105.1,81.8,12.3
0.105979,541.0,163.2,1069.1,239.3,2365.9,38.4,548.1,1137.2,2421.2,104.9,81.8,12.1
0.107979,544.0,171.8,1087.7,293.7,2368.1,45.2,547.2,1144.1,2422.6,104.7,81.9,11.9
0.109979,552.0,189.1,1110.7,369.7,2367.5,54.2,546.3,1151,2424,104.5,82,11.6
0.111979,550.2,179.8,1126.7,389.6,2363.2,55.9,545.3,1158.1,2425.4,104.4,82.1,11.3
0.113979,540.9,148.1,1137.2,374.0,2358.2,54.6,544.4,1165.4,2426.9,104.2,82.2,11
0.115979,536.6,125.7,1155.7,401.7,2353.3,61.9,543.4,1172.7,2428.4,104.1,82.3,10.8
0.117979,539.9,125.0,1190.5,500.2,2343.8,85.3,542.5,1180.2,2429.9,104,82.3,10.6
0.119979,541.3,132.4,1215.4,554.7,2320.6,108.6,541.5,1187.8,2431.4,103.9,82.1,10.4
0.121979,537.8,140.9,1226.0,541.8,2300.3,107.2,540.5,1195.5,2433,103.7,81.9,10
0.123979,534.4,147.3,1246.2,568.7,2294.4,100.6,539.5,1203.4,2434.6,103.6,81.5,9.2
0.125979,533.4,143.5,1283.4,623.1,2296.9,102.8,538.5,1211.3,2436.2,103.5,81,7.9
0.127979,535.6,134.6,1351.3,636.7,2308.4,116.5,537.4,1219.4,2437.8,103.5,80.3,6.3
0.129979,540.5,129.7,1418.1,498.1,2328.5,138.3,536.4,1227.5,2439.5,103.4,79.4,4.5
0.131979,552.8,152.5,1441.5,369.7,2358.7,182.7,535.3,1235.8,2441.2,103.3,78.4,2.7
0.133979,583.0,236.5,1459.3,334.4,2399.7,217.9,534.3,1244.2,2442.9,103.2,77.1,1.1
0.135979,672.2,423.9,1491.6,380.7,2425.1,206.2,533.2,1252.7,2444.6,103.1,75.9,-0.3
0.137979,850.2,478.7,1554.6,451.8,2437.6,185.1,532.1,1261.2,2446.4,103,74.7,-1.9
0.139979,937.8,454.7,1594.2,488.8,2445.5,176.2,531.1,1269.9,2448.2,103,73.8,-3.3
0.141979,950.5,654.8,1539.5,515.9,2450.0,186.8,530,1278.6,2450,102.9,73.2,-4.2
0.143979,718.2,1011.5,1453.3,405.5,2454.7,209.8,528.9,1287.5,2451.8,102.8,73,-4.5
0.145979,581.2,802.0,1440.4,295.5,2460.4,227.2,527.8,1296.4,2453.6,102.8,73.3,-3.8
0.147979,549.8,707.3,1447.1,254.6,2460.6,215.3,526.7,1305.4,2455.5,102.7,73.9,-2.3
0.149979,523.1,548.2,1457.5,239.1,2448.1,181.1,525.6,1314.5,2457.4,102.7,74.6,-0.5
0.151979,488.2,378.2,1459.4,243.3,2429.7,150.1,524.4,1323.7,2459.3,102.6,75.2,1.3
0.153979,454.3,264.6,1441.6,269.5,2411.0,133.2,523.3,1332.9,2461.2,102.6,75.8,2.7
0.155979,426.1,199.5,1392.9,297.4,2393.0,133.3,522.2,1342.2,2463.1,102.6,76.1,3.6
0.157979,407.3,170.2,1337.0,296.4,2378.7,144.9,521.1,1351.6,2465.1,102.5,76.2,4.5
0.159979,397.7,170.3,1313.0,293.5,2368.7,161.7,519.9,1361,2467.1,102.5,76.1,5.2
0.161979,395.8,181.1,1332.2,306.5,2358.4,170.0,518.8,1370.5,2469.1,102.5,75.9,5.6
0.163979,391.7,167.9,1376.2,312.8,2351.9,170.8,517.7,1380.1,2471.1,102.5,75.6,5.6
0.165979,384.7,143.4,1421.8,307.1,2354.8,181.0,516.6,1389.7,2473.1,102.6,75.3,5.1
0.167979,382.1,129.3,1462.8,298.3,2366.9,208.5,515.4,1399.4,2475.1,102.6,74.9,4.1
0.169979,388.6,131.0,1495.9,290.8,2388.5,264.9,514.3,1409.1,2477.2,102.6,74.4,3
0.171979,403.8,149.5,1518.2,290.1,2419.1,363.0,513.2,1418.9,2479.3,102.7,73.7,1.9
