time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025865,616.2,558.4,1636.2,545.8,2443.5,252.0,565.8,903.2,2180.5,0,60.3,-200
0.027865,648.2,503.5,1643.9,544.8,2451.4,246.3,565.8,903.5,2180.6,0,60.7,-200
0.029865,654.5,453.7,1648.2,527.2,2462.7,230.7,565.8,903.9,2180.8,0,60.8,-200
0.031865,637.6,402.5,1632.1,491.1,2467.7,216.5,565.7,904.5,2181.1,0,60.6,-200
0.033865,609.0,357.5,1604.7,450.3,2468.7,212.6,565.7,905.3,2181.5,0,60.3,-200
0.035865,579.2,320.0,1575.4,413.5,2464.2,227.8,565.6,906.3,2182,0,59.5,-203.3
0.037865,560.0,299.7,1549.3,396.8,2443.6,270.6,565.5,907.5,2182.6,0,58.5,-209.8
0.039865,572.0,310.6,1519.5,431.3,2400.2,312.1,565.5,908.8,2183.2,0,58.5,-214.6
0.041865,639.0,323.8,1431.9,579.3,2360.1,309.2,565.4,910.3,2183.9,0,60,-213
0.043865,702.6,367.3,1162.3,823.4,2355.8,272.4,565.3,912,2184.8,0,62.9,-200
0.045865,712.5,865.6,833.3,368.2,2392.9,207.1,565.1,913.8,2185.7,0,66.1,-169.1
0.047865,571.0,746.8,842.4,259.6,2423.8,143.4,565,915.9,2186.7,0,69.2,-123.7
0.049865,548.4,618.6,830.9,246.0,2431.6,108.9,564.9,918.1,2187.8,0,71.8,-73.3
0.051865,555.5,527.5,816.2,270.5,2430.7,87.8,564.7,920.5,2188.9,0,74.1,-27.7
0.053865,555.6,424.8,817.7,300.5,2427.7,71.6,564.6,923,2190.2,113.8,76,3.4
0.055865,536.7,328.0,834.6,289.9,2423.2,59.8,564.4,925.8,2191.5,113.7,77.6,16.7
0.057865,525.4,272.5,843.0,272.1,2417.9,54.5,564.2,928.7,2192.9,113.6,78.9,18.8
0.059865,533.1,258.7,844.3,293.8,2411.8,56.4,564,931.8,2194.4,113.5,80,14.5
0.061865,551.9,255.0,848.1,343.7,2404.3,62.1,563.8,935,2196,113.3,80.9,8.7
0.063865,548.4,225.4,862.6,329.7,2396.1,64.8,563.6,938.4,2197.7,113.2,81.8,6.4
0.065865,529.8,179.8,874.0,270.3,2387.8,63.4,563.3,942,2199.4,113.1,82.5,7.8
0.067865,521.5,149.4,876.9,245.9,2379.4,61.3,563.1,945.8,2201.2,112.9,83.1,9.5
0.069865,526.3,140.7,877.7,259.3,2370.5,60.6,562.8,949.7,2203.2,112.8,83.7,11.3
0.071865,534.5,136.0,881.4,262.7,2362.2,58.6,562.6,953.8,2205.1,112.7,84.1,12.9
0.073865,533.4,121.7,888.4,225.1,2357.4,54.1,562.3,958.1,2207.2,112.5,84.5,14.1
0.075865,526.8,104.1,895.1,188.3,2357.3,50.6,562,962.5,2209.4,112.4,84.8,14.6
0.077865,525.8,97.9,902.3,186.2,2361.5,51.7,561.7,967.2,2211.6,112.2,85,14.7
0.079865,533.5,106.0,910.2,216.1,2366.4,57.6,561.4,971.9,2213.9,112.1,85.1,14.6
0.081865,545.2,120.6,918.2,250.2,2367.9,62.0,561,976.9,2216.3,111.9,85.1,14.4
0.083865,550.0,130.3,926.7,253.5,2365.1,60.0,560.7,982,2218.8,111.8,85.1,14.4
0.085865,550.7,138.0,937.2,252.3,2360.3,57.2,560.3,987.2,2221.3,111.6,85.2,14.4
0.087865,560.8,159.5,947.5,291.9,2355.6,58.8,560,992.7,2223.9,111.5,85.2,14.3
0.089865,580.2,187.7,953.1,357.4,2352.0,61.0,559.6,998.2,2226.6,111.4,85.4,14.3
0.091865,588.9,196.8,958.4,377.2,2348.0,58.9,559.2,1004,2229.4,111.2,85.5,14.4
0.093865,578.0,177.7,967.8,333.1,2342.8,54.2,558.8,1009.9,2232.2,111.1,85.7,14.5
0.095865,568.6,153.1,976.8,301.7,2334.4,52.3,558.4,1016,2235.1,111,85.7,14.8
0.097865,572.4,145.0,985.0,333.8,2320.9,56.2,557.9,1022.2,2238.1,110.9,85.8,15.2
0.099865,583.2,147.7,989.7,415.5,2307.4,61.0,557.5,1028.5,2241.2,110.8,85.7,15.6
0.101865,585.7,146.8,989.2,473.6,2299.2,61.6,557,1035.1,2244.3,110.6,85.6,16
0.103865,576.8,138.7,991.5,468.1,2297.0,60.5,556.5,1041.7,2247.5,110.6,85.5,16.3
0.105865,570.7,130.8,1003.9,470.5,2296.8,62.6,556,1048.6,2250.8,110.5,85.4,16.7
0.107865,572.6,129.6,1021.2,507.3,2293.3,64.5,555.5,1055.6,2254.1,110.4,85.3,17.2
0.109865,573.2,129.0,1029.2,526.3,2286.4,61.9,555,1062.7,2257.5,110.3,85.2,17.5
0.111865,565.8,120.5,1028.7,505.6,2278.2,58.3,554.5,1069.9,2261,110.2,85.2,17.7
0.113865,559.0,107.8,1037.3,497.1,2267.7,60.0,553.9,1077.4,2264.5,110.1,85.1,17.4
0.115865,561.4,102.3,1067.6,553.4,2251.6,70.5,553.3,1084.9,2268.1,110.1,85,16.7
0.117865,567.6,103.6,1091.3,612.4,2230.1,84.7,552.7,1092.6,2271.7,110,85,15.6
0.119865,566.7,101.8,1085.0,581.6,2207.2,92.4,552.1,1100.5,2275.5,110,84.8,14.3
0.121865,559.5,92.1,1083.2,513.4,2186.4,96.0,551.5,1108.5,2279.2,109.9,84.6,12.8
0.123865,555.6,82.7,1115.2,483.0,2173.4,109.1,550.9,1116.6,2283.1,109.8,84.2,11.2
0.125865,560.6,84.7,1195.0,506.1,2174.2,139.7,550.3,1124.8,2287,109.8,83.7,9.4
0.127865,575.2,103.0,1308.4,513.0,2195.8,175.1,549.6,1133.2,2290.9,109.7,83.1,7.3
0.129865,593.5,134.8,1373.5,463.8,2227.8,200.3,548.9,1141.7,2295,109.7,82.3,5.1
0.131865,605.8,182.3,1367.5,441.8,2254.0,225.3,548.2,1150.4,2299,109.6,81.3,3.2
