time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025771,228.5,275.2,788.1,383.7,2549.4,422.8,472.4,1399.1,2615.6,117.7,68.4,7.2
0.027771,210.6,320.7,795.1,398.3,2575.0,372.3,472.4,1399.2,2615.6,116.9,69.6,21.1
0.029771,201.6,370.8,803.7,463.1,2581.2,299.3,472.4,1399.3,2615.5,116,70.6,23.6
0.031771,208.9,424.2,809.1,596.0,2581.3,263.3,472.4,1399.5,2615.4,115,71.5,19.6
0.033771,232.3,419.0,825.5,778.2,2579.5,274.1,472.4,1399.7,2615.4,114.1,72.2,13.7
0.035771,246.0,336.4,856.6,970.4,2574.5,342.3,472.5,1400,2615.3,113.1,72.7,10.6
0.037771,242.9,252.4,859.0,1158.8,2556.2,507.4,472.5,1400.3,2615.1,112,72.9,10.1
0.039771,237.6,210.8,831.7,1277.5,2471.4,735.4,472.6,1400.7,2615,111,72.9,9
0.041771,238.6,218.3,800.2,1224.7,2387.6,718.3,472.6,1401.1,2614.8,109.9,72.7,7.6
0.043771,247.2,231.1,788.1,1120.9,2396.1,659.3,472.7,1401.5,2614.6,108.9,72.4,6.5
0.045771,254.5,193.3,819.0,1092.2,2417.3,611.1,472.7,1402.1,2614.4,107.8,72.1,5.8
0.047771,256.4,147.5,854.9,1247.4,2420.0,545.8,472.8,1402.6,2614.2,106.8,71.7,5.6
0.049771,262.5,134.9,865.7,1790.0,2415.1,460.2,472.9,1403.3,2613.9,105.7,71.5,5.9
0.051771,278.9,158.6,1160.5,2555.7,2414.3,398.5,473,1403.9,2613.7,104.7,71.3,6.3
0.053771,294.9,191.1,1173.7,2713.0,2416.8,387.4,473.1,1404.6,2613.4,103.8,71.2,6.8
0.055771,293.0,198.6,1199.5,2550.8,2417.8,411.4,473.2,1405.4,2613.1,102.8,71.1,7.2
0.057771,276.2,173.7,1292.2,2236.9,2405.5,448.8,473.3,1406.2,2612.8,101.9,71.1,7.5
0.059771,264.4,149.5,1368.0,2087.7,2379.1,461.8,473.4,1407.1,2612.4,101.1,71.1,7.7
0.061771,267.9,157.9,1433.9,2030.0,2359.8,448.9,473.5,1408,2612.1,100.3,70.9,8
0.063771,289.9,201.1,1571.6,1779.6,2358.9,472.9,473.6,1409,2611.7,99.5,70.6,8.3
0.065771,319.1,231.6,1713.6,1345.8,2371.8,592.2,473.7,1410,2611.3,98.8,70.3,8.6
0.067771,314.5,221.3,1823.0,909.6,2430.3,911.8,473.8,1411.1,2610.9,98.1,70,12.3
0.069771,283.7,190.3,1852.0,593.9,2664.0,1297.6,473.9,1412.2,2610.5,97.6,69.6,19.4
0.071771,267.1,169.3,1870.0,506.1,2941.1,1361.3,474.1,1413.3,2610.1,97,69.2,24.9
0.073771,280.0,202.4,1896.9,553.0,3008.2,1252.1,474.2,1414.5,2609.6,96.6,68.7,23.5
0.075771,324.1,263.0,1896.8,638.6,2916.4,1079.5,474.4,1415.8,2609.2,96.2,68.3,10.3
0.077771,359.0,274.1,1836.3,651.5,2834.5,791.0,474.5,1417.1,2608.7,95.8,68,-21.6
0.079771,357.3,265.7,1761.2,552.7,2799.8,569.8,474.6,1418.5,2608.2,95.6,67.8,-68.7
0.081771,340.1,277.4,1718.1,452.1,2791.1,460.4,474.8,1419.9,2607.7,95.3,67.6,-120.9
0.083771,325.7,340.2,1704.9,425.1,2809.5,432.4,474.9,1421.4,2607.1,95.2,67.4,-168
0.085771,324.2,467.3,1704.6,445.8,2854.9,429.2,475.1,1422.9,2606.6,95.1,67.2,-200
0.087771,317.7,636.4,1706.0,484.1,2911.0,420.9,475.2,1424.4,2606,95.1,67,-216.7
0.089771,196.4,849.8,1696.8,541.9,2950.2,426.0,475.4,1426,2605.5,95.2,66.7,-224.8
0.091771,65.9,361.4,1675.6,664.6,2958.6,503.8,475.5,1427.7,2604.9,95.3,66.5,-224.6
0.093771,93.3,324.5,1662.3,914.6,2914.1,733.2,475.7,1429.4,2604.3,95.5,66.3,-216.3
0.095771,100.9,338.2,1625.5,1614.3,2617.4,1215.6,475.9,1431.1,2603.7,95.7,66,-200
0.097771,135.6,293.0,1187.4,1343.4,2336.9,603.7,476,1432.9,2603.1,96,65.7,-169.4
0.099771,162.5,232.5,1419.0,885.2,2400.3,404.0,476.2,1434.8,2602.4,96.4,65.6,-124.3
0.101771,126.8,341.9,1585.8,477.4,2457.9,292.9,476.3,1436.7,2601.8,96.8,65.6,-74.4
0.103771,1572.6,411.9,2447.3,280.9,3675.3,329.5,476.5,1438.7,2601.2,97.3,65.8,-29.3
0.105771,1522.1,310.5,2405.0,277.2,3668.3,419.9,476.7,1440.7,2600.5,0,66.1,1.4
0.107771,1529.9,287.2,2390.1,278.1,3666.0,463.3,476.8,1442.7,2599.8,0,66.7,14.3
0.109771,1567.6,346.8,2402.4,300.4,3671.2,434.7,477,1444.8,2599.2,0,67.3,16
0.111771,608.0,1113.2,1641.8,363.4,2422.8,301.1,477.1,1446.9,2598.5,0,67.8,11.3
0.113771,661.2,679.2,1682.4,302.3,2429.7,284.2,477.3,1449.1,2597.8,0,68,5
0.115771,642.2,484.2,1691.1,248.3,2428.5,270.3,477.4,1451.4,2597.1,0,68.1,1.9
