time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025385,243.5,118.8,958.2,321.4,2354.1,111.7,473.1,1246.4,2336.6,114.8,73.5,-35.8
0.027385,246.8,125.3,990.9,361.3,2349.1,151.5,473.1,1246.5,2336.6,114.5,74.3,5.2
0.029385,249.3,151.1,1022.2,416.5,2338.1,182.7,473.1,1246.7,2336.7,114.2,75,18.9
0.031385,250.7,168.4,1032.1,429.4,2327.8,185.1,473.1,1246.9,2336.8,113.8,75.5,21.3
0.033385,250.3,160.1,1030.5,417.2,2316.3,170.7,473.1,1247.1,2337,113.5,76,17.2
0.035385,249.2,152.8,1036.6,430.3,2297.3,152.0,473.1,1247.5,2337.1,113.2,76.3,11.5
0.037385,249.0,172.7,1047.5,456.1,2277.5,134.4,473.1,1247.8,2337.3,112.8,76.4,9
0.039385,248.3,223.7,1035.5,428.1,2264.4,120.0,473.1,1248.3,2337.6,112.5,76.4,9.7
0.041385,247.5,264.3,1007.8,340.6,2255.5,107.2,473.1,1248.8,2337.8,112.1,76.3,10.2
0.043385,252.6,231.1,990.4,246.9,2247.8,94.1,473.2,1249.4,2338.1,111.8,76.1,10.8
0.045385,256.3,165.4,981.4,185.7,2238.7,83.6,473.2,1250,2338.4,111.4,76,11.4
0.047385,256.9,122.5,977.6,162.0,2224.9,78.4,473.2,1250.7,2338.8,111.1,76,12.3
0.049385,257.9,104.9,979.2,162.6,2210.5,73.9,473.2,1251.4,2339.2,110.8,76.1,13.7
0.051385,259.0,104.0,986.2,180.6,2209.6,65.7,473.2,1252.2,2339.6,110.5,76.3,15.6
0.053385,259.5,124.3,1004.6,244.5,2219.6,58.8,473.2,1253,2340,110.2,76.6,17.4
0.055385,260.7,166.2,1036.9,373.0,2226.5,58.2,473.2,1253.9,2340.5,109.9,76.8,18.6
0.057385,263.4,218.9,1061.2,483.2,2228.0,62.3,473.2,1254.9,2341,109.6,77.2,18.6
0.059385,269.5,279.9,1051.6,473.0,2227.5,70.8,473.2,1255.9,2341.6,109.3,77.7,16.9
0.061385,292.1,362.7,1027.2,451.1,2231.4,97.8,473.2,1257,2342.1,109,78.3,13.7
0.063385,362.9,490.9,1009.4,544.9,2254.0,159.2,473.2,1258.1,2342.7,108.8,78.9,10
0.065385,520.9,468.7,1103.1,744.0,2305.5,211.3,473.2,1259.3,2343.3,108.5,79.5,6.6
0.067385,568.0,284.0,1204.4,593.7,2348.7,203.8,473.3,1260.6,2344,108.3,80.1,4.4
0.069385,575.2,195.8,1227.2,448.9,2370.4,172.6,473.3,1261.9,2344.7,108.1,80.4,3.7
0.071385,580.0,158.8,1249.9,346.7,2382.7,143.9,473.3,1263.2,2345.4,107.8,80.6,3.8
0.073385,585.7,152.4,1268.6,286.4,2389.5,129.4,473.3,1264.6,2346.1,107.6,80.7,4.3
0.075385,597.6,160.9,1271.3,260.8,2391.2,127.5,473.3,1266.1,2346.9,107.4,80.6,5.1
0.077385,617.9,166.2,1269.2,247.3,2388.9,127.1,473.3,1267.6,2347.7,107.3,80.4,5.6
0.079385,634.7,163.9,1273.9,244.6,2384.3,130.4,473.3,1269.2,2348.5,107.1,80.2,5.9
0.081385,641.3,161.9,1287.5,257.3,2381.3,152.2,473.4,1270.8,2349.3,106.9,80.2,6.2
0.083385,645.7,161.6,1308.9,255.8,2378.2,179.7,473.4,1272.5,2350.2,106.7,80.2,6.5
0.085385,651.8,159.1,1322.7,227.7,2375.8,185.6,473.4,1274.2,2351.1,106.6,80.4,6.9
0.087385,653.7,155.6,1325.1,202.3,2378.5,178.3,473.4,1275.9,2352,106.4,80.5,7.4
0.089385,650.0,157.4,1324.5,188.8,2387.0,168.4,473.5,1277.8,2353,106.3,80.7,8.2
0.091385,645.9,167.5,1327.0,183.0,2397.5,158.4,473.5,1279.6,2354,106.1,80.8,9.1
0.093385,645.1,177.7,1331.4,181.3,2402.8,152.6,473.5,1281.6,2354.9,106,80.8,10
