time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025594,246.5,198.3,1153.2,573.0,2377.4,142.6,546.4,1464.5,2382.9,114.9,74.6,7.3
0.027594,244.2,244.0,1091.5,411.0,2325.8,112.1,546.3,1464.7,2383,114.5,75.2,7.3
0.029594,243.7,272.4,1060.2,336.2,2301.9,93.6,546.2,1464.9,2383.1,114,75.9,7.4
0.031594,245.4,272.2,1051.5,339.3,2294.9,88.6,546.1,1465.2,2383.2,113.6,76.5,7.5
0.033594,245.2,279.7,1068.8,439.2,2295.3,94.8,545.9,1465.6,2383.4,113.1,77,7.6
0.035594,245.6,297.2,1117.8,619.2,2299.0,112.8,545.7,1466,2383.7,112.7,77.4,7.5
0.037594,248.3,324.3,1166.4,755.6,2305.4,128.4,545.4,1466.6,2384,112.2,77.7,7.1
0.039594,257.4,409.3,1158.4,854.9,2316.9,124.5,545.1,1467.2,2384.3,111.7,78.1,6.6
0.041594,290.0,544.4,1080.6,909.2,2327.3,107.1,544.8,1467.9,2384.7,111.2,78.5,6
0.043594,389.0,555.1,1015.7,808.3,2331.7,95.8,544.4,1468.7,2385.2,110.8,79.1,5.3
0.045594,480.6,381.1,1026.3,690.8,2332.0,95.4,544,1469.6,2385.6,110.3,79.7,4.8
0.047594,522.9,244.1,1062.9,617.5,2334.2,96.4,543.5,1470.6,2386.2,109.8,80.3,4.3
0.049594,543.2,167.4,1105.8,566.5,2342.2,98.2,543,1471.6,2386.7,109.3,80.7,3.8
0.051594,554.2,132.3,1154.9,503.3,2355.9,105.8,542.5,1472.8,2387.4,108.9,81,3.3
0.053594,563.6,117.2,1191.2,387.3,2376.5,133.6,541.9,1474,2388,108.4,81.1,2.9
0.055594,577.4,119.4,1202.4,285.7,2398.9,187.7,541.3,1475.3,2388.7,108,81,2.7
0.057594,595.4,133.3,1206.2,234.3,2412.6,228.1,540.7,1476.7,2389.5,107.6,80.9,2.5
0.059594,612.2,154.6,1215.1,216.1,2421.7,221.0,540,1478.1,2390.2,107.2,80.7,2.4
0.061594,624.9,179.5,1236.1,221.8,2427.1,183.5,539.3,1479.7,2391.1,106.8,80.6,2.4
0.063594,638.4,201.1,1265.5,233.3,2425.9,158.3,538.5,1481.3,2391.9,106.5,80.5,2.8
0.065594,653.0,198.1,1284.7,224.6,2420.8,153.0,537.7,1483,2392.9,106.1,80.6,3.5
0.067594,660.2,180.8,1291.4,208.3,2417.0,155.8,536.9,1484.8,2393.8,105.8,80.8,4.9
0.069594,656.1,172.4,1290.6,206.2,2416.6,172.9,536,1486.6,2394.8,105.5,81,6.9
0.071594,648.2,177.3,1286.5,222.8,2411.1,212.7,535.1,1488.5,2395.8,105.2,81.2,9.1
0.073594,650.2,186.7,1290.7,246.3,2386.1,241.7,534.2,1490.5,2396.9,105,81.4,11
0.075594,662.8,175.4,1307.5,247.5,2368.1,225.2,533.3,1492.6,2398,104.7,81.7,12.3
0.077594,667.4,150.7,1322.3,223.6,2365.6,207.4,532.3,1494.8,2399.2,104.5,81.9,12.8
0.079594,662.0,135.6,1334.2,200.9,2372.2,202.1,531.2,1497,2400.4,104.3,82,12.7
0.081594,656.2,141.3,1350.9,201.0,2384.7,198.0,530.2,1499.3,2401.6,104.1,82.1,12.3
0.083594,659.5,167.8,1375.9,230.0,2391.9,183.2,529.1,1501.7,2402.9,104,82.2,11.8
0.085594,674.2,188.7,1396.2,269.7,2390.4,170.4,528,1504.1,2404.2,103.8,82.2,11.6
0.087594,683.8,186.5,1403.9,286.9,2388.6,161.4,526.8,1506.6,2405.5,103.7,82.2,11.5
0.089594,683.2,181.4,1407.4,282.5,2390.0,156.1,525.7,1509.2,2406.9,103.6,82.2,11.5
0.091594,681.5,187.7,1421.8,275.9,2392.7,158.6,524.5,1511.8,2408.3,103.5,82.2,11.4
0.093594,690.9,198.4,1452.3,278.2,2391.4,165.3,523.2,1514.5,2409.8,103.4,82.1,11.4
0.095594,709.9,187.5,1482.5,283.9,2387.1,162.8,522,1517.3,2411.3,103.3,82.1,11.3
0.097594,719.0,168.0,1496.8,293.1,2386.0,156.4,520.7,1520.2,2412.8,103.2,82.1,11.2
0.099594,717.5,165.2,1501.4,320.2,2391.8,154.2,519.4,1523.1,2414.3,103.1,82.1,11.1
0.101594,715.1,181.4,1515.2,359.4,2404.3,157.9,518.1,1526,2415.9,103,82.1,11
0.103594,715.8,194.2,1547.2,370.9,2417.0,163.5,516.7,1529.1,2417.5,103,82.1,10.8
0.105594,713.6,176.5,1568.0,328.9,2418.7,159.9,515.3,1532.2,2419.2,102.9,82.1,10.5
0.107594,706.9,149.8,1570.9,285.1,2415.5,154.2,513.9,1535.3,2420.8,102.8,82.1,10.1
0.109594,697.4,131.8,1570.1,258.7,2415.1,156.9,512.5,1538.5,2422.5,102.8,82,9.5
0.111594,687.9,128.2,1580.7,252.9,2421.2,171.3,511.1,1541.8,2424.2,102.7,81.9,8.9
0.113594,675.6,133.5,1613.1,249.8,2433.0,182.7,509.6,1545.1,2426,102.6,81.8,8.3
0.115594,658.9,128.5,1642.5,225.5,2441.0,177.2,508.1,1548.5,2427.8,102.5,81.8,7.9
0.117594,644.0,114.3,1652.4,198.5,2445.5,171.1,506.6,1551.9,2429.6,102.4,81.7,7.6
0.119594,632.2,104.2,1656.3,183.8,2451.2,178.6,505.1,1555.4,2431.4,102.3,81.7,7.6
