time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025292,245.5,287.7,1128.3,525.0,2391.9,159.6,533.5,1445,2375.9,113,74.8,12.8
0.027292,247.2,237.2,1090.9,408.9,2347.5,161.4,533.5,1445.2,2375.9,112.8,75.8,19.9
0.029292,244.5,184.0,1071.4,354.9,2321.6,156.6,533.5,1445.3,2376,112.6,76.6,18.2
0.031292,240.5,159.9,1070.9,345.8,2324.4,158.6,533.5,1445.6,2376.1,112.4,77.2,12.6
0.033292,237.2,174.6,1079.3,342.4,2346.1,165.1,533.4,1446,2376.2,112.2,77.6,7.9
0.035292,232.8,226.7,1073.2,323.5,2367.9,164.3,533.4,1446.4,2376.3,112,77.8,8.1
0.037292,226.6,283.8,1057.1,305.0,2381.1,150.7,533.3,1446.9,2376.5,111.7,77.8,9.7
0.039292,222.8,307.7,1050.1,308.5,2385.1,122.8,533.3,1447.5,2376.7,111.5,77.8,11.6
0.041292,214.5,345.6,1057.4,354.0,2382.4,91.9,533.2,1448.2,2377,111.3,77.7,13.3
0.043292,165.5,492.4,1056.6,431.1,2380.8,76.8,533.1,1448.9,2377.2,111.1,77.5,14.4
0.045292,1003.4,491.5,2381.3,75.3,3476.7,655.3,533,1449.7,2377.5,110.8,77.2,14.5
0.047292,929.6,456.9,1263.5,3038.8,2378.7,82.0,532.9,1450.6,2377.8,110.6,77,13.7
0.049292,878.1,474.4,1665.9,2360.0,2365.6,94.5,532.8,1451.6,2378.1,110.4,77,12.4
0.051292,801.4,601.0,1814.4,1971.9,2341.6,109.0,532.7,1452.6,2378.5,110.1,77.2,10.8
0.053292,681.8,830.6,1836.0,1997.9,2323.1,116.7,532.6,1453.7,2378.9,109.9,77.7,9.4
0.055292,251.3,724.2,1014.8,1736.0,2312.6,114.9,532.4,1454.9,2379.3,109.6,78.4,8.4
0.057292,297.0,433.7,1075.6,854.3,2311.2,103.6,532.3,1456.2,2379.7,109.4,79.2,7.4
0.059292,341.8,330.9,1050.1,503.6,2325.5,98.9,532.1,1457.5,2380.2,109.1,79.9,6.5
0.061292,413.3,244.8,1049.1,369.7,2353.7,104.4,532,1459,2380.7,108.9,80.6,5.8
0.063292,471.1,176.0,1072.5,332.8,2376.9,110.8,531.8,1460.4,2381.2,108.6,81.3,5.1
0.065292,505.6,141.4,1113.1,341.9,2394.0,124.3,531.7,1462,2381.8,108.4,81.8,4.6
0.067292,529.7,134.7,1180.5,365.9,2411.4,144.3,531.5,1463.6,2382.3,108.1,82.2,4.3
0.069292,550.9,139.6,1244.0,337.4,2423.8,157.9,531.3,1465.3,2382.9,107.8,82.5,4
0.071292,570.2,147.2,1265.1,282.7,2423.7,161.5,531.1,1467.1,2383.5,107.6,82.6,3.9
0.073292,583.1,151.7,1263.2,243.9,2415.4,159.9,530.9,1468.9,2384.2,107.3,82.7,4
0.075292,589.6,157.6,1260.4,223.5,2399.8,162.0,530.7,1470.8,2384.8,107,82.6,4.3
0.077292,595.9,175.7,1266.9,221.9,2370.4,173.3,530.5,1472.8,2385.5,106.8,82.5,4.8
0.079292,611.3,207.8,1279.8,227.3,2334.1,185.1,530.3,1474.9,2386.3,106.5,82.4,5.5
0.081292,636.3,231.5,1289.9,224.3,2309.6,188.7,530,1477,2387,106.2,82.3,6.3
0.083292,649.8,231.1,1294.1,214.5,2300.3,188.8,529.8,1479.1,2387.7,106,82.2,7
0.085292,648.6,234.1,1297.4,210.4,2299.8,191.7,529.5,1481.4,2388.5,105.7,82.2,7.6
0.087292,646.8,260.0,1308.7,219.0,2307.9,195.7,529.3,1483.7,2389.3,105.5,82.2,8.3
0.089292,657.5,296.9,1329.1,228.7,2320.5,196.0,529,1486,2390.2,105.2,82.4,8.9
0.091292,669.0,301.1,1346.4,220.6,2331.2,197.4,528.8,1488.4,2391,105,82.5,9.4
0.093292,664.4,288.1,1355.4,208.4,2346.4,213.5,528.5,1490.9,2391.9,104.8,82.7,9.7
0.095292,650.7,290.6,1362.2,211.9,2383.0,262.1,528.2,1493.4,2392.8,104.5,82.9,9.7
0.097292,637.7,302.9,1367.2,236.5,2430.0,343.1,527.9,1496,2393.7,104.3,83,9.4
0.099292,639.1,301.0,1371.0,278.9,2433.4,411.6,527.7,1498.7,2394.6,104.1,83,8.8
0.101292,650.0,272.8,1378.0,324.2,2410.5,421.9,527.4,1501.4,2395.6,103.9,83,8.3
0.103292,649.2,246.3,1385.2,344.2,2402.3,415.4,527.1,1504.1,2396.5,103.8,83,8
0.105292,640.0,238.8,1402.8,340.7,2415.4,408.2,526.8,1507,2397.5,103.6,83,8.1
0.107292,632.5,245.9,1438.4,304.2,2436.9,371.1,526.4,1509.8,2398.5,103.4,82.9,8.6
0.109292,633.3,248.2,1466.2,247.9,2436.5,331.7,526.1,1512.7,2399.6,103.3,82.8,9.3
0.111292,640.6,230.3,1475.9,208.1,2422.5,319.5,525.8,1515.7,2400.6,103.1,82.7,10
0.113292,641.8,213.1,1477.6,194.4,2410.9,327.9,525.5,1518.7,2401.7,103,82.7,10.6
0.115292,637.8,216.3,1485.0,197.7,2400.6,335.8,525.1,1521.8,2402.8,102.9,82.6,10.8
0.117292,636.7,236.9,1506.2,202.3,2385.2,323.3,524.8,1524.9,2403.9,102.8,82.6,10.7
0.119292,643.7,246.1,1530.2,190.4,2370.7,297.5,524.5,1528,2405,102.7,82.6,10.4
0.121292,652.0,228.1,1545.4,169.6,2364.7,275.3,524.1,1531.2,2406.1,102.5,82.7,10.1
0.123292,651.7,210.9,1553.9,155.5,2369.7,267.1,523.8,1534.4,2407.3,102.4,82.7,9.9
0.125292,647.7,212.8,1563.3,151.2,2385.7,268.8,523.4,1537.7,2408.4,102.3,82.7,9.9
0.127292,649.6,234.6,1576.0,159.7,2405.1,268.8,523.1,1541,2409.6,102.2,82.7,10
0.129292,661.9,253.6,1588.6,177.5,2415.4,261.1,522.7,1544.3,2410.8,102.1,82.7,10.3
0.131292,672.1,246.9,1596.3,190.1,2420.2,254.5,522.3,1547.7,2412,102,82.8,10.5
0.133292,672.1,234.6,1600.7,195.1,2430.6,255.8,522,1551.1,2413.2,101.9,82.8,10.7
0.135292,671.8,236.5,1613.9,206.1,2456.8,259.2,521.6,1554.6,2414.5,101.8,82.9,10.6
0.137292,679.0,245.0,1645.9,227.9,2489.4,252.6,521.2,1558.1,2415.7,101.7,82.9,10.3
0.139292,684.9,228.7,1683.8,242.1,2506.2,245.9,520.9,1561.6,2417,101.6,83,9.9
0.141292,677.4,192.4,1704.5,241.7,2510.0,249.4,520.5,1565.1,2418.2,101.5,83.1,9.5
0.143292,662.3,163.5,1708.2,241.6,2510.5,265.5,520.1,1568.6,2419.5,101.3,83.1,9.1
0.145292,646.6,144.1,1712.1,249.8,2511.0,299.4,519.7,1572.2,2420.8,101.2,83.2,8.7
0.147292,633.8,130.2,1732.3,262.8,2508.0,341.1,519.3,1575.8,2422.1,101.1,83.2,8.5
0.149292,623.5,115.1,1765.0,263.0,2507.8,349.7,519,1579.5,2423.4,101,83.2,8.3
0.151292,612.6,97.3,1784.9,258.9,2517.4,351.0,518.6,1583.1,2424.8,100.9,83.2,8
0.153292,602.1,85.1,1788.8,269.3,2534.8,384.0,518.2,1586.8,2426.1,100.8,83.3,7.5
0.155292,593.2,79.9,1794.1,292.7,2563.0,491.1,517.8,1590.4,2427.4,100.7,83.3,6.9
0.157292,586.6,81.8,1815.2,310.1,2542.2,674.2,517.4,1594.1,2428.8,100.6,83.3,6
0.159292,580.7,88.1,1844.0,296.7,2560.4,642.3,517,1597.8,2430.1,100.5,83.3,4.9
0.161292,571.7,90.8,1858.8,276.7,2594.1,537.1,516.6,1601.6,2431.5,100.4,83.2,3.9
0.163292,560.1,85.8,1853.7,278.6,2611.3,537.0,516.2,1605.3,2432.9,100.3,83,3
0.165292,548.7,78.4,1834.9,292.5,2640.7,695.4,515.8,1609,2434.2,100.2,82.7,2.3
0.167292,541.0,74.8,1816.5,287.6,2616.2,1186.8,515.4,1612.8,2435.6,100.2,82.1,1.7
0.169292,539.1,81.4,1811.5,245.0,2437.6,1889.9,515,1616.5,2437,100.1,81.5,1.3
0.171292,541.9,107.9,1802.4,201.4,2239.5,2820.7,514.6,1620.3,2438.4,100.1,80.7,1
0.173292,540.9,159.3,1777.8,199.1,2370.1,6877.5,514.3,1624,2439.8,100.1,79.9,1
0.175292,528.4,232.2,1739.5,220.2,2591.4,598.0,513.9,1627.8,2441.2,100.1,79.2,1.3
0.177292,503.7,302.4,1697.0,234.2,2511.1,486.8,513.5,1631.5,2442.6,100.1,78.5,2.2
0.179292,478.2,346.5,1660.6,227.0,2485.9,361.6,513.1,1635.3,2444,100.1,78,3.4
0.181292,468.2,372.9,1628.4,211.0,2490.4,283.1,512.7,1639,2445.4,100.2,77.5,4.6
0.183292,462.5,389.6,1601.0,210.7,2506.5,270.7,512.3,1642.7,2446.8,100.2,77.1,5.5
0.185292,447.5,396.2,1580.3,231.5,2525.8,312.2,511.9,1646.5,2448.2,100.3,76.8,6
0.187292,443.2,402.4,1572.8,265.3,2530.2,390.3,511.5,1650.2,2449.6,100.4,76.7,6.2
0.189292,460.9,379.0,1574.6,334.3,2508.4,543.6,511.2,1653.9,2451,100.5,76.6,6.2
0.191292,499.4,344.3,1600.3,474.0,2424.4,748.8,510.8,1657.6,2452.4,100.5,76.7,6
0.193292,535.1,329.5,1708.0,703.9,2319.3,989.9,510.4,1661.2,2453.8,100.6,76.8,5.8
0.195292,557.2,333.1,1975.7,594.0,2065.7,2261.0,510,1664.9,2455.2,100.7,77.1,5.4
0.197292,566.2,340.5,1351.9,4859.4,2033.1,394.8,509.7,1668.5,2456.6,100.8,77.6,4.7
0.199292,555.0,341.7,2067.5,309.3,2885.3,291.7,509.3,1672.1,2458,100.9,78.1,3.9
0.201292,510.8,324.1,1170.1,3102.2,2097.9,267.8,508.9,1675.7,2459.4,101,78.5,3.2
0.203292,455.6,270.5,1443.9,1949.4,2130.5,256.5,508.6,1679.3,2460.8,101.1,78.9,2.9
0.205292,421.2,224.4,1626.0,1555.0,2170.3,274.7,508.2,1682.8,2462.2,101.1,79.3,3.3
0.207292,409.5,214.2,1828.9,1499.9,2208.8,292.1,507.9,1686.3,2463.5,101.2,79.5,4.5
0.209292,412.7,216.7,1923.3,1573.0,2232.9,249.9,507.5,1689.8,2464.9,101.3,79.7,6.1
0.211292,414.6,210.3,1879.7,1703.1,2247.6,189.3,507.2,1693.3,2466.3,101.4,79.9,7.7
0.213292,402.7,198.8,1754.8,1721.0,2258.7,150.5,506.8,1696.7,2467.6,101.4,80,9.1
0.215292,385.4,191.0,1630.4,1616.7,2271.4,133.8,506.5,1700.1,2469,101.5,80.1,9.9
0.217292,372.7,188.6,1562.0,1455.6,2292.3,138.2,506.2,1703.4,2470.3,101.5,80.1,10.3
0.219292,366.1,174.9,1546.2,1176.8,2322.1,144.7,505.9,1706.7,2471.7,101.6,80.1,10.5
0.221292,360.4,140.3,1567.8,882.7,2342.9,138.9,505.5,1710,2473,101.6,80,10.5
0.223292,349.5,111.7,1603.1,721.6,2351.7,138.0,505.2,1713.2,2474.3,101.6,80,10.5
0.225292,337.8,99.2,1643.3,661.5,2365.7,147.7,504.9,1716.4,2475.6,101.7,80.1,10.5
0.227292,331.6,100.4,1688.9,673.7,2389.1,155.7,504.6,1719.5,2476.9,101.7,80.1,10.4
0.229292,333.0,107.0,1728.6,734.9,2404.4,149.4,504.3,1722.6,2478.2,101.7,80.1,10.2
0.231292,335.4,108.1,1744.5,798.0,2407.7,136.7,504,1725.7,2479.5,101.8,80.1,10.1
0.233292,329.0,104.7,1726.1,807.1,2413.1,129.4,503.8,1728.7,2480.8,101.8,80.1,10.2
0.235292,318.2,106.5,1707.5,792.5,2433.9,132.7,503.5,1731.6,2482,101.8,80.1,10.4
0.237292,312.1,117.3,1718.2,828.5,2464.5,133.4,503.2,1734.5,2483.2,101.9,80.1,11
0.239292,315.9,127.5,1762.0,954.2,2479.9,125.1,502.9,1737.4,2484.5,101.9,80.1,11.7
0.241292,324.0,118.9,1819.0,1092.0,2481.3,114.9,502.7,1740.2,2485.7,102,80,12.5
0.243292,323.1,100.0,1828.0,1092.7,2481.8,105.0,502.4,1742.9,2486.9,102.1,80,13
0.245292,315.9,86.7,1797.9,974.2,2485.3,99.1,502.2,1745.6,2488.1,102.2,79.9,13.2
0.247292,311.6,83.0,1785.9,874.5,2488.9,100.1,502,1748.2,2489.2,102.2,79.9,13.2
0.249292,315.0,86.1,1800.3,863.7,2488.4,101.5,501.7,1750.7,2490.4,102.3,79.8,13
0.251292,321.8,87.5,1806.9,908.5,2484.3,98.7,501.5,1753.2,2491.5,102.5,79.7,12.7
0.253292,322.6,88.1,1792.5,967.0,2480.1,97.8,501.3,1755.7,2492.7,102.6,79.7,12.3
0.255292,321.0,95.7,1803.2,1057.0,2474.8,106.9,501.1,1758,2493.8,102.7,79.7,12.1
0.257292,326.4,110.2,1880.6,1219.9,2464.9,120.3,500.9,1760.3,2494.9,102.8,79.7,11.8
