time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025656,516.4,132.8,2068.8,106.0,2775.4,204.5,395,1939.9,2895.5,116,77.6,3.9
0.027656,528.4,133.4,2056.1,123.4,2769.5,145.7,395,1940.1,2895.5,115.9,78.2,5
0.029656,539.9,129.3,2044.3,150.3,2764.4,113.0,395,1940.3,2895.5,115.8,78.8,6.2
0.031656,546.1,126.2,2042.1,162.2,2762.5,100.9,395,1940.6,2895.5,115.7,79.2,7.5
0.033656,546.0,127.7,2049.6,152.6,2761.1,102.7,395,1941.1,2895.4,115.6,79.6,8.6
0.035656,540.7,131.6,2061.8,140.9,2758.1,126.9,395.1,1941.6,2895.4,115.5,80,9.4
0.037656,534.3,134.0,2072.3,137.5,2754.6,175.4,395.1,1942.2,2895.4,115.4,80.3,9.8
0.039656,530.4,130.2,2078.8,136.4,2760.4,224.1,395.1,1942.9,2895.4,115.2,80.7,10
0.041656,526.2,120.7,2082.6,135.9,2787.3,233.1,395.1,1943.7,2895.3,115.1,81,9.9
0.043656,518.6,110.0,2086.0,152.7,2824.8,215.3,395.2,1944.6,2895.3,114.9,81.4,9.8
0.045656,510.0,101.7,2086.7,198.9,2849.6,211.4,395.2,1945.6,2895.3,114.7,81.8,9.6
0.047656,502.9,99.2,2080.7,238.9,2859.9,218.3,395.3,1946.7,2895.2,114.6,82.1,9.1
0.049656,494.8,97.9,2074.3,245.3,2867.1,213.4,395.3,1947.8,2895.2,114.4,82.4,8.2
0.051656,488.1,92.6,2068.6,229.5,2877.6,199.6,395.3,1949.1,2895.2,114.2,82.6,7.4
0.053656,486.5,85.3,2054.8,207.3,2892.7,193.1,395.4,1950.4,2895.1,114,82.8,6.9
0.055656,489.0,78.6,2033.6,183.0,2911.3,197.8,395.5,1951.9,2895.1,113.8,82.9,6.9
0.057656,490.0,75.1,2018.8,158.8,2927.9,199.9,395.5,1953.4,2895,113.6,82.9,7.8
0.059656,485.8,76.0,2016.3,135.1,2944.4,193.6,395.6,1955,2894.9,113.4,83,9.5
0.061656,480.8,82.7,2024.3,111.1,2960.5,189.9,395.6,1956.7,2894.9,113.2,83.1,11.3
0.063656,479.4,92.4,2032.8,93.2,2974.9,199.6,395.7,1958.5,2894.8,113.1,83.3,12.9
0.065656,479.4,97.3,2034.9,85.2,2983.6,208.1,395.8,1960.4,2894.7,112.9,83.4,13.8
0.067656,476.2,93.6,2032.3,81.0,2980.8,204.5,395.8,1962.4,2894.7,112.7,83.6,13.9
0.069656,470.9,86.2,2028.3,78.3,2966.7,196.0,395.9,1964.4,2894.6,112.5,83.7,13.5
0.071656,467.8,80.5,2027.1,81.5,2943.3,194.0,396,1966.5,2894.5,112.3,83.8,12.7
0.073656,466.5,78.3,2033.3,94.6,2917.0,201.3,396.1,1968.8,2894.4,112.2,83.7,11.8
0.075656,462.3,78.6,2045.6,112.1,2899.4,207.6,396.2,1971,2894.3,112,83.6,10.9
0.077656,452.9,77.7,2057.1,128.5,2893.0,208.0,396.3,1973.4,2894.2,111.9,83.5,9.8
0.079656,441.6,75.4,2064.8,149.9,2891.8,208.4,396.3,1975.9,2894.1,111.7,83.2,8.4
0.081656,430.9,74.8,2062.7,183.9,2889.4,220.4,396.4,1978.4,2894,111.6,82.9,6.9
0.083656,417.1,76.7,2036.8,233.9,2882.5,254.8,396.5,1981,2893.9,111.5,82.6,5.9
0.085656,393.9,78.4,1988.5,261.6,2879.3,280.6,396.6,1983.7,2893.8,111.3,82.2,5.5
0.087656,368.7,75.5,1957.5,240.0,2886.1,248.3,396.7,1986.4,2893.6,111.2,81.9,6.2
0.089656,351.6,70.8,1949.2,208.5,2888.3,189.0,396.8,1989.3,2893.5,111.1,81.7,7.6
0.091656,346.5,70.1,1952.0,191.0,2881.8,154.9,396.9,1992.2,2893.4,111,81.6,9.4
0.093656,349.1,72.0,1957.8,181.6,2872.8,141.3,397.1,1995.1,2893.3,110.9,81.6,11.2
0.095656,349.6,71.1,1964.8,170.7,2864.4,135.1,397.2,1998.2,2893.1,110.8,81.5,12.4
0.097656,345.2,68.4,1971.0,153.8,2858.1,136.6,397.3,2001.3,2893,110.8,81.5,13.1
0.099656,341.2,67.6,1977.3,132.7,2854.9,152.6,397.4,2004.4,2892.8,110.7,81.5,13.4
0.101656,341.6,71.7,1984.7,115.1,2854.2,181.1,397.5,2007.7,2892.7,110.6,81.5,13.6
0.103656,342.6,75.8,1992.1,105.4,2854.2,210.3,397.6,2011,2892.5,110.5,81.4,13.8
0.105656,339.6,75.1,1999.4,103.2,2856.8,245.8,397.8,2014.3,2892.3,110.4,81.4,14.2
0.107656,336.9,74.2,2008.9,104.4,2862.2,306.2,397.9,2017.7,2892.1,110.4,81.4,14.8
0.109656,339.8,78.8,2021.5,104.6,2867.2,396.2,398,2021.2,2892,110.3,81.4,15.5
0.111656,346.4,85.5,2031.9,104.6,2866.0,465.9,398.2,2024.7,2891.8,110.2,81.4,16.2
0.113656,347.8,84.8,2038.7,111.6,2860.6,507.4,398.3,2028.3,2891.6,110.1,81.3,16.8
0.115656,343.1,77.6,2042.3,128.7,2852.9,572.7,398.4,2032,2891.4,110,81.2,17.2
0.117656,339.7,72.6,2039.9,144.0,2832.6,687.4,398.6,2035.6,2891.2,110,81.1,17.2
0.119656,341.8,74.5,2032.2,141.8,2783.5,766.3,398.7,2039.4,2891,109.9,81,17
0.121656,346.3,79.7,2025.6,122.6,2764.4,680.8,398.8,2043.2,2890.7,109.8,80.8,16.6
0.123656,346.9,83.6,2020.8,99.6,2775.8,538.2,399,2047,2890.5,109.7,80.7,16.4
0.125656,345.5,87.8,2015.5,80.2,2790.0,416.3,399.1,2050.8,2890.3,109.6,80.5,16.3
0.127656,345.9,93.9,2011.4,68.3,2799.2,341.0,399.3,2054.8,2890,109.6,80.4,16.6
0.129656,345.8,98.0,2010.3,63.8,2801.7,309.4,399.4,2058.7,2889.8,109.5,80.4,17.1
0.131656,339.5,93.8,2011.0,66.2,2798.1,317.7,399.6,2062.7,2889.5,109.4,80.3,17.6
0.133656,328.6,82.7,2010.2,75.6,2788.8,373.9,399.7,2066.7,2889.3,109.3,80.3,18.1
0.135656,320.7,73.0,2006.8,90.4,2781.7,523.3,399.9,2070.8,2889,109.3,80.3,18.4
0.137656,319.4,70.7,2004.6,98.1,2806.6,824.9,400,2074.8,2888.7,109.2,80.3,18.5
0.139656,321.2,73.0,2005.4,90.3,2808.9,1793.8,400.2,2079,2888.4,109.1,80.3,18.4
0.141656,318.3,74.5,2005.5,75.3,2953.2,1123.3,400.3,2083.1,2888.2,109.1,80.3,18.3
0.143656,311.5,75.1,2004.8,65.6,2865.4,773.2,400.5,2087.3,2887.8,109,80.4,18.1
0.145656,306.5,76.6,2007.1,66.0,2824.3,574.4,400.7,2091.5,2887.5,109,80.4,18.1
0.147656,306.9,81.6,2011.5,71.8,2799.1,501.1,400.8,2095.7,2887.2,109,80.4,18.2
0.149656,309.3,85.4,2011.6,74.9,2790.3,493.0,401,2099.9,2886.9,108.9,80.5,18.4
0.151656,307.6,83.5,2005.3,75.1,2805.0,519.2,401.1,2104.1,2886.5,108.9,80.6,18.6
0.153656,304.9,82.7,1997.2,74.7,2834.1,563.7,401.3,2108.4,2886.2,108.9,80.7,18.8
0.155656,306.0,89.1,1992.3,73.6,2851.0,626.9,401.4,2112.7,2885.8,108.9,80.8,19.1
0.157656,310.4,97.5,1992.1,72.1,2843.0,659.7,401.6,2117,2885.5,108.9,81,19.3
0.159656,314.9,100.5,1995.3,70.6,2817.6,567.0,401.8,2121.3,2885.1,108.9,81.1,19.7
0.161656,320.6,102.6,2005.6,73.5,2786.7,420.2,401.9,2125.6,2884.7,108.9,81.2,20
0.163656,333.1,115.0,2030.2,83.5,2760.3,337.2,402.1,2129.9,2884.3,108.9,81.2,20.3
0.165656,355.3,137.0,2059.7,91.0,2741.8,321.6,402.3,2134.2,2883.9,108.9,81.3,20.7
0.167656,373.7,148.7,2069.3,92.3,2726.6,345.3,402.4,2138.5,2883.5,108.9,81.3,21
0.169656,376.3,143.8,2058.1,94.3,2716.7,392.3,402.6,2142.8,2883.1,108.9,81.3,21.5
0.171656,373.7,134.4,2033.0,95.7,2729.7,429.2,402.7,2147.1,2882.7,108.9,81.3,21.9
0.173656,380.3,134.7,2002.4,90.6,2761.7,418.2,402.9,2151.4,2882.2,109,81.2,22.2
0.175656,394.3,143.7,1983.5,80.7,2784.0,390.3,403.1,2155.6,2881.8,109,81.2,22.3
0.177656,400.2,149.6,1979.9,74.7,2794.9,388.9,403.2,2159.9,2881.3,109,81.1,22
0.179656,392.9,146.2,1982.9,76.2,2801.8,409.5,403.4,2164.2,2880.8,109.1,81.1,21.5
0.181656,385.5,142.3,1987.8,91.6,2799.4,436.0,403.6,2168.4,2880.3,109.1,81.1,20.9
0.183656,386.5,150.9,1992.3,133.9,2786.4,462.1,403.7,2172.6,2879.8,109.2,81.1,20.4
0.185656,386.7,166.7,1994.6,202.1,2773.2,460.9,403.9,2176.8,2879.3,109.2,81.1,20.2
0.187656,375.2,174.5,1995.8,256.7,2771.0,400.4,404.1,2181,2878.8,109.3,81.1,20.3
0.189656,358.7,177.9,2005.7,296.8,2780.0,316.0,404.2,2185.1,2878.2,109.3,81.2,20.6
0.191656,351.0,193.1,2037.7,360.9,2799.4,270.2,404.4,2189.3,2877.7,109.4,81.2,21.1
0.193656,353.1,216.1,2099.3,448.3,2829.2,259.6,404.5,2193.4,2877.1,109.4,81.3,21.6
0.195656,350.9,214.4,2172.0,513.1,2864.7,261.1,404.7,2197.4,2876.6,109.5,81.4,22.2
0.197656,344.7,192.8,2196.2,567.1,2893.2,264.5,404.9,2201.4,2876,109.6,81.4,22.9
0.199656,346.7,181.0,2118.5,613.4,2904.7,255.4,405,2205.4,2875.4,109.6,81.5,23.9
0.201656,361.7,187.5,2024.5,542.2,2905.0,226.3,405.2,2209.4,2874.8,109.7,81.5,24.9
0.203656,377.5,194.9,1991.3,505.7,2910.1,205.3,405.3,2213.3,2874.2,109.7,81.6,25.6
0.205656,376.2,190.2,1986.3,535.2,2922.3,204.8,405.5,2217.2,2873.5,109.8,81.6,25.9
0.207656,366.6,182.9,1999.1,575.1,2937.7,224.5,405.6,2221,2872.9,109.9,81.6,25.6
0.209656,366.3,190.2,2023.9,581.9,2952.4,257.2,405.8,2224.8,2872.2,109.9,81.6,24.7
0.211656,381.9,213.6,2040.0,574.5,2961.4,275.6,405.9,2228.5,2871.6,110,81.6,23.6
0.213656,393.4,224.1,2048.8,597.0,2967.9,277.4,406.1,2232.2,2870.9,110.1,81.5,22.7
0.215656,382.2,212.3,2073.9,677.6,2971.5,287.9,406.2,2235.8,2870.2,110.2,81.5,22.2
0.217656,365.3,195.4,2168.7,796.7,2968.5,324.1,406.4,2239.4,2869.5,110.2,81.4,22.3
0.219656,357.9,190.4,2338.0,712.0,2969.6,357.5,406.5,2242.9,2868.7,110.3,81.4,22.8
0.221656,358.2,194.6,724.5,1933.9,2384.6,528.1,406.7,2246.3,2868,110.4,81.4,23.4
0.223656,355.4,191.4,751.1,1681.6,2362.6,454.4,406.8,2249.7,2867.2,110.5,81.4,24
0.225656,355.5,190.1,508.8,2233.9,2293.3,462.9,407,2253,2866.5,110.5,81.4,24.2
0.227656,370.3,202.4,2197.0,481.3,2957.9,367.2,407.1,2256.3,2865.7,110.6,81.4,23.9
0.229656,402.0,217.9,2124.0,457.1,2913.7,424.2,407.3,2259.5,2864.9,110.7,81.4,23.3
0.231656,422.9,218.7,2095.5,451.8,2895.9,429.7,407.4,2262.6,2864.1,110.8,81.4,22.6
