time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025896,315.8,111.3,1442.7,267.6,2312.6,608.0,552.8,1466.3,2376,105.4,74.5,5.4
0.027896,307.3,111.9,1436.4,264.0,2351.1,528.1,552.8,1466.4,2376.1,105.3,75,6.4
0.029896,310.8,125.3,1436.4,272.0,2385.2,456.6,552.7,1466.7,2376.2,105.2,75.3,7.8
0.031896,327.5,138.0,1438.1,288.2,2396.1,392.6,552.5,1467.2,2376.4,105.2,75.5,9.1
0.033896,341.0,140.4,1444.1,309.9,2390.5,326.0,552.3,1467.7,2376.7,105.1,75.6,9.9
0.035896,341.6,147.1,1460.9,348.8,2381.9,268.5,552.1,1468.3,2377,105,75.7,10.3
0.037896,339.3,163.6,1484.9,399.5,2382.2,242.2,551.8,1469.1,2377.4,105,76,10.4
0.039896,346.0,173.4,1498.8,438.0,2393.4,238.4,551.5,1470,2377.9,104.9,76.2,10.3
0.041896,359.0,153.8,1486.8,427.7,2412.8,241.2,551.1,1471,2378.4,104.8,76.5,10.1
0.043896,365.7,121.6,1456.2,370.6,2438.9,246.2,550.7,1472.1,2379,104.8,76.8,9.6
0.045896,367.1,97.9,1423.0,292.1,2471.7,258.5,550.3,1473.4,2379.6,104.7,77,8.7
0.047896,371.9,91.5,1404.9,222.0,2492.3,275.2,549.8,1474.7,2380.3,104.6,77.2,7.5
0.049896,389.5,100.3,1407.2,175.4,2479.8,296.4,549.3,1476.2,2381,104.6,77.5,6.1
0.051896,420.9,111.9,1422.5,153.3,2447.9,331.3,548.7,1477.8,2381.9,104.5,77.9,4.8
0.053896,456.7,121.5,1443.8,150.2,2425.2,384.2,548.1,1479.5,2382.7,104.5,78.5,3.7
0.055896,498.1,127.9,1465.3,154.3,2418.5,436.5,547.5,1481.3,2383.6,104.4,79.2,2.7
0.057896,538.6,118.0,1478.6,150.5,2410.4,455.9,546.8,1483.3,2384.6,104.4,80,1.7
0.059896,568.2,98.1,1485.7,141.0,2403.5,453.9,546.1,1485.3,2385.7,104.3,80.7,0.8
0.061896,582.6,83.4,1490.1,138.4,2409.6,471.3,545.3,1487.5,2386.8,104.3,81.3,0.3
0.063896,589.9,79.9,1496.4,151.1,2438.6,531.0,544.5,1489.7,2387.9,104.2,81.7,0.2
0.065896,602.0,88.7,1510.4,180.4,2502.8,618.4,543.7,1492.1,2389.1,104.2,82,0.7
0.067896,624.8,101.9,1529.3,202.7,2575.2,642.0,542.8,1494.6,2390.4,104.2,82.3,1.8
0.069896,649.1,103.0,1540.6,195.5,2603.1,606.6,541.9,1497.2,2391.7,104.1,82.4,3.1
0.071896,659.7,94.5,1544.0,175.8,2597.6,577.1,540.9,1499.9,2393.1,104.1,82.5,4.5
0.073896,657.6,88.8,1547.1,165.7,2568.2,558.3,539.9,1502.7,2394.5,104.1,82.7,5.7
0.075896,650.9,90.0,1552.0,172.5,2496.0,518.6,538.9,1505.6,2396,104.1,82.8,6.9
0.077896,647.8,94.5,1554.3,187.9,2428.7,456.4,537.8,1508.6,2397.6,104.1,82.9,8.1
0.079896,647.9,93.5,1550.8,197.5,2392.0,417.5,536.7,1511.7,2399.2,104.1,83,9.3
0.081896,645.9,87.2,1545.5,199.6,2376.2,416.5,535.6,1514.9,2400.8,104.1,83.1,10.3
0.083896,641.6,84.6,1548.3,202.1,2377.8,449.8,534.4,1518.2,2402.5,104.1,83.1,10.9
0.085896,638.0,90.7,1566.1,201.2,2393.5,475.7,533.2,1521.6,2404.2,104.1,83.2,11
0.087896,638.2,98.3,1581.4,186.8,2389.7,447.4,532,1525.1,2406,104.2,83.2,10.7
0.089896,640.7,97.4,1584.2,167.4,2373.0,417.3,530.7,1528.7,2407.9,104.2,83.2,10.2
0.091896,640.9,91.0,1582.5,153.1,2361.5,411.1,529.4,1532.4,2409.8,104.2,83.2,9.7
0.093896,638.6,90.0,1585.4,149.8,2364.1,416.6,528.1,1536.2,2411.7,104.3,83.2,9.5
0.095896,636.7,100.0,1597.7,163.1,2378.5,406.6,526.7,1540,2413.7,104.3,83.1,9.6
0.097896,637.0,112.8,1613.8,188.8,2387.0,389.4,525.3,1544,2415.8,104.4,83.1,9.9
0.099896,636.8,113.1,1622.2,204.9,2387.7,379.5,523.9,1548,2417.9,104.4,83,10.3
0.101896,633.0,102.9,1619.0,199.7,2386.4,374.9,522.4,1552.2,2420,104.5,83,10.5
0.103896,627.8,93.6,1610.6,185.1,2387.2,368.2,521,1556.4,2422.2,104.5,83,10.6
0.105896,624.9,87.9,1601.1,174.8,2385.7,335.1,519.5,1560.7,2424.4,104.6,83.1,10.4
0.107896,625.6,82.1,1595.0,174.6,2379.1,296.5,517.9,1565,2426.7,104.7,83.1,10.1
0.109896,624.9,74.5,1595.8,178.7,2374.3,290.9,516.3,1569.5,2429,104.7,83.2,9.6
0.111896,621.0,69.8,1607.8,184.9,2373.5,330.1,514.8,1574,2431.3,104.8,83.4,9.1
0.113896,617.3,71.1,1636.2,193.4,2375.4,412.0,513.1,1578.6,2433.7,104.8,83.4,8.8
0.115896,617.1,75.8,1674.8,194.3,2376.3,482.3,511.5,1583.3,2436.2,104.9,83.5,8.5
0.117896,618.5,76.7,1695.8,182.2,2374.7,481.8,509.8,1588,2438.7,104.9,83.5,8.2
0.119896,615.5,72.8,1696.9,167.3,2371.4,463.8,508.2,1592.8,2441.2,105,83.6,7.9
0.121896,607.9,69.2,1689.1,155.9,2372.5,465.4,506.4,1597.7,2443.7,105,83.5,7.7
0.123896,601.0,70.8,1682.5,152.6,2387.6,486.6,504.7,1602.7,2446.3,105.1,83.5,7.7
0.125896,599.0,79.4,1682.5,163.7,2408.7,511.1,503,1607.7,2448.9,105.1,83.4,7.8
0.127896,598.5,86.9,1687.4,184.8,2412.4,540.6,501.2,1612.7,2451.6,105.1,83.3,8.1
0.129896,591.7,87.6,1693.0,207.3,2398.7,593.0,499.4,1617.8,2454.3,105.2,83.2,8.4
0.131896,579.7,86.9,1705.8,230.3,2378.1,683.0,497.6,1623,2457,105.2,83.1,8.7
0.133896,569.3,90.6,1743.5,247.0,2375.0,834.8,495.8,1628.2,2459.8,105.2,83,8.8
0.135896,563.6,96.6,1799.9,230.5,2429.0,1060.4,493.9,1633.5,2462.6,105.2,83,8.6
0.137896,558.1,97.0,1831.1,201.6,2514.2,1276.7,492.1,1638.8,2465.4,105.2,83,8.2
0.139896,548.0,94.4,1839.2,183.0,2596.8,1503.3,490.2,1644.2,2468.2,105.3,82.9,7.7
0.141896,535.1,93.2,1831.6,169.0,2686.3,1670.4,488.3,1649.6,2471.1,105.3,82.9,7.3
0.143896,522.2,93.7,1812.9,156.8,2723.7,1564.1,486.4,1655.1,2474,105.3,82.7,7.1
0.145896,511.7,95.6,1793.5,148.1,2689.1,1300.0,484.5,1660.6,2477,105.3,82.5,7.2
0.147896,505.3,99.3,1784.8,146.9,2701.8,1204.4,482.6,1666.1,2479.9,105.3,82.3,7.5
0.149896,500.1,107.6,1784.4,150.9,2829.7,1224.3,480.7,1671.7,2482.9,105.3,82,7.8
0.151896,497.7,126.5,1786.4,148.3,2927.2,140.5,478.7,1677.3,2485.9,105.4,81.7,8.2
0.153896,501.1,158.1,1784.3,139.2,2904.4,161.5,476.8,1683,2489,105.4,81.4,8.4
0.155896,504.2,194.3,1780.0,141.0,2862.3,195.1,474.8,1688.6,2492,105.4,81.1,8.4
