time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025417,262.6,196.9,1037.3,1608.5,2196.2,194.7,328.5,1698,2624.1,114.4,77.2,17.6
0.027417,258.3,166.7,1013.5,1616.4,2200.4,182.3,328.6,1698,2624,114.2,77.9,21.3
0.029417,251.7,139.5,1014.9,1520.2,2207.0,176.6,328.7,1698,2624,114.1,78.5,18.8
0.031417,248.6,125.8,1038.2,1330.8,2214.5,176.5,328.8,1697.9,2623.9,114,78.9,14.6
0.033417,251.1,121.9,1034.0,1141.5,2219.6,169.6,329,1697.8,2623.7,113.9,79.2,13.1
0.035417,254.3,116.3,999.2,988.0,2222.2,150.2,329.2,1697.7,2623.6,113.7,79.4,14.5
0.037417,253.1,109.1,956.1,853.1,2226.3,123.2,329.5,1697.6,2623.4,113.6,79.5,15.6
0.039417,250.0,109.0,920.4,726.1,2233.6,93.3,329.8,1697.5,2623.2,113.4,79.5,16.5
0.041417,251.0,117.3,902.5,641.3,2240.1,72.5,330.2,1697.4,2622.9,113.3,79.5,17.1
0.043417,256.7,123.6,902.3,612.5,2246.2,62.9,330.6,1697.2,2622.6,113.1,79.5,17.4
0.045417,262.0,122.9,931.3,656.8,2256.9,62.5,331.1,1697,2622.3,113,79.4,17.1
0.047417,265.4,131.7,1008.0,855.7,2278.6,71.5,331.6,1696.9,2622,112.8,79.4,16.4
0.049417,272.0,169.4,1149.6,1526.5,2303.9,101.7,332.1,1696.7,2621.6,112.7,79.5,15.5
0.051417,282.6,212.0,2305.8,162.7,2566.9,3320.3,332.7,1696.4,2621.2,112.5,79.6,14.4
0.053417,291.1,222.0,2265.3,197.0,2706.8,564.7,333.3,1696.2,2620.8,112.3,79.7,13.5
0.055417,293.3,204.6,2234.4,148.1,2690.7,308.2,333.9,1696,2620.4,112.2,80,12.5
0.057417,300.2,194.2,2226.5,104.8,2698.6,210.1,334.6,1695.7,2619.9,112,80.2,11.3
0.059417,319.5,195.9,2222.6,78.3,2706.2,169.8,335.4,1695.4,2619.4,111.9,80.5,10.2
0.061417,337.8,191.6,2219.7,62.6,2716.1,159.2,336.1,1695.1,2618.9,111.7,80.6,9.4
0.063417,346.2,183.4,2219.1,51.6,2739.0,169.1,336.9,1694.8,2618.3,111.5,80.8,9.1
0.065417,350.0,180.6,2221.8,43.0,2784.7,191.6,337.8,1694.5,2617.7,111.4,80.9,9.4
0.067417,359.8,187.8,2224.6,36.2,2837.4,201.5,338.7,1694.1,2617.1,111.2,80.9,10.2
0.069417,376.0,193.7,2224.2,31.5,2875.2,195.6,339.6,1693.8,2616.5,111.1,80.9,11.3
0.071417,386.3,191.0,2221.3,28.6,2903.1,186.1,340.6,1693.4,2615.8,110.9,80.9,12.4
0.073417,392.8,189.3,2219.0,27.4,2935.3,172.8,341.6,1693,2615.1,110.8,80.9,13.3
0.075417,404.9,196.1,2220.2,28.6,2969.3,154.7,342.7,1692.6,2614.4,110.7,80.8,14
0.077417,426.4,207.1,2225.3,31.5,2994.5,138.9,343.8,1692.2,2613.6,110.5,80.7,14.6
0.079417,445.3,208.3,2230.2,33.3,3011.6,133.8,344.9,1691.7,2612.9,110.4,80.6,15.2
