time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025333,259.5,277.9,2316.8,142.0,3841.6,198.9,262.1,1966.2,2915.1,0,71.1,-36.5
0.027333,273.8,297.4,449.2,2911.5,2319.3,114.0,262.1,1966.4,2915.2,0,72.6,4.3
0.029333,283.3,279.5,782.1,2248.1,2322.1,105.5,262.2,1966.8,2915.3,0,73.9,17.2
0.031333,286.8,248.9,954.6,1777.9,2324.0,114.0,262.2,1967.2,2915.5,113.4,75,18.4
0.033333,288.2,235.3,1048.4,1461.5,2324.7,141.5,262.2,1967.9,2915.8,113.2,76.1,13.1
0.035333,289.6,243.5,1087.6,1280.6,2326.4,182.7,262.3,1968.6,2916.2,112.9,77.1,6.5
0.037333,285.3,242.1,1099.1,1198.5,2333.1,212.1,262.3,1969.5,2916.6,112.7,78.1,3.5
0.039333,274.9,208.1,1115.5,1155.8,2342.8,228.0,262.4,1970.5,2917,112.4,78.9,4.5
0.041333,265.0,168.1,1141.2,1122.6,2347.6,242.0,262.4,1971.6,2917.6,112.2,79.6,5.9
0.043333,260.9,151.7,1157.6,1074.7,2340.6,243.8,262.5,1972.9,2918.2,111.9,80.1,7.6
0.045333,264.3,165.2,1142.1,1010.7,2329.1,214.7,262.6,1974.3,2918.8,111.7,80.4,9.3
0.047333,272.4,194.5,1111.8,1018.2,2327.5,181.8,262.7,1975.9,2919.6,111.4,80.5,10.6
0.049333,278.7,223.9,1090.9,1316.4,2332.8,178.9,262.8,1977.6,2920.3,111.2,80.6,11.6
0.051333,282.6,244.8,943.0,2674.5,2326.0,199.9,262.9,1979.4,2921.2,110.9,80.7,12.5
0.053333,282.9,243.4,2306.7,187.4,3325.6,1816.1,263,1981.3,2922.1,110.7,80.8,13.3
0.055333,284.2,241.5,2303.2,147.9,3264.4,1129.1,263.1,1983.4,2923.1,110.5,81,14
0.057333,288.7,238.2,2310.9,117.8,3290.5,793.6,263.2,1985.6,2924.1,110.3,81,14.7
0.059333,289.8,223.4,2319.3,101.1,3303.8,613.0,263.3,1987.9,2925.2,110,81.1,15.3
0.061333,287.4,211.9,2324.2,98.2,3310.5,535.2,263.5,1990.4,2926.3,109.8,81.3,15.8
0.063333,287.6,220.3,2324.0,104.6,3307.1,515.5,263.6,1992.9,2927.5,109.7,81.4,16.3
0.065333,293.1,246.2,2321.2,107.6,3293.6,512.8,263.8,1995.6,2928.8,109.5,81.6,16.8
0.067333,296.8,256.3,2321.8,100.9,3290.5,514.2,263.9,1998.5,2930.1,109.3,81.8,17.4
0.069333,291.7,239.8,2328.6,91.4,3317.4,542.6,264.1,2001.4,2931.5,109.2,81.9,18.2
0.071333,286.5,229.9,2339.4,83.6,3379.6,597.5,264.3,2004.5,2932.9,109,82.1,19.1
0.073333,292.0,249.4,2347.0,76.7,3429.5,607.9,264.5,2007.7,2934.4,108.9,82.2,20
0.075333,307.3,277.1,2348.5,70.2,3428.0,568.5,264.7,2011,2936,108.8,82.2,20.9
0.077333,313.1,267.8,2347.2,65.6,3416.2,538.4,264.9,2014.4,2937.6,108.7,82.3,21.5
0.079333,305.2,239.7,2347.3,64.2,3440.3,546.5,265.1,2017.9,2939.2,108.6,82.3,22.2
0.081333,299.7,230.4,2351.6,64.7,3522.1,516.5,265.3,2021.6,2940.9,108.5,82.4,22.8
0.083333,305.0,242.4,2356.7,62.0,3568.5,417.8,265.5,2025.4,2942.7,108.4,82.4,23.3
0.085333,310.8,240.8,2358.6,58.2,3568.9,372.2,265.7,2029.2,2944.5,108.3,82.4,23.4
0.087333,295.3,203.5,2358.7,60.1,3566.0,352.7,266,2033.2,2946.4,108.2,82.4,23
0.089333,271.8,147.3,812.7,2903.4,2360.4,77.7,266.2,2037.3,2948.3,108.2,82.4,21.6
0.091333,264.5,115.9,1519.6,1531.6,2365.8,118.0,266.5,2041.5,2950.2,108.1,82.5,19.6
0.093333,267.3,114.8,1748.0,1004.0,2377.4,160.7,266.7,2045.8,2952.3,108.1,82.6,17.2
0.095333,269.9,120.6,1891.9,712.4,2396.2,171.2,267,2050.2,2954.3,108,82.8,14.9
