time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025448,445.7,147.5,2132.7,118.5,2799.3,231.2,396.8,2014,2729.1,116.6,74.3,-19.2
0.027448,448.1,131.2,2130.6,98.4,2809.6,198.2,396.8,2014.1,2729.1,116.4,75.5,9.3
0.029448,457.0,125.5,2128.4,77.4,2817.0,171.6,396.8,2014.3,2729.1,116.3,76.5,17
0.031448,466.0,126.4,2126.2,63.7,2822.1,162.7,396.8,2014.5,2729.1,116.1,77.4,16.1
0.033448,468.1,129.6,2124.2,57.8,2828.2,164.3,396.8,2014.8,2729.2,116,78.3,11.1
0.035448,464.8,129.6,2121.9,59.0,2835.1,171.9,396.8,2015.2,2729.2,115.8,79.1,6.6
0.037448,462.8,126.0,2118.6,66.2,2836.5,185.9,396.8,2015.6,2729.3,115.6,79.8,6.1
0.039448,465.0,123.7,2112.7,71.8,2831.9,205.7,396.8,2016.1,2729.3,115.4,80.4,6
0.041448,467.0,123.2,2106.4,68.6,2828.7,218.7,396.7,2016.7,2729.4,115.2,80.9,5.5
0.043448,464.0,118.1,2102.8,60.7,2832.9,214.3,396.7,2017.3,2729.5,115,81.3,5
0.045448,461.7,109.6,2101.8,53.2,2847.7,196.2,396.7,2018,2729.6,114.8,81.6,4.8
0.047448,465.7,104.5,2102.9,49.7,2877.0,180.1,396.7,2018.8,2729.7,114.6,81.7,5
0.049448,475.4,103.6,2107.6,54.7,2927.7,169.9,396.6,2019.6,2729.8,114.3,81.8,5.6
0.051448,483.5,106.6,2120.4,74.4,2975.9,159.6,396.6,2020.5,2729.9,114.1,81.8,6.4
0.053448,484.8,112.5,2141.4,104.6,2999.5,162.8,396.6,2021.5,2730,113.9,81.9,7.3
0.055448,480.3,116.2,2149.7,115.1,3002.3,197.7,396.6,2022.5,2730.1,113.7,82,8.1
0.057448,474.6,111.6,2142.1,110.6,2997.3,267.7,396.5,2023.6,2730.3,113.4,82.3,8.9
