time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025021,689.9,537.3,2016.6,100.3,2236.7,927.3,456.2,1382.7,2245.9,0,55.1,-200
0.027021,698.2,428.5,2017.7,94.8,2185.0,855.2,456.2,1382.8,2245.9,0,56.2,-200
0.029021,638.2,432.4,2023.0,84.7,2159.6,997.4,456.3,1383,2245.9,0,57.6,-169.3
0.031021,511.7,475.3,2029.3,82.9,2172.4,1395.8,456.4,1383.1,2246,0,59.9,-124.2
0.033021,417.4,433.5,2040.4,150.7,2254.6,1565.2,456.5,1383.4,2246,0,62,-74.1
0.035021,374.2,330.8,1832.6,674.7,2300.4,388.4,456.6,1383.7,2246.1,0,64.3,-28.9
0.037021,356.4,230.4,1599.7,456.0,2394.8,154.6,456.7,1384,2246.1,0,66.2,2.1
0.039021,349.2,185.6,1562.4,360.0,2414.5,100.5,456.9,1384.4,2246.2,102.9,67.7,15.4
0.041021,344.4,163.6,1562.2,311.3,2423.0,83.1,457,1384.8,2246.3,102.9,68.9,17.5
0.043021,339.6,149.4,1567.9,277.9,2428.6,82.5,457.2,1385.3,2246.4,103,69.9,13.3
0.045021,335.4,139.8,1579.0,255.0,2425.7,101.3,457.5,1385.8,2246.5,103.1,70.7,7.6
0.047021,335.7,138.4,1591.3,241.0,2405.3,126.1,457.7,1386.4,2246.6,103.1,71.5,5.4
0.049021,335.8,134.4,1600.9,238.8,2380.6,136.2,458,1387.1,2246.7,103.2,72.2,6.6
0.051021,329.5,123.4,1608.1,250.5,2362.9,139.7,458.3,1387.8,2246.9,103.2,72.9,8.1
0.053021,320.4,114.0,1613.5,272.5,2355.7,145.5,458.6,1388.5,2247,103.3,73.5,9.7
0.055021,313.7,110.8,1616.7,300.2,2368.8,155.0,458.9,1389.3,2247.2,103.3,74.2,11.2
0.057021,316.0,112.5,1613.0,297.9,2412.3,144.2,459.2,1390.2,2247.3,103.4,74.7,12.4
0.059021,324.9,108.7,1597.5,235.8,2457.2,100.2,459.6,1391.1,2247.5,103.4,75.2,13.4
0.061021,330.2,101.5,1576.8,167.3,2485.9,65.7,460,1392,2247.7,103.5,75.6,14.2
0.063021,330.5,97.1,1559.1,128.1,2506.6,50.8,460.4,1393,2247.9,103.5,76,14.9
0.065021,328.0,98.0,1540.2,110.1,2527.6,45.0,460.8,1394,2248.1,103.5,76.3,15.4
0.067021,326.4,106.0,1519.4,102.5,2540.3,40.1,461.3,1395.1,2248.3,103.5,76.5,15.8
0.069021,326.1,110.7,1502.3,96.9,2542.3,34.6,461.7,1396.3,2248.5,103.5,76.7,16.1
