time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025052,567.3,47.6,897.2,1120.9,2525.7,372.0,506.9,1232.7,2415.3,0,65.6,-200
0.027052,571.8,57.5,989.0,1247.9,2556.2,337.6,506.9,1232.7,2415.3,0,65.9,-200
0.029052,575.4,77.6,990.0,1182.6,2569.6,299.5,506.9,1232.6,2415.3,0,66,-200
0.031052,577.7,108.5,882.4,964.1,2569.8,273.1,506.9,1232.5,2415.2,0,65.8,-200
0.033052,578.0,145.1,800.9,700.5,2564.1,264.5,506.9,1232.4,2415.2,0,65.5,-200
0.035052,577.2,176.3,765.0,545.2,2554.3,273.3,506.9,1232.3,2415.1,0,65,-200
0.037052,586.9,190.0,745.4,548.1,2535.3,290.8,506.9,1232.1,2415,0,64.3,-200
0.039052,611.9,162.2,749.7,859.3,2506.3,312.5,507,1231.9,2414.9,0,63.4,-200
0.041052,633.9,119.1,1248.8,1405.2,2481.4,345.6,507,1231.7,2414.8,0,62.3,-200
0.043052,657.6,92.2,1587.7,909.6,2473.5,374.3,507,1231.5,2414.7,0,61.1,-200
0.045052,675.8,76.1,1693.1,635.4,2464.2,374.3,507,1231.2,2414.5,0,60,-200
0.047052,684.6,65.5,1738.9,546.7,2439.4,363.4,507,1231,2414.4,0,59.4,-200
0.049052,689.0,59.1,1771.4,595.5,2401.1,366.1,507,1230.7,2414.2,0,59.5,-200.9
0.051052,687.1,60.9,1799.3,917.1,2332.0,375.0,507.1,1230.3,2414,0,59.8,-206.3
0.053052,676.0,77.9,1747.3,2707.6,2261.8,280.7,507.1,1230,2413.8,0,60.4,-212.4
0.055052,657.4,108.3,679.2,894.2,2250.8,200.2,507.1,1229.6,2413.6,0,61,-214.6
0.057052,636.6,117.8,695.8,653.0,2257.6,181.3,507.1,1229.2,2413.4,0,61.5,-208
0.059052,627.8,88.5,703.0,800.3,2274.9,211.0,507.2,1228.8,2413.2,0,62.3,-187.3
0.061052,627.3,61.2,780.9,1848.4,2314.0,280.3,507.2,1228.4,2413,0,63.3,-149
0.063052,625.5,62.7,1444.6,1406.5,2358.0,345.8,507.2,1227.9,2412.7,0,65.1,-101.2
0.065052,596.0,127.1,1193.3,1714.7,2328.6,384.7,507.2,1227.5,2412.4,0,67.4,-53.2
0.067052,488.8,200.0,734.6,631.3,2267.8,350.1,507.3,1227,2412.2,0,69.8,-14.5
0.069052,439.6,140.3,751.3,359.2,2259.7,260.3,507.3,1226.4,2411.9,0,72,6.9
0.071052,432.6,121.1,740.6,261.7,2287.3,170.3,507.3,1225.9,2411.6,0,74,14.6
0.073052,433.3,121.5,732.6,208.0,2309.3,119.9,507.3,1225.3,2411.3,0,75.7,13.9
0.075052,431.5,124.1,726.6,163.6,2322.8,97.8,507.4,1224.7,2411,0,77.1,9.3
0.077052,426.3,119.9,724.3,129.0,2331.3,88.3,507.4,1224.1,2410.7,127.9,78.3,5.3
0.079052,423.1,110.7,730.1,106.3,2335.1,86.1,507.4,1223.5,2410.3,128,79.3,5.4
0.081052,427.6,102.8,746.6,91.2,2336.0,87.1,507.5,1222.8,2410,128,80.2,6.1
0.083052,440.6,98.5,766.0,78.7,2339.6,86.3,507.5,1222.2,2409.6,128,81,6.8
0.085052,456.2,95.7,779.5,70.7,2347.1,87.3,507.5,1221.5,2409.3,128,81.8,7.3
0.087052,469.3,96.3,789.0,69.7,2354.5,96.1,507.5,1220.8,2408.9,128,82.5,7.8
0.089052,482.5,101.0,799.7,73.8,2357.8,113.5,507.6,1220.1,2408.5,128,83.2,8.3
0.091052,496.7,102.8,813.4,75.8,2359.2,128.4,507.6,1219.3,2408.2,128,83.8,8.8
0.093052,508.2,97.4,828.0,71.6,2364.0,132.4,507.6,1218.6,2407.8,128,84.4,9.2
0.095052,516.7,91.9,842.3,67.4,2368.9,132.1,507.6,1217.8,2407.4,128,84.8,9.6
0.097052,525.5,92.3,858.4,68.3,2369.6,131.4,507.6,1217,2407,128,85.1,9.8
0.099052,533.9,97.0,877.1,71.9,2369.0,128.8,507.6,1216.2,2406.6,128,85.2,9.9
0.101052,538.3,103.0,895.5,74.3,2370.0,127.3,507.7,1215.3,2406.2,128,85.2,9.7
0.103052,539.6,110.1,911.2,76.9,2369.4,134.3,507.7,1214.5,2405.7,128,85.1,9.4
0.105052,545.2,119.1,925.3,83.9,2360.3,153.8,507.7,1213.6,2405.3,128,84.9,9.1
0.107052,557.6,126.0,939.4,93.2,2343.7,178.6,507.7,1212.8,2404.9,127.9,84.8,9
0.109052,569.1,125.6,952.8,100.8,2329.9,203.1,507.7,1211.9,2404.5,127.9,84.6,9
0.111052,573.9,121.7,966.4,110.8,2319.6,239.5,507.7,1211,2404,127.9,84.5,9.3
0.113052,576.5,120.8,984.4,132.2,2302.3,299.2,507.7,1210,2403.6,127.9,84.4,9.7
0.115052,581.4,121.0,1008.0,160.9,2276.9,369.1,507.7,1209.1,2403.1,127.9,84.2,10.1
0.117052,585.8,118.8,1031.1,182.0,2258.4,436.8,507.7,1208.2,2402.7,127.9,84.1,10.6
0.119052,586.3,116.3,1054.7,197.7,2258.8,543.0,507.7,1207.2,2402.3,127.9,83.9,11
0.121052,586.3,115.8,1089.2,216.4,2277.1,762.5,507.6,1206.2,2401.8,127.9,83.8,11.4
0.123052,589.3,116.5,1129.6,223.9,2278.9,1063.1,507.6,1205.2,2401.4,127.9,83.7,11.9
0.125052,594.3,118.6,1157.3,215.9,2300.2,1214.0,507.6,1204.3,2400.9,127.9,83.6,12.3
0.127052,597.7,121.5,1170.3,208.7,2351.6,1089.2,507.6,1203.2,2400.5,127.9,83.6,12.7
0.129052,601.6,123.4,1178.1,208.6,2326.9,801.2,507.5,1202.2,2400,127.9,83.6,13.1
0.131052,610.5,123.6,1188.2,211.7,2299.8,661.7,507.5,1201.2,2399.6,128,83.6,13.5
0.133052,619.2,121.2,1199.8,207.5,2307.9,633.0,507.4,1200.2,2399.2,128,83.6,13.8
0.135052,621.5,119.6,1212.3,192.6,2339.3,663.3,507.4,1199.1,2398.7,128.1,83.6,14.2
0.137052,619.7,120.5,1226.3,173.5,2378.5,696.2,507.3,1198.1,2398.3,128.1,83.6,14.5
0.139052,618.6,120.9,1237.5,157.4,2399.7,700.1,507.3,1197,2397.9,128.2,83.6,14.9
0.141052,616.6,119.4,1242.1,145.6,2402.0,723.0,507.2,1195.9,2397.4,128.3,83.6,15.4
0.143052,610.7,118.3,1243.0,133.2,2373.9,777.0,507.1,1194.9,2397,128.4,83.5,15.9
0.145052,603.9,119.5,1245.7,117.5,2307.1,782.9,507,1193.8,2396.6,128.5,83.5,16.2
0.147052,600.6,122.0,1251.1,102.1,2247.5,738.8,507,1192.7,2396.2,128.6,83.4,16.3
0.149052,598.5,122.7,1256.8,92.4,2209.5,719.8,506.9,1191.6,2395.8,128.7,83.2,16.1
0.151052,593.0,122.3,1262.5,89.2,2178.1,727.3,506.8,1190.5,2395.4,128.9,83.1,15.4
0.153052,586.3,123.2,1268.2,91.0,2150.4,702.9,506.6,1189.4,2395,129,82.9,14.4
0.155052,582.2,126.7,1273.2,96.1,2138.6,642.3,506.5,1188.3,2394.6,129.2,82.7,13.4
0.157052,578.5,131.5,1277.3,105.0,2134.0,597.4,506.4,1187.2,2394.2,129.3,82.4,12.4
0.159052,571.4,136.8,1282.1,120.3,2122.4,577.1,506.3,1186.1,2393.8,129.5,82.2,11.7
0.161052,564.1,145.4,1290.2,145.1,2112.2,558.9,506.1,1185,2393.5,129.6,82,11
0.163052,560.1,161.8,1301.8,181.5,2116.2,555.2,506,1183.9,2393.1,129.8,81.8,10.4
0.165052,558.5,189.2,1316.2,230.8,2146.1,590.1,505.8,1182.8,2392.8,130,81.6,9.9
0.167052,561.0,229.9,1339.2,287.8,2226.5,589.9,505.6,1181.7,2392.4,130.1,81.5,9.6
0.169052,570.7,278.9,1369.0,324.1,2273.5,441.7,505.5,1180.6,2392.1,130.3,81.4,9.7
0.171052,577.2,324.6,1380.9,328.9,2265.3,348.5,505.3,1179.4,2391.8,130.5,81.4,10.2
0.173052,566.4,363.4,1372.5,329.2,2259.9,333.7,505.1,1178.3,2391.5,130.7,81.3,10.9
0.175052,552.5,403.9,1370.4,340.8,2281.4,345.4,504.9,1177.2,2391.2,130.8,81.3,11.6
0.177052,555.8,458.6,1389.4,365.7,2324.2,314.9,504.6,1176.1,2391,131,81.3,12.1
0.179052,557.9,499.0,1406.9,386.2,2352.9,270.3,504.4,1175,2390.7,131.2,81.3,12.2
0.181052,519.2,479.4,1390.5,390.9,2367.4,280.8,504.2,1173.9,2390.4,131.4,81.3,11.8
0.183052,472.7,413.2,1360.4,349.9,2366.3,368.6,503.9,1172.8,2390.2,131.6,81.2,11.2
0.185052,439.6,363.6,1347.6,293.4,2314.8,505.8,503.7,1171.8,2390,131.8,81.1,10.6
0.187052,412.1,332.7,1337.8,249.1,2219.9,541.0,503.4,1170.7,2389.8,132,81,10.1
0.189052,390.1,318.9,1326.5,221.4,2176.2,514.2,503.1,1169.6,2389.6,132.2,80.9,9.9
0.191052,376.3,315.9,1317.8,213.0,2183.3,530.4,502.8,1168.6,2389.5,132.5,80.8,10
0.193052,370.1,303.5,1312.0,216.6,2227.5,581.7,502.5,1167.5,2389.3,132.7,80.7,10.1
0.195052,365.7,276.1,1302.1,218.7,2290.3,623.8,502.2,1166.5,2389.2,132.9,80.7,10.3
