time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025021,520.1,50.9,1040.0,531.9,2328.6,381.7,592.9,890.7,2305.7,115,64.2,-200
0.027021,532.6,51.2,1045.3,600.1,2312.3,387.4,592.8,890.9,2305.7,115.1,64.9,-200
0.029021,538.7,48.3,1054.1,665.6,2299.5,380.3,592.7,891.2,2305.8,115.2,65.4,-200
0.031021,535.7,42.1,1054.3,718.4,2302.4,378.5,592.5,891.5,2306,115.3,65.7,-200
0.033021,531.9,34.8,1050.7,763.4,2339.3,372.7,592.2,892,2306.2,115.5,65.9,-200
0.035021,534.4,29.9,1048.5,799.2,2407.7,326.2,591.9,892.6,2306.5,115.6,65.9,-200
0.037021,544.8,28.4,1070.1,873.2,2456.7,261.9,591.6,893.3,2306.8,115.8,65.9,-200
0.039021,560.6,28.7,1125.6,1036.4,2473.6,236.1,591.1,894.1,2307.2,115.9,65.9,-200.9
0.041021,571.7,30.1,989.3,1202.6,2470.8,250.0,590.7,895,2307.6,116.1,65.9,-206.4
0.043021,571.9,31.2,868.3,873.5,2449.4,268.7,590.1,896,2308.1,116.3,66.2,-212.8
0.045021,568.1,31.7,846.9,730.8,2428.9,251.0,589.6,897.1,2308.6,116.5,66.5,-215
0.047021,566.3,34.0,828.6,671.7,2417.5,222.3,588.9,898.3,2309.1,116.7,66.9,-208.3
0.049021,567.9,41.9,799.4,599.0,2403.4,205.8,588.2,899.6,2309.7,116.9,67.2,-186
0.051021,571.2,58.2,763.3,509.0,2382.7,207.8,587.5,901,2310.4,117.1,67.5,-140.9
0.053021,574.1,75.2,737.4,467.2,2366.5,218.7,586.7,902.5,2311.1,117.3,67.6,-85.2
0.055021,579.4,77.2,730.6,535.9,2362.8,223.6,585.9,904.1,2311.8,117.5,67.6,-33.5
0.057021,586.7,61.2,757.8,799.3,2362.4,230.5,585,905.8,2312.6,117.7,67.4,-0.6
0.059021,593.4,42.7,1039.2,1400.1,2366.3,252.6,584,907.6,2313.4,118,66.9,-1.5
0.061021,601.0,32.2,1405.0,1122.6,2383.7,283.1,583,909.5,2314.3,0,66.1,-39.8
0.063021,612.0,31.2,1465.7,910.5,2408.0,305.6,582,911.6,2315.3,0,65.3,-97.6
0.065021,629.3,38.8,1416.2,883.7,2425.7,317.9,580.8,913.7,2316.2,0,64.6,-155.5
0.067021,650.4,53.4,1329.4,999.3,2426.8,315.5,579.7,915.8,2317.2,0,64.2,-194.1
0.069021,659.3,71.1,1168.2,1260.9,2405.0,298.1,578.5,918.1,2318.3,0,64.8,-195.6
