time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025854,792.0,571.9,1668.7,474.8,2365.3,230.2,515.5,1118.9,2265.9,0,59.9,-200
0.027854,718.8,569.0,1618.3,435.0,2352.0,226.7,515.5,1119.1,2266,0,59.7,-200
0.029854,648.2,543.5,1575.3,378.2,2347.1,236.6,515.6,1119.3,2266.1,0,59.2,-200
0.031854,596.2,517.7,1544.9,323.6,2361.4,282.2,515.6,1119.7,2266.2,0,58.6,-200
0.033854,570.5,555.2,1524.9,291.4,2401.3,368.6,515.7,1120.2,2266.3,0,58.1,-200
0.035854,540.7,667.7,1507.2,281.5,2429.3,433.0,515.8,1120.8,2266.5,0,58.2,-203.2
0.037854,459.9,814.9,1492.5,282.8,2427.3,453.0,515.8,1121.5,2266.7,0,58.6,-209.5
0.039854,351.2,866.5,1490.2,290.1,2415.4,442.9,515.9,1122.4,2267,0,58.8,-214.3
0.041854,312.3,769.9,1501.8,329.3,2400.2,433.1,516.1,1123.3,2267.2,0,59.4,-212.7
0.043854,395.0,660.2,1510.5,546.4,2360.9,491.3,516.2,1124.3,2267.5,0,60.8,-200
0.045854,645.5,648.1,1341.4,2355.7,2219.2,531.2,516.3,1125.5,2267.9,0,63.1,-170
0.047854,762.9,287.2,2202.9,333.3,3132.5,582.2,516.5,1126.8,2268.3,0,65.8,-125.9
0.049854,388.8,1589.2,775.9,235.0,2256.6,258.2,516.7,1128.1,2268.7,0,68.5,-77
0.051854,543.0,762.1,812.2,267.6,2314.7,196.6,516.9,1129.6,2269.1,118.6,71,-32.6
0.053854,502.8,432.8,865.0,227.2,2349.2,143.1,517.1,1131.2,2269.6,118.3,73.2,-2
0.055854,473.5,301.2,883.5,172.7,2366.5,108.6,517.3,1132.9,2270.1,117.9,75,11.9
0.057854,455.7,233.7,891.0,143.0,2379.7,84.4,517.5,1134.7,2270.6,117.6,76.6,15.2
0.059854,449.4,208.4,894.9,140.1,2390.4,68.0,517.7,1136.6,2271.2,117.2,78,12.4
0.061854,453.8,199.3,893.5,155.6,2397.2,56.5,518,1138.6,2271.8,116.8,79.2,7.9
0.063854,461.4,181.0,884.1,166.4,2399.7,49.5,518.2,1140.7,2272.4,116.4,80.3,6.1
0.065854,464.6,155.0,872.9,160.0,2401.2,46.1,518.5,1142.9,2273.1,116,81.2,6.9
0.067854,468.8,135.4,864.4,152.0,2404.4,48.7,518.8,1145.2,2273.8,115.6,82,7.3
0.069854,478.8,129.7,862.5,153.8,2409.4,58.9,519.1,1147.6,2274.5,115.2,82.7,7.6
0.071854,492.1,128.8,867.5,155.8,2414.6,70.4,519.4,1150.1,2275.3,114.8,83.2,8
0.073854,497.8,122.4,874.2,149.0,2420.0,73.2,519.7,1152.7,2276,114.4,83.6,8.5
0.075854,497.5,114.2,879.6,147.1,2428.2,71.5,520,1155.4,2276.9,114.1,84,9.5
0.077854,501.3,110.2,886.2,164.9,2439.8,71.2,520.4,1158.2,2277.7,113.7,84.2,10.7
0.079854,511.8,109.1,894.4,196.7,2446.9,72.4,520.7,1161.1,2278.6,113.3,84.4,11.9
0.081854,521.9,102.0,902.4,213.8,2447.1,72.6,521.1,1164.1,2279.5,112.9,84.6,13
0.083854,522.9,89.6,905.6,202.0,2444.4,72.6,521.5,1167.2,2280.4,112.6,84.7,13.9
0.085854,521.4,81.1,908.1,196.4,2440.5,76.8,521.9,1170.3,2281.4,112.2,84.8,14.3
0.087854,526.0,81.2,918.0,219.2,2432.4,87.7,522.2,1173.6,2282.4,111.9,84.9,14.6
0.089854,535.0,86.2,934.3,250.1,2422.8,94.5,522.6,1176.9,2283.4,111.6,85.1,14.6
0.091854,540.5,89.3,950.4,263.0,2417.3,89.1,523.1,1180.4,2284.5,111.3,85.2,14.6
0.093854,539.4,87.1,963.5,265.4,2413.8,79.6,523.5,1183.9,2285.5,111,85.3,14.5
0.095854,538.9,83.6,978.8,284.2,2405.1,74.2,523.9,1187.5,2286.7,110.7,85.3,14.3
0.097854,543.7,84.1,999.8,335.1,2390.9,70.2,524.3,1191.2,2287.8,110.5,85.3,14
0.099854,550.2,89.4,1013.4,387.2,2382.3,63.6,524.8,1195,2289,110.2,85.3,13.6
0.101854,552.4,95.8,1013.6,415.2,2379.4,55.8,525.2,1198.9,2290.2,110,85.3,13.2
0.103854,550.9,98.3,1020.9,441.9,2376.5,50.4,525.7,1202.8,2291.4,109.8,85.2,13.1
0.105854,551.0,98.7,1051.3,483.7,2367.4,50.4,526.2,1206.8,2292.6,109.6,85,13.2
0.107854,551.8,101.9,1087.9,493.2,2351.6,51.9,526.6,1210.9,2293.9,109.4,84.9,13.6
0.109854,550.8,109.7,1097.1,456.3,2338.8,49.1,527.1,1215.1,2295.2,109.2,84.7,14
0.111854,545.4,113.6,1086.6,411.6,2331.8,44.6,527.6,1219.3,2296.5,109,84.4,14.2
0.113854,539.7,109.9,1078.3,377.2,2330.6,43.8,528.1,1223.6,2297.9,108.8,84.2,14.2
0.115854,538.1,105.6,1079.7,339.1,2331.1,49.4,528.6,1228,2299.3,108.7,83.9,13.9
0.117854,539.9,104.5,1081.3,282.8,2326.0,54.9,529.1,1232.5,2300.7,108.5,83.7,13.5
0.119854,540.8,108.0,1078.1,251.6,2318.3,54.5,529.6,1237,2302.1,108.4,83.4,12.8
0.121854,539.8,115.8,1083.1,272.4,2310.7,57.6,530.1,1241.6,2303.6,108.3,83.2,11.9
0.123854,546.2,133.1,1133.8,395.6,2302.3,76.2,530.6,1246.2,2305,108.1,82.9,10.7
0.125854,560.5,152.3,1278.0,588.1,2294.2,108.6,531.1,1250.9,2306.6,108,82.6,9
0.127854,567.6,174.4,1414.3,643.5,2281.8,155.0,531.6,1255.7,2308.1,107.9,82.3,6.7
0.129854,554.0,196.9,1380.5,715.3,2261.0,244.6,532.1,1260.5,2309.6,107.8,82,4.2
0.131854,529.2,207.7,1296.6,736.6,2229.4,409.9,532.7,1265.4,2311.2,107.6,81.6,2
0.133854,519.0,209.9,1361.8,798.4,2289.1,338.0,533.2,1270.3,2312.8,107.5,81.1,0.5
0.135854,522.6,192.6,1471.1,558.7,2275.3,250.3,533.7,1275.3,2314.4,107.4,80.6,-0.3
0.137854,527.7,164.9,1456.0,393.8,2252.7,295.6,534.2,1280.3,2316.1,107.2,79.9,-0.5
0.139854,530.1,155.6,1440.8,404.7,2161.0,369.3,534.8,1285.4,2317.7,107.1,79.2,-0.5
0.141854,528.7,168.3,1434.1,500.4,2063.3,247.1,535.3,1290.5,2319.4,107,78.6,-0.3
0.143854,530.1,194.7,1502.6,565.9,2041.3,182.3,535.8,1295.7,2321.1,106.8,78.1,-0.4
0.145854,530.5,203.7,1573.3,556.5,2039.7,169.1,536.3,1300.9,2322.9,106.7,77.7,-0.6
0.147854,526.0,189.8,1591.0,524.5,2045.7,167.3,536.9,1306.2,2324.6,106.5,77.5,-1
0.149854,515.8,166.1,1560.7,490.1,2055.5,167.7,537.4,1311.5,2326.4,106.3,77.5,-1.3
0.151854,502.9,144.0,1502.6,433.2,2073.9,166.6,537.9,1316.8,2328.2,106.2,77.6,-1.4
0.153854,495.8,134.2,1441.8,358.8,2111.8,172.5,538.4,1322.1,2330,106,77.8,-1.3
0.155854,494.6,139.5,1410.6,293.9,2178.4,178.0,539,1327.5,2331.8,105.8,78.2,-0.7
0.157854,491.0,155.7,1407.4,246.1,2247.3,131.5,539.5,1333,2333.7,105.6,78.7,0.2
