time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025896,435.1,416.9,1523.2,562.1,2196.1,245.5,449.3,952.6,2320,0,59,-200
0.027896,438.7,451.1,1467.4,496.5,2206.0,302.2,449.3,952.9,2320,0,58.9,-200
0.029896,453.9,504.7,1457.8,457.9,2235.0,402.7,449.4,953.3,2320,0,58.5,-200
0.031896,462.3,519.8,1457.7,408.1,2254.0,482.7,449.5,953.9,2319.9,0,58,-200
0.033896,452.3,514.2,1458.9,345.7,2258.8,505.3,449.6,954.6,2319.9,0,57.6,-200
0.035896,430.4,539.5,1460.2,299.2,2272.4,506.7,449.8,955.5,2319.8,0,56.9,-200
0.037896,404.1,643.5,1458.9,292.9,2309.0,564.9,449.9,956.5,2319.7,0,56.6,-203.3
0.039896,375.9,896.0,1467.9,364.6,2502.7,654.1,450.1,957.7,2319.6,0,56.5,-209.8
0.041896,775.5,1489.4,1556.3,506.2,2585.7,390.4,450.4,959.1,2319.5,0,57,-214.7
0.043896,796.6,549.4,1669.9,483.0,2616.1,295.4,450.6,960.6,2319.4,0,59.4,-213
0.045896,768.9,247.2,1714.4,573.4,2616.5,261.0,450.9,962.3,2319.3,0,62.9,-200
0.047896,754.9,185.8,1645.7,1224.5,2582.6,268.4,451.2,964.1,2319.1,0,66,-169
0.049896,379.9,950.8,785.8,223.4,2533.3,262.2,451.6,966.1,2319,0,68.8,-123.4
0.051896,429.5,492.1,819.3,206.7,2490.6,235.9,451.9,968.2,2318.8,0,71.7,-72.9
0.053896,440.8,323.5,837.4,182.9,2473.4,217.2,452.3,970.5,2318.6,0,74.2,-27.2
0.055896,447.2,220.7,848.7,152.1,2474.5,203.1,452.7,973,2318.5,0,76.2,3.8
0.057896,449.1,155.9,855.1,122.3,2480.5,180.7,453.2,975.6,2318.3,117.4,77.9,16.9
0.059896,447.5,119.8,858.3,101.0,2485.1,158.7,453.6,978.4,2318.1,117.2,79.3,18.6
0.061896,445.2,100.5,859.2,88.2,2483.6,150.0,454.1,981.3,2317.8,117,80.4,13.8
0.063896,443.8,92.5,855.8,82.5,2473.8,156.0,454.6,984.3,2317.6,116.7,81.4,7.5
0.065896,443.4,91.8,847.2,81.9,2465.5,162.3,455.2,987.6,2317.4,116.5,82.1,4.5
0.067896,442.7,90.5,835.0,81.9,2468.0,166.4,455.7,990.9,2317.1,116.2,82.8,4.8
0.069896,444.1,87.9,826.3,82.0,2478.8,176.6,456.3,994.4,2316.9,116,83.3,5.2
0.071896,450.9,88.7,826.3,82.8,2487.2,203.0,456.9,998.1,2316.6,115.7,83.7,5.7
0.073896,462.6,91.8,836.1,79.4,2492.1,236.5,457.6,1001.9,2316.3,115.4,84,6.2
0.075896,472.6,94.0,848.7,72.5,2502.4,239.7,458.2,1005.8,2316,115.2,84.2,6.9
0.077896,475.9,93.5,858.9,67.9,2516.7,205.6,458.9,1009.9,2315.8,114.9,84.3,7.8
0.079896,477.7,91.9,866.1,70.6,2515.6,1528.3,459.6,1014.1,2315.5,114.6,84.4,8.8
0.081896,485.6,90.4,871.4,79.7,2527.9,148.7,460.3,1018.5,2315.2,114.4,84.4,10
0.083896,498.6,86.4,877.4,89.1,2522.8,132.3,461.1,1023,2314.8,114.1,84.4,11
0.085896,507.4,79.6,886.2,92.8,2519.4,112.3,461.8,1027.6,2314.5,113.9,84.3,11.8
0.087896,510.2,74.0,898.5,95.2,2517.5,89.5,462.6,1032.4,2314.2,113.6,84.3,12.2
0.089896,513.6,73.3,913.3,102.7,2510.4,71.9,463.4,1037.3,2313.8,113.4,84.2,12.4
0.091896,521.6,75.5,928.1,115.1,2494.0,62.0,464.2,1042.3,2313.5,113.2,84.1,12.5
0.093896,530.0,76.7,940.5,128.2,2477.7,56.9,465.1,1047.4,2313.2,113,83.9,12.6
0.095896,533.8,75.6,953.0,138.6,2471.7,56.0,465.9,1052.7,2312.8,112.8,83.9,13
0.097896,536.3,74.5,970.1,151.5,2469.0,61.8,466.8,1058.1,2312.4,112.6,83.8,13.8
0.099896,541.6,76.0,986.7,172.4,2455.7,76.2,467.7,1063.7,2312.1,112.4,83.8,15
0.101896,547.2,80.2,992.1,195.9,2427.1,88.1,468.6,1069.3,2311.7,112.2,83.9,16.1
0.103896,545.1,83.4,979.7,215.8,2402.5,85.0,469.5,1075.1,2311.3,112.1,83.9,17.1
0.105896,535.3,80.9,954.4,228.3,2390.8,82.6,470.5,1080.9,2311,111.9,84.1,17.5
0.107896,530.2,76.8,944.1,237.8,2379.3,83.4,471.4,1086.9,2310.6,111.8,84.2,17.2
0.109896,533.3,77.9,957.3,256.2,2369.8,74.0,472.4,1093,2310.2,111.7,84.3,16.4
0.111896,535.6,80.5,970.4,262.8,2366.3,59.3,473.4,1099.3,2309.8,111.5,84.4,15.4
0.113896,532.2,80.4,975.2,261.9,2367.0,45.8,474.4,1105.6,2309.4,111.4,84.5,14.4
0.115896,528.2,77.9,982.0,263.8,2369.8,36.4,475.4,1112,2309.1,111.3,84.5,13.8
0.117896,527.8,76.0,1002.3,263.3,2373.9,31.7,476.4,1118.5,2308.7,111.2,84.4,13.9
0.119896,529.7,75.8,1027.4,247.5,2376.9,35.1,477.4,1125.2,2308.3,111,84.3,14.4
0.121896,527.3,74.8,1036.8,231.8,2374.0,52.3,478.5,1131.9,2307.9,110.9,84.1,14.9
0.123896,520.2,71.2,1032.6,235.1,2357.1,92.6,479.5,1138.7,2307.5,110.8,83.8,15.1
0.125896,513.8,68.1,1024.5,249.7,2317.6,168.8,480.6,1145.6,2307.1,110.7,83.5,14.4
0.127896,510.1,68.6,1028.1,251.0,2240.2,282.3,481.7,1152.6,2306.7,110.6,83.2,12.7
0.129896,509.1,80.1,1062.7,257.2,2174.1,326.7,482.7,1159.7,2306.3,110.5,82.8,10
0.131896,509.3,105.2,1136.7,298.2,2169.1,316.0,483.8,1166.9,2306,110.4,82.3,7
0.133896,511.2,130.8,1255.5,299.5,2175.5,307.6,484.9,1174.2,2305.6,110.3,81.8,4.2
0.135896,512.2,147.6,1342.7,220.7,2186.8,341.3,486,1181.5,2305.2,110.1,81.2,2.1
0.137896,510.7,171.8,1389.1,152.3,2219.1,419.9,487.1,1188.9,2304.8,110,80.5,0.7
0.139896,509.8,224.8,1409.9,116.0,2271.8,512.0,488.3,1196.4,2304.5,109.9,79.8,-0.2
0.141896,502.2,310.1,1415.2,117.0,2277.9,558.9,489.4,1204,2304.1,109.7,79,-0.8
0.143896,454.0,379.4,1405.4,188.4,2149.7,383.9,490.5,1211.6,2303.7,109.6,78.2,-1.1
0.145896,415.5,426.0,1401.3,318.6,2089.9,208.8,491.6,1219.3,2303.4,109.5,77.6,-1.1
0.147896,409.5,517.9,1455.7,446.5,1941.3,5727.5,492.8,1227.1,2303,109.3,77.1,-0.8
0.149896,409.7,529.0,1485.2,425.7,2100.4,144.0,493.9,1234.9,2302.7,109.2,77,0
0.151896,408.0,467.4,1470.4,339.2,2104.8,133.4,495,1242.8,2302.4,109,77.1,0.9
0.153896,411.7,394.2,1447.9,287.1,2110.0,123.4,496.2,1250.7,2302,108.8,77.4,1.9
0.155896,424.8,334.1,1415.3,276.3,2121.4,116.3,497.3,1258.7,2301.7,108.7,77.9,2.7
0.157896,437.4,277.3,1365.4,283.9,2140.8,115.7,498.4,1266.7,2301.4,108.5,78.4,3.2
0.159896,437.4,228.1,1304.4,294.3,2168.0,124.6,499.5,1274.8,2301.1,108.4,78.9,3.6
0.161896,429.0,197.9,1254.1,303.0,2206.8,139.9,500.7,1282.9,2300.8,108.2,79.2,4
0.163896,425.6,195.0,1245.8,319.2,2252.7,132.6,501.8,1291.1,2300.5,108,79.5,4.3
0.165896,431.0,208.6,1267.8,342.6,2277.0,105.0,502.9,1299.3,2300.3,107.9,79.6,4.7
0.167896,439.3,219.5,1293.6,372.0,2287.2,85.1,504,1307.6,2300,107.7,79.7,5
0.169896,435.8,214.0,1323.0,399.0,2292.5,72.9,505.1,1315.8,2299.8,107.6,79.7,5.3
0.171896,418.8,196.9,1364.0,401.0,1919.7,5142.9,506.3,1324.1,2299.5,107.5,79.6,5.5
0.173896,399.9,177.4,1401.4,359.9,2303.0,60.3,507.4,1332.5,2299.3,107.4,79.3,5.7
0.175896,384.5,166.2,1412.9,318.5,2311.1,62.5,508.4,1340.8,2299.1,107.3,78.9,5.9
0.177896,371.6,171.9,1397.9,316.7,2319.7,74.9,509.5,1349.2,2298.9,107.2,78.4,5.9
0.179896,358.1,184.5,1366.3,359.1,2324.2,98.3,510.6,1357.6,2298.7,107.1,77.7,6
0.181896,343.1,174.0,1341.8,413.7,2328.3,135.9,511.7,1366,2298.5,107.1,77,6
0.183896,336.1,157.9,1354.0,463.4,2304.3,2395.7,512.7,1374.4,2298.4,107.1,76.4,5.8
0.185896,341.0,160.2,1380.7,508.0,2054.4,1792.3,513.8,1382.8,2298.2,107.1,75.6,5.3
0.187896,362.3,182.1,1376.1,563.4,1890.8,1419.8,514.8,1391.2,2298.1,107.1,74.8,7.5
0.189896,396.4,198.3,1317.2,599.8,1827.4,1145.0,515.8,1399.7,2298,107.1,73.9,12.5
0.191896,424.0,193.4,1249.7,578.1,1795.5,975.6,516.9,1408.1,2297.9,107.2,72.9,15.8
0.193896,438.4,188.2,1222.6,564.8,1743.6,933.2,517.9,1416.5,2297.8,107.3,71.8,12.9
0.195896,447.0,190.0,1247.8,555.1,1701.1,1048.2,518.9,1424.9,2297.8,107.4,70.8,-0.8
0.197896,454.5,190.8,1265.2,465.3,1790.4,1276.5,519.8,1433.3,2297.7,107.5,70,-34.7
0.199896,462.1,188.0,1224.1,374.1,1975.1,1245.2,520.8,1441.7,2297.7,107.6,69.4,-85.9
0.201896,468.4,175.8,1171.2,300.6,2073.5,1142.7,521.7,1450.1,2297.7,107.8,68.9,-140.1
0.203896,468.5,152.6,1133.8,246.3,2139.3,1120.3,522.7,1458.5,2297.7,107.9,68.6,-182.9
0.205896,466.0,131.2,1118.7,220.3,2214.9,1202.7,523.6,1466.8,2297.7,108.1,68.4,-200
0.207896,465.4,118.4,1134.1,227.0,2315.5,273.9,524.5,1475.1,2297.8,108.2,68.1,-178.5
0.209896,467.3,110.2,1199.2,251.5,2283.2,215.6,525.3,1483.4,2297.9,108.4,67.9,-128
0.211896,465.3,90.5,1276.0,232.9,2249.7,182.2,526.2,1491.7,2298,108.5,67.8,-67.8
0.213896,461.7,70.6,1307.0,201.6,2223.1,168.0,527,1499.9,2298.1,108.7,67.8,-17.4
0.215896,460.1,63.5,1298.9,192.6,2210.0,172.0,527.9,1508.1,2298.2,108.8,67.8,3.7
0.217896,459.0,66.5,1266.7,201.0,2208.9,194.0,528.7,1516.2,2298.3,109,67.9,-14.3
0.219896,457.3,74.5,1223.5,220.1,2222.6,237.6,529.4,1524.3,2298.5,109.1,67.9,-58.2
0.221896,456.1,79.3,1178.3,241.0,2257.1,319.9,530.2,1532.4,2298.7,109.3,67.7,-113.6
0.223896,457.7,74.9,1146.4,245.7,2098.2,969.9,530.9,1540.4,2298.9,109.4,67.4,-165.8
0.225896,460.9,66.0,1144.2,230.5,1975.8,810.5,531.7,1548.4,2299.2,109.5,67,-200
0.227896,461.6,60.1,1158.4,200.3,1945.4,777.9,532.3,1556.3,2299.5,109.6,66.6,-213
0.229896,459.4,63.3,1166.5,169.1,1977.5,775.1,533,1564.2,2299.7,109.7,66,-214.7
0.231896,458.0,77.9,1162.2,149.9,2065.9,702.8,533.7,1572,2300,109.8,65.5,-209.8
0.233896,459.8,101.9,1151.0,144.2,2095.0,560.9,534.3,1579.7,2300.4,109.9,64.9,-203.3
0.235896,462.6,127.1,1145.1,147.3,2134.2,561.2,534.9,1587.4,2300.7,110,64.5,-200
0.237896,464.3,148.0,1154.6,157.8,2206.7,548.7,535.5,1595,2301.1,110.2,64.3,-200
0.239896,463.5,151.3,1181.1,179.4,2047.0,1277.7,536,1602.5,2301.5,110.3,64.2,-200
0.241896,458.2,138.1,1212.6,210.4,1890.6,1046.9,536.5,1610,2302,110.4,64.2,-200
0.243896,449.4,126.6,1233.7,247.5,1789.7,891.1,537,1617.4,2302.4,110.5,64.3,-200
0.245896,442.2,126.0,1238.5,281.4,1747.9,802.4,537.5,1624.7,2302.9,110.6,64.2,-200
