time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025854,573.6,596.5,1715.2,401.4,2422.7,149.5,574.7,1203.9,2310.7,0,61.5,-200
0.027854,527.5,476.1,1703.7,390.1,2411.8,148.0,574.6,1204,2310.8,0,61.3,-200
0.029854,495.9,392.0,1686.1,384.2,2401.8,155.4,574.6,1204.1,2310.8,0,60.7,-200
0.031854,473.7,362.9,1665.2,377.9,2399.4,186.3,574.6,1204.4,2310.8,0,59.8,-200
0.033854,453.6,422.4,1654.2,360.3,2419.9,252.9,574.5,1204.7,2310.9,0,59.1,-200
0.035854,402.8,579.2,1648.3,342.7,2442.9,296.5,574.5,1205.1,2311,0,58.6,-200
0.037854,270.1,788.6,1645.7,360.6,2435.5,289.3,574.4,1205.5,2311,0,58.3,-200
0.039854,1651.2,408.5,2418.0,277.5,3471.4,330.1,574.3,1206.1,2311.1,0,58.5,-203.3
0.041854,150.9,894.2,1647.2,531.5,2391.6,291.2,574.2,1206.6,2311.2,0,59.5,-209.8
0.043854,528.7,711.3,1487.6,1089.0,2325.6,322.0,574.1,1207.3,2311.4,0,61.6,-214.7
0.045854,802.5,337.4,2284.0,268.5,3431.0,333.9,574,1208,2311.5,0,64.4,-213.1
0.047854,814.2,179.1,2303.5,194.6,3387.0,317.3,573.8,1208.8,2311.6,0,67.2,-200
0.049854,436.7,1183.8,817.8,168.2,2314.2,131.5,573.7,1209.7,2311.8,0,69.9,-169
0.051854,499.3,694.4,835.1,175.3,2315.2,94.7,573.5,1210.6,2312,0,72,-123.3
0.053854,485.1,503.8,848.2,165.0,2317.8,79.1,573.4,1211.6,2312.2,0,73.9,-72.7
0.055854,471.8,477.3,845.5,172.0,2325.8,77.8,573.2,1212.7,2312.3,0,75.6,-27
0.057854,473.6,604.2,818.8,215.4,2339.3,87.5,573,1213.8,2312.6,0,77,3.9
0.059854,482.5,906.2,761.8,242.2,2352.5,97.2,572.8,1215,2312.8,0,78.3,16.6
0.061854,484.9,1148.2,719.9,228.5,2360.5,95.2,572.6,1216.3,2313,111.9,79.4,17.7
0.063854,535.5,965.5,707.8,237.2,2362.4,83.9,572.4,1217.7,2313.3,111.9,80.4,12.2
0.065854,566.3,776.2,706.2,255.6,2358.1,75.2,572.1,1219.1,2313.5,111.8,81.3,5.5
0.067854,605.8,780.3,689.9,248.7,2346.9,72.6,571.9,1220.5,2313.8,111.7,82,2.8
0.069854,666.5,237.9,666.5,787.4,2335.2,69.5,571.6,1222.1,2314.1,111.6,82.6,4.3
0.071854,629.4,253.6,736.5,630.9,2328.9,62.6,571.4,1223.7,2314.4,111.5,83.2,6.7
0.073854,587.7,239.7,786.5,510.8,2330.4,57.9,571.1,1225.3,2314.7,111.4,83.6,9.3
