time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025333,721.6,344.6,1510.5,210.3,2429.2,389.0,493.1,1020.5,2207.8,0,60.3,-200
0.027333,679.0,313.3,1504.7,195.6,2486.3,408.3,493.2,1020.6,2207.8,0,60,-200.9
0.029333,636.8,312.4,1493.4,202.1,2548.3,361.2,493.2,1020.8,2207.7,0,59.7,-206.2
0.031333,587.1,354.0,1465.3,234.1,2578.6,334.3,493.3,1021.1,2207.7,0,58.8,-212.2
0.033333,525.6,402.4,1409.5,278.1,2581.8,387.8,493.4,1021.4,2207.7,0,58.5,-214.4
0.035333,472.4,422.4,1336.5,322.6,2524.9,428.4,493.5,1021.9,2207.7,0,59,-207.9
0.037333,459.7,490.0,1246.9,415.8,2493.3,382.4,493.7,1022.4,2207.6,0,60.9,-187.5
0.039333,472.1,705.9,1068.1,519.8,2497.1,349.7,493.8,1022.9,2207.6,0,63.7,-149.8
0.041333,465.0,752.0,924.4,420.7,2485.4,327.5,494,1023.6,2207.5,0,67,-102.8
0.043333,475.8,473.7,896.7,352.7,2450.0,311.7,494.2,1024.3,2207.5,0,70.1,-55.6
0.045333,477.1,295.0,879.1,295.8,2424.0,294.5,494.5,1025.2,2207.4,0,72.8,-17.4
0.047333,476.1,206.5,860.4,247.4,2417.9,272.9,494.7,1026.1,2207.3,0,75.2,3.9
0.049333,474.1,157.3,843.9,206.3,2430.6,248.4,495,1027,2207.3,117.6,77.1,11.8
0.051333,473.7,128.1,831.6,174.9,2453.4,218.8,495.3,1028.1,2207.2,117.3,78.7,11.5
0.053333,477.1,113.8,826.9,156.8,2471.6,187.4,495.6,1029.2,2207.1,117.1,80,7.4
0.055333,483.1,108.0,831.8,143.6,2479.4,168.5,495.9,1030.4,2207,116.8,81.1,3.9
0.057333,485.8,104.6,843.1,127.0,2477.1,158.2,496.3,1031.7,2206.9,116.6,81.9,4.4
0.059333,483.2,97.4,854.7,109.8,2471.5,145.2,496.7,1033,2206.8,116.3,82.7,5.6
0.061333,483.0,88.3,866.2,100.5,2462.4,135.1,497.1,1034.5,2206.7,116,83.3,6.7
0.063333,490.5,83.1,878.8,97.5,2444.0,136.1,497.5,1036,2206.6,115.7,83.8,7.7
0.065333,504.1,81.5,892.1,90.9,2418.1,136.9,497.9,1037.6,2206.5,115.4,84.3,8.5
0.067333,515.0,80.9,900.9,79.9,2402.7,128.0,498.4,1039.2,2206.4,115,84.6,9.1
0.069333,517.3,77.6,905.7,70.9,2398.9,119.5,498.8,1041,2206.3,114.7,84.9,9.6
0.071333,517.6,71.4,909.8,69.2,2395.5,116.9,499.3,1042.8,2206.2,114.4,85.1,9.8
0.073333,523.0,64.4,913.8,75.6,2382.9,120.8,499.8,1044.6,2206,114,85.3,10
0.075333,532.2,56.3,916.9,87.0,2364.2,121.5,500.4,1046.6,2205.9,113.7,85.5,10.2
0.077333,537.1,49.3,917.5,97.6,2355.7,112.6,500.9,1048.6,2205.8,113.3,85.6,10.5
0.079333,536.9,44.4,917.5,106.0,2357.4,108.5,501.5,1050.7,2205.6,112.9,85.8,10.8
0.081333,537.6,41.0,920.8,114.5,2357.1,124.4,502,1052.9,2205.5,112.5,86,11.1
0.083333,541.6,38.4,928.8,120.6,2343.4,148.8,502.6,1055.1,2205.3,112.2,86.1,11.4
0.085333,546.5,35.2,939.1,120.0,2324.3,150.1,503.2,1057.5,2205.2,111.8,86.2,11.5
0.087333,548.3,31.9,948.2,117.5,2316.3,142.1,503.9,1059.9,2205,111.4,86.3,11.6
0.089333,549.3,29.8,959.6,122.8,2310.1,144.3,504.5,1062.3,2204.9,111,86.4,11.5
0.091333,551.6,29.5,975.4,133.8,2292.0,155.7,505.2,1064.8,2204.7,110.7,86.5,11.4
0.093333,553.8,29.9,988.4,138.2,2270.7,155.5,505.9,1067.5,2204.5,110.3,86.6,11.2
0.095333,553.8,30.0,994.5,135.4,2263.3,146.2,506.5,1070.1,2204.4,109.9,86.5,10.7
0.097333,552.4,29.4,997.2,133.0,2266.8,148.5,507.2,1072.9,2204.2,109.5,86.3,9.9
0.099333,552.2,29.4,1003.1,136.9,2262.8,190.7,508,1075.7,2204,109.2,86,8.6
0.101333,553.3,32.1,1016.9,145.9,2218.2,228.1,508.7,1078.6,2203.9,108.8,85.5,7
0.103333,552.6,38.7,1035.2,150.3,2196.5,206.8,509.4,1081.5,2203.7,108.5,84.8,5.4
0.105333,546.4,49.0,1051.3,141.5,2199.6,194.3,510.2,1084.5,2203.5,108.2,84,4.2
0.107333,538.6,58.7,1061.0,126.4,2215.0,193.4,510.9,1087.6,2203.4,107.9,83.1,3.4
0.109333,542.4,70.5,1064.0,120.2,2227.7,169.8,511.7,1090.7,2203.2,107.6,82.3,3.2
0.111333,565.8,87.1,1062.9,122.3,2208.7,119.8,512.5,1094,2203,107.3,81.6,3.3
0.113333,597.1,94.7,1066.3,118.9,2186.8,81.7,513.3,1097.2,2202.9,107,81,3.4
0.115333,617.3,88.9,1075.1,106.8,2173.3,61.3,514.1,1100.6,2202.7,106.8,80.6,3.3
0.117333,616.1,82.3,1085.5,99.5,2161.9,60.1,514.9,1104,2202.5,106.6,80.3,2.9
0.119333,606.3,80.0,1098.7,109.6,2141.7,86.6,515.7,1107.5,2202.4,106.4,80.1,2.2
0.121333,596.5,74.8,1111.2,132.4,2090.6,169.9,516.6,1111,2202.2,106.2,80.1,1.3
0.123333,585.4,64.8,1118.2,145.5,1993.4,212.4,517.4,1114.6,2202,0,80,0.4
0.125333,570.8,56.7,1127.8,147.6,1918.3,216.0,518.2,1118.3,2201.9,0,79.9,-0.3
0.127333,555.6,55.6,1148.3,153.4,1860.4,262.0,519.1,1122,2201.7,0,79.7,-0.7
0.129333,542.1,61.5,1176.8,170.9,1795.0,354.5,520,1125.8,2201.5,0,79.4,-0.8
0.131333,531.7,73.7,1203.6,202.3,1709.6,454.1,520.8,1129.6,2201.4,0,78.8,-0.7
0.133333,525.9,90.4,1221.3,248.3,1630.1,523.3,521.7,1133.5,2201.2,0,78,-0.6
0.135333,524.4,114.0,1242.3,298.2,1613.6,667.3,522.6,1137.4,2201.1,0,77.1,-0.7
0.137333,525.3,145.8,1271.5,328.7,1810.1,1030.3,523.4,1141.5,2200.9,0,76.2,-0.9
0.139333,526.5,190.5,1328.5,404.1,2052.7,359.6,524.3,1145.5,2200.8,0,75.2,-1.4
0.141333,529.3,250.8,1418.7,447.4,2046.3,293.5,525.2,1149.7,2200.6,0,74.4,-2
0.143333,527.2,310.7,1450.9,454.9,2053.7,300.0,526.1,1153.9,2200.5,0,73.8,-2.5
0.145333,519.1,328.5,1407.1,482.5,2054.9,374.2,526.9,1158.1,2200.4,0,73.4,-2.8
0.147333,516.0,287.4,1305.0,442.9,1982.8,468.9,527.8,1162.4,2200.2,0,73.3,-2.8
0.149333,522.9,245.6,1216.4,338.9,1954.4,426.7,528.7,1166.7,2200.1,0,73.6,-2.6
0.151333,532.9,220.6,1174.5,260.0,1986.4,422.8,529.6,1171.1,2200,0,74.2,-2.1
0.153333,532.1,210.4,1163.6,229.4,2036.2,423.6,530.5,1175.6,2199.9,0,74.8,-1.5
0.155333,517.2,207.3,1164.0,220.8,2096.5,418.1,531.3,1180.1,2199.8,0,75.3,-0.8
0.157333,497.0,208.5,1173.1,220.9,2163.5,413.1,532.2,1184.7,2199.7,0,75.7,0.2
0.159333,481.7,222.6,1202.8,230.1,2235.0,314.6,533.1,1189.3,2199.6,0,76,1.7
0.161333,476.6,248.7,1258.4,237.3,2170.2,1155.8,534,1193.9,2199.5,0,76,3.5
0.163333,476.2,250.7,1306.8,228.4,2082.4,1302.7,534.8,1198.6,2199.4,0,76,5.1
0.165333,469.5,225.1,1337.9,229.8,2051.2,1303.4,535.7,1203.4,2199.4,0,75.9,6.1
0.167333,456.1,210.7,1363.2,268.6,2040.8,1310.2,536.5,1208.2,2199.3,0,75.8,6.2
0.169333,439.6,211.3,1386.1,370.6,1994.7,1080.8,537.4,1213,2199.3,0,75.5,5.2
0.171333,423.0,210.1,1373.1,487.8,1981.1,555.9,538.2,1217.9,2199.2,0,75.2,3.7
0.173333,413.5,198.7,1385.0,471.0,2008.4,294.5,539.1,1222.8,2199.2,0,74.8,2.1
0.175333,409.6,167.9,1421.4,412.6,2032.5,191.8,539.9,1227.8,2199.2,0,74.3,0.9
0.177333,407.5,135.3,1434.4,383.4,2046.1,158.3,540.7,1232.9,2199.2,0,74,0.7
0.179333,410.1,119.4,1423.8,390.5,2056.2,159.7,541.5,1237.9,2199.2,0,74,1.4
0.181333,417.1,116.5,1402.6,421.3,2068.5,181.6,542.3,1243,2199.2,0,74.1,2.5
0.183333,419.6,117.5,1380.9,469.1,2082.4,199.8,543.1,1248.2,2199.2,0,74.5,3.6
0.185333,413.2,118.1,1362.7,533.5,2093.6,195.2,543.9,1253.4,2199.2,0,74.8,4.3
0.187333,405.7,118.6,1349.4,573.4,2094.7,185.1,544.6,1258.6,2199.3,0,75.1,4
0.189333,403.5,123.3,1315.8,574.1,2079.6,198.7,545.4,1263.8,2199.3,0,75.1,3
0.191333,408.4,138.1,1254.2,563.1,2036.4,229.7,546.1,1269.2,2199.4,0,74.9,1.5
0.193333,419.5,164.5,1184.6,548.2,1975.7,219.0,546.8,1274.5,2199.5,0,74.4,0
0.195333,435.6,208.3,1120.5,568.6,1936.5,174.1,547.5,1279.9,2199.6,0,73.7,-1.3
0.197333,446.9,256.1,1059.0,650.7,1922.5,145.4,548.2,1285.3,2199.7,0,72.9,-1.1
0.199333,445.6,276.8,1007.9,695.3,1920.9,138.7,548.9,1290.7,2199.8,0,72.1,3.9
0.201333,433.6,267.6,1007.9,571.5,1929.0,155.0,549.6,1296.2,2199.9,0,71.2,9.9
0.203333,427.7,263.6,1036.6,404.6,1942.8,203.6,550.2,1301.7,2200.1,0,70.2,12.1
0.205333,441.2,314.6,1064.2,306.4,1956.1,322.1,550.9,1307.3,2200.2,0,69.1,5.6
0.207333,485.7,436.2,1080.1,283.2,1942.7,537.2,551.5,1312.8,2200.4,0,67.8,-15.1
0.209333,559.0,477.5,1092.8,276.6,1883.8,673.4,552.1,1318.4,2200.6,0,66.6,-53.4
0.211333,588.5,390.9,1108.8,249.0,1857.8,667.2,552.6,1324.1,2200.8,0,65.7,-101.2
