time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025260,420.6,74.9,2168.5,61.1,2871.7,297.5,379.1,1950.5,2788.7,112.7,77.6,4.4
0.027260,419.6,76.7,2165.3,59.4,2877.3,290.0,379.1,1950.5,2788.6,112.6,78.2,5.2
0.029260,424.4,86.4,2160.8,64.7,2874.1,267.8,379.1,1950.5,2788.5,112.4,78.7,5.9
0.031260,433.7,101.9,2153.4,80.6,2858.5,245.1,379.2,1950.4,2788.2,112.2,79.1,6.2
0.033260,441.7,113.4,2141.3,104.6,2842.2,230.7,379.2,1950.3,2787.9,112,79.4,6.3
0.035260,444.0,112.0,2121.0,129.0,2827.6,226.9,379.2,1950.2,2787.5,111.8,79.8,6.4
0.037260,445.5,103.2,2091.2,136.7,2806.5,225.3,379.2,1950.1,2787.1,111.6,80.1,6.7
0.039260,452.0,94.3,2061.7,118.7,2774.4,214.4,379.2,1950,2786.6,111.4,80.5,7.4
0.041260,461.1,86.5,2048.8,96.2,2751.4,198.4,379.2,1949.8,2786,111.1,80.8,8.4
0.043260,466.6,79.0,2046.5,83.9,2745.8,190.7,379.3,1949.6,2785.4,110.9,81.2,9.6
0.045260,469.1,75.1,2050.3,84.9,2747.4,199.8,379.3,1949.4,2784.6,110.6,81.5,10.8
0.047260,472.5,78.5,2062.1,104.6,2741.7,231.7,379.3,1949.2,2783.9,110.4,81.7,11.6
0.049260,478.2,90.2,2087.8,145.9,2729.5,288.1,379.3,1949,2783,110.1,81.9,11.9
0.051260,481.3,105.5,2119.5,179.0,2729.7,340.3,379.4,1948.8,2782.1,109.8,82,11.7
0.053260,477.3,115.3,2142.5,189.5,2745.7,376.5,379.4,1948.5,2781.1,109.5,82.1,11.1
0.055260,469.2,116.8,2140.5,193.9,2761.2,412.2,379.4,1948.2,2780.1,109.2,82.1,10.5
0.057260,465.1,114.6,2102.4,198.4,2759.0,470.5,379.5,1947.9,2779,108.9,82.2,10
0.059260,468.7,109.0,2053.5,184.2,2750.2,551.3,379.5,1947.6,2777.8,108.6,82.3,9.9
0.061260,473.5,98.4,2029.9,166.6,2761.0,601.6,379.5,1947.2,2776.5,108.3,82.4,10.1
0.063260,474.1,89.3,2024.6,158.3,2813.3,592.0,379.6,1946.9,2775.2,108,82.5,10.4
0.065260,473.8,87.7,2030.7,160.1,2896.7,496.8,379.6,1946.5,2773.8,107.7,82.4,10.7
0.067260,475.6,96.1,2045.0,167.6,2945.6,369.6,379.7,1946.1,2772.4,107.4,82.3,10.8
0.069260,477.1,113.6,2060.5,169.4,2959.2,289.6,379.7,1945.7,2770.9,107.1,82.1,10.8
0.071260,471.4,125.9,2068.4,167.5,2960.9,262.1,379.8,1945.3,2769.3,106.8,81.9,10.5
0.073260,460.0,123.6,2075.0,174.0,2960.4,278.4,379.8,1944.8,2767.7,106.5,81.6,10.2
0.075260,452.2,118.4,2086.2,195.7,2856.7,2912.5,379.9,1944.4,2766,106.3,81.4,9.8
0.077260,451.3,118.6,2086.4,238.4,2598.6,1675.4,379.9,1943.9,2764.2,106,81.3,9.4
0.079260,449.0,118.4,2057.9,288.6,2463.4,990.1,380,1943.4,2762.4,105.7,81.2,9
0.081260,435.7,112.5,2023.0,292.6,2439.0,856.5,380.1,1942.9,2760.6,105.5,81.2,8.5
0.083260,416.5,103.5,1997.5,263.0,2490.7,929.8,380.1,1942.4,2758.6,105.2,81.1,8
0.085260,398.6,96.1,1973.7,222.2,2717.0,880.2,380.2,1941.8,2756.6,105,81.1,7.6
0.087260,386.2,90.3,1949.7,202.3,2731.4,669.3,380.3,1941.3,2754.6,104.8,81.1,7.3
0.089260,377.3,80.1,1924.9,217.7,2755.7,669.5,380.3,1940.7,2752.4,104.5,81.1,7.4
0.091260,369.7,68.9,1904.0,264.1,2802.4,750.8,380.4,1940.1,2750.3,104.3,81.1,7.9
0.093260,363.7,63.4,1879.0,320.1,2848.1,883.2,380.5,1939.5,2748,104.1,81.1,8.5
0.095260,361.7,64.8,1835.7,350.6,2810.6,941.7,380.6,1938.9,2745.8,103.9,81.1,9.2
0.097260,365.4,71.7,1797.2,342.3,2771.5,833.6,380.7,1938.2,2743.4,103.7,81,9.9
0.099260,369.8,77.6,1777.7,334.7,2776.0,744.0,380.7,1937.6,2741,103.5,81,10.4
0.101260,363.7,74.8,1775.7,347.2,2796.5,719.9,380.8,1936.9,2738.6,103.3,80.9,10.9
0.103260,351.9,67.4,1790.8,359.7,2816.5,765.5,380.9,1936.2,2736,103.1,80.8,11.3
0.105260,345.1,62.7,1812.3,347.0,2798.7,938.6,381,1935.5,2733.5,102.9,80.7,11.7
0.107260,349.5,64.3,1816.4,335.9,2689.2,1045.4,381.1,1934.8,2730.9,102.7,80.6,12.2
0.109260,358.2,65.5,1804.7,351.4,2628.2,971.2,381.2,1934,2728.2,102.5,80.6,12.7
0.111260,356.2,61.6,1784.7,381.8,2636.4,779.9,381.3,1933.3,2725.5,102.4,80.6,13.3
0.113260,347.0,55.2,1766.5,378.1,2647.2,489.7,381.4,1932.5,2722.7,102.2,80.5,14
0.115260,340.7,50.7,1771.9,310.3,2648.5,281.9,381.5,1931.7,2719.9,102,80.5,14.6
0.117260,341.4,50.3,1787.5,245.8,2650.8,194.2,381.6,1930.9,2717,101.8,80.5,15
0.119260,344.0,48.8,1799.9,217.2,2652.6,165.1,381.7,1930.1,2714.1,101.6,80.5,15.2
0.121260,341.0,43.2,1807.5,223.8,2646.3,176.2,381.8,1929.3,2711.1,101.4,80.4,15.1
0.123260,334.4,36.1,1805.7,252.0,2612.8,225.4,381.9,1928.4,2708.1,101.2,80.4,14.8
0.125260,329.1,30.8,1789.2,266.9,2538.2,257.9,382,1927.6,2705.1,101,80.3,14.5
0.127260,327.3,29.4,1775.0,250.7,2488.3,249.9,382.1,1926.7,2702,100.8,80.1,14.2
0.129260,326.8,30.5,1774.7,243.3,2481.9,287.1,382.2,1925.8,2698.8,100.6,79.9,14
0.131260,323.9,32.7,1792.2,260.6,2529.2,406.9,382.4,1924.9,2695.7,100.4,79.6,14
0.133260,318.7,35.4,1822.3,265.5,2673.0,501.1,382.5,1924,2692.4,100.2,79.3,14
0.135260,313.5,37.5,1833.7,258.3,2767.9,384.3,382.6,1923.1,2689.2,100,79,13.9
0.137260,311.4,39.6,1822.7,269.2,2770.0,315.9,382.7,1922.2,2685.8,99.8,78.7,13.5
0.139260,313.6,43.0,1804.3,304.9,2760.3,306.1,382.9,1921.2,2682.5,99.6,78.4,12.9
0.141260,317.5,48.1,1803.6,382.5,2768.4,349.3,383,1920.3,2679.1,99.4,78.1,11.7
0.143260,322.0,58.5,1861.2,499.6,2815.3,451.4,383.1,1919.3,2675.7,99.3,77.8,10.4
0.145260,329.8,76.3,1989.8,530.2,2917.1,560.7,383.3,1918.3,2672.2,99.1,77.5,9
0.147260,339.4,93.2,2066.7,469.3,2989.4,603.2,383.4,1917.3,2668.7,98.9,77.2,7.9
0.149260,342.9,98.5,2078.3,466.2,2976.2,650.6,383.5,1916.3,2665.2,98.8,76.9,7.2
0.151260,333.9,87.0,2027.7,511.9,2888.0,695.3,383.7,1915.3,2661.6,98.7,76.6,6.7
0.153260,324.6,69.8,1938.5,510.4,2762.9,709.3,383.8,1914.2,2658,98.5,76.4,6.5
0.155260,326.3,62.0,1880.4,466.0,2653.6,700.8,383.9,1913.2,2654.4,98.4,76.2,6.4
0.157260,335.9,64.0,1853.5,445.1,2578.4,700.2,384.1,1912.1,2650.7,98.3,76.1,6.6
0.159260,343.6,67.7,1828.3,436.6,2511.1,682.1,384.2,1911.1,2647.1,98.2,76,7
0.161260,340.5,67.6,1809.9,423.1,2480.5,674.6,384.4,1910,2643.3,98.1,75.8,7.8
0.163260,330.3,62.8,1800.5,394.5,2490.4,716.0,384.5,1908.9,2639.6,98,75.6,8.9
0.165260,321.2,57.8,1792.3,349.3,2538.8,805.9,384.7,1907.8,2635.8,97.9,75.3,10
0.167260,317.0,57.5,1772.5,310.9,2556.4,837.8,384.9,1906.7,2632,97.8,75,10.9
0.169260,315.7,60.8,1741.1,285.2,2519.9,745.7,385,1905.6,2628.2,97.8,74.7,11.4
0.171260,313.1,61.7,1717.0,273.0,2502.5,667.2,385.2,1904.4,2624.4,97.7,74.4,11.7
0.173260,307.6,59.6,1706.6,277.5,2516.9,646.6,385.3,1903.3,2620.5,97.7,74.2,11.8
0.175260,303.1,60.8,1711.0,302.3,2555.3,642.6,385.5,1902.1,2616.6,97.7,73.9,11.7
0.177260,304.1,68.2,1725.2,344.4,2581.5,620.8,385.7,1901,2612.7,97.6,73.7,11.5
0.179260,312.4,77.5,1740.3,396.0,2574.5,597.1,385.8,1899.8,2608.8,97.6,73.5,11
0.181260,322.2,81.1,1759.3,435.0,2565.2,607.6,386,1898.6,2604.8,97.6,73.2,10.2
0.183260,326.9,84.7,1793.1,452.2,2587.8,692.8,386.2,1897.4,2600.9,97.7,72.9,9.1
0.185260,327.2,99.0,1817.9,439.2,2643.1,852.1,386.4,1896.2,2596.9,97.7,72.6,8
0.187260,327.4,127.6,1790.3,433.9,2605.8,958.0,386.5,1895,2592.9,97.7,72.2,7.1
0.189260,330.7,162.5,1721.4,426.1,2505.5,814.9,386.7,1893.8,2588.9,97.8,71.7,6.5
0.191260,334.4,181.1,1672.7,393.9,2486.6,665.0,386.9,1892.6,2584.9,97.8,71.2,6.2
0.193260,333.7,186.9,1665.9,377.1,2526.8,620.5,387.1,1891.4,2580.9,97.9,70.7,6.1
0.195260,334.7,195.4,1699.0,385.8,2627.2,665.0,387.3,1890.2,2576.9,97.9,70.4,6.1
0.197260,349.9,213.6,1742.4,393.3,2738.1,723.8,387.5,1888.9,2572.8,98,70.2,6.2
0.199260,374.2,218.0,1748.3,419.1,2684.8,971.4,387.7,1887.7,2568.8,98.1,70.2,6.6
0.201260,381.4,195.7,1701.5,455.1,2432.1,824.3,387.8,1886.4,2564.7,98.2,70.4,7.3
0.203260,368.3,174.8,1646.2,424.5,2374.1,582.6,388,1885.2,2560.6,98.3,70.9,8.1
0.205260,351.9,167.0,1608.4,341.0,2372.4,443.7,388.2,1883.9,2556.6,98.4,71.5,9
0.207260,354.5,165.9,1585.7,266.2,2374.2,357.0,388.4,1882.6,2552.5,98.4,72.2,9.8
0.209260,373.5,140.6,1574.7,216.0,2374.9,277.0,388.6,1881.3,2548.4,98.5,73,10.3
0.211260,379.5,105.8,1576.1,186.4,2379.4,205.8,388.8,1880,2544.4,98.6,73.8,10.6
0.213260,372.9,83.6,1589.9,168.8,2385.7,143.9,389.1,1878.8,2540.3,98.7,74.6,10.8
0.215260,365.8,77.2,1615.8,153.4,2388.4,94.2,389.3,1877.5,2536.2,98.8,75.4,10.9
0.217260,368.6,87.9,1637.1,138.2,2387.7,66.3,389.5,1876.2,2532.2,98.8,76.1,11.1
0.219260,383.2,104.8,1646.2,124.1,2387.6,50.5,389.7,1874.8,2528.1,98.9,76.8,11.2
0.221260,392.6,103.8,1646.6,110.6,2388.6,40.8,389.9,1873.5,2524,98.9,77.4,11.5
0.223260,389.6,91.2,1643.8,99.9,2390.0,35.2,390.1,1872.2,2520,98.9,77.9,11.7
0.225260,382.0,81.4,1642.8,96.9,2389.5,34.7,390.3,1870.9,2515.9,99,78.3,11.8
0.227260,379.1,86.4,1649.6,106.2,2383.2,40.6,390.6,1869.6,2511.9,99,78.5,11.8
0.229260,386.7,109.5,1664.2,125.9,2372.2,50.5,390.8,1868.2,2507.9,99,78.6,11.5
0.231260,399.0,124.8,1677.6,143.3,2366.3,57.4,391,1866.9,2503.9,98.9,78.6,10.8
0.233260,401.8,117.9,1690.3,157.5,2368.1,62.2,391.2,1865.6,2499.8,98.9,78.6,9.9
0.235260,397.2,108.2,1718.1,180.9,2374.2,72.3,391.5,1864.2,2495.9,98.9,78.5,9
0.237260,396.8,113.2,1781.1,211.4,2380.0,93.4,391.7,1862.9,2491.9,98.8,78.3,8.4
0.239260,410.4,132.2,1863.0,215.4,2387.6,117.1,391.9,1861.6,2487.9,98.8,78.1,8.2
0.241260,432.8,142.2,1906.7,197.0,2394.8,124.8,392.2,1860.2,2484,98.7,77.9,8.5
0.243260,439.7,129.7,1920.9,194.9,2401.6,133.3,392.4,1858.9,2480,98.7,77.6,9
0.245260,427.8,113.6,1924.4,212.2,2414.7,159.1,392.6,1857.5,2476.1,98.6,77.4,9.6
0.247260,415.6,110.8,1924.2,225.5,2435.2,192.2,392.9,1856.2,2472.2,98.6,77.3,10
0.249260,415.9,127.3,1924.1,225.7,2454.0,209.8,393.1,1854.8,2468.3,98.5,77.2,10.2
0.251260,428.8,147.4,1928.1,214.9,2463.7,199.1,393.4,1853.4,2464.5,98.4,77.2,10.1
0.253260,435.5,156.2,1933.0,191.6,2465.1,168.8,393.6,1852.1,2460.7,98.4,77.2,9.9
0.255260,427.3,157.2,1932.7,172.2,2458.0,143.1,393.9,1850.7,2456.8,98.3,77.3,9.8
0.257260,416.3,157.7,1930.6,166.9,2441.2,129.9,394.1,1849.4,2453.1,98.3,77.4,9.7
0.259260,419.2,165.1,1935.6,161.4,2423.4,117.7,394.4,1848,2449.3,98.2,77.6,10.1
0.261260,436.3,159.2,1945.0,151.4,2417.0,109.2,394.6,1846.6,2445.6,98.2,77.7,11
0.263260,445.3,134.9,1952.2,145.7,2418.0,109.0,394.9,1845.3,2441.9,98.1,77.8,12
0.265260,439.1,115.3,1958.8,153.8,2425.3,125.0,395.1,1843.9,2438.2,98.1,77.9,13
0.267260,428.9,116.9,1969.1,170.9,2435.3,152.5,395.4,1842.5,2434.5,98.1,78,13.3
0.269260,424.8,143.9,1983.8,176.2,2441.5,164.1,395.7,1841.2,2430.9,98.1,78.2,12.7
