time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025302,450.5,82.6,2196.7,58.9,2900.5,161.0,404.9,2154.8,2826.1,112.2,77,5.1
0.027302,445.9,76.0,2195.5,52.6,2909.0,162.0,404.9,2154.5,2826,112.1,77.5,5.1
0.029302,443.9,72.9,2194.6,46.1,2921.0,160.0,404.9,2154.1,2825.8,111.9,77.9,4.7
0.031302,446.3,75.4,2194.4,41.4,2932.7,163.7,405,2153.4,2825.6,111.8,78.2,4.2
0.033302,451.6,82.3,2196.1,37.4,2935.6,169.7,405,2152.5,2825.3,111.6,78.4,3.6
0.035302,453.3,88.3,2200.3,33.8,2931.3,173.7,405.1,2151.4,2824.9,111.5,78.7,3.1
0.037302,447.4,90.4,2208.3,34.1,2925.2,201.7,405.1,2150.2,2824.5,111.3,79,2.8
0.039302,438.7,90.8,2218.3,40.7,2916.7,293.0,405.2,2148.7,2824,111.1,79.3,2.6
0.041302,432.4,93.8,2224.3,49.3,2869.0,472.7,405.2,2147.1,2823.4,111,79.7,2.5
0.043302,428.9,95.0,2223.1,52.9,2798.5,528.6,405.3,2145.2,2822.8,110.8,80,2.5
0.045302,424.3,90.8,2217.6,52.6,2779.9,535.8,405.4,2143.2,2822.1,110.7,80.3,2.5
0.047302,419.6,89.0,2209.8,54.1,2783.4,546.8,405.5,2141,2821.3,110.5,80.6,2.6
0.049302,420.4,92.5,2202.2,59.4,2777.5,550.1,405.6,2138.6,2820.5,110.4,80.9,2.8
0.051302,426.0,91.0,2197.7,62.8,2773.3,558.3,405.7,2136,2819.6,110.2,81.2,3
0.053302,427.6,81.1,2196.9,60.7,2805.0,611.8,405.9,2133.2,2818.6,110.1,81.4,3.4
0.055302,423.6,73.6,2197.0,56.5,2921.5,836.7,406,2130.3,2817.6,109.9,81.7,3.9
0.057302,419.5,75.3,2194.5,55.8,2924.3,1231.4,406.1,2127.1,2816.5,109.7,81.8,4.7
0.059302,420.0,84.1,2190.1,59.7,2827.9,1222.8,406.3,2123.8,2815.3,109.6,82,5.9
0.061302,423.0,88.7,2187.4,60.4,2792.9,1118.1,406.4,2120.3,2814.1,109.4,82.1,7.3
0.063302,421.6,84.1,2186.8,55.3,2920.2,1066.4,406.6,2116.6,2812.8,109.2,82.1,8.8
0.065302,416.5,80.6,2185.3,50.6,2928.7,492.8,406.8,2112.7,2811.4,109.1,82.1,10
0.067302,412.7,85.8,2180.7,53.4,2909.4,353.3,406.9,2108.7,2810,108.9,82.1,11
0.069302,413.0,96.5,2174.8,60.9,2907.0,297.3,407.1,2104.4,2808.6,108.7,82.1,11.8
0.071302,413.1,99.0,2171.4,63.3,2912.4,282.7,407.3,2100,2807,108.5,82,12.6
0.073302,408.7,92.0,2168.8,61.0,2927.0,302.8,407.5,2095.5,2805.4,108.3,82,13.1
0.075302,403.3,90.1,2162.0,62.2,2977.3,407.4,407.7,2090.7,2803.8,108.1,81.9,13.4
0.077302,401.1,101.9,2150.5,68.5,2793.0,824.2,407.9,2085.9,2802,107.9,81.9,13.5
0.079302,401.5,118.4,2142.3,69.0,2707.9,795.9,408.1,2080.8,2800.3,107.7,81.8,13.4
0.081302,397.1,119.0,2139.2,62.7,2706.5,776.9,408.3,2075.6,2798.4,107.5,81.7,13
0.083302,387.0,105.6,2137.0,57.3,2733.1,722.6,408.6,2070.2,2796.5,107.2,81.6,12.4
0.085302,377.6,97.6,2132.7,59.2,2758.5,582.2,408.8,2064.6,2794.6,107,81.4,11.8
0.087302,373.4,106.6,2125.5,72.2,2769.0,420.0,409,2058.9,2792.6,106.8,81.1,11
0.089302,373.2,124.2,2119.2,92.2,2777.9,328.0,409.3,2053.1,2790.5,106.5,80.8,9.8
0.091302,369.3,130.7,2117.1,111.6,2788.2,269.2,409.5,2047.1,2788.4,106.3,80.4,8.5
0.093302,361.1,127.8,2118.5,127.7,2787.2,218.5,409.8,2040.9,2786.3,106,80,7.3
0.095302,354.8,128.1,2118.8,150.3,2766.4,170.8,410,2034.6,2784,105.8,79.7,6.4
0.097302,353.3,134.1,2112.3,205.4,2737.3,129.2,410.3,2028.2,2781.8,105.5,79.3,6
0.099302,353.6,135.1,2094.9,311.6,2718.7,108.1,410.5,2021.6,2779.4,105.3,79,6.1
0.101302,350.4,126.3,2070.1,468.2,2708.0,101.6,410.8,2014.9,2777.1,105.1,78.7,6.6
0.103302,347.3,118.8,2065.1,650.6,2700.8,105.0,411.1,2008.1,2774.6,104.9,78.5,7.2
0.105302,348.9,119.2,2104.2,830.9,2693.0,114.8,411.3,2001.1,2772.2,104.6,78.5,7.8
0.107302,352.7,121.6,2162.2,927.4,2685.5,120.2,411.6,1994,2769.6,104.4,78.5,8.3
0.109302,347.7,115.2,2183.3,889.4,2684.1,120.6,411.9,1986.8,2767.1,104.2,78.5,8.9
0.111302,332.0,100.2,2171.0,753.9,2690.4,123.7,412.2,1979.4,2764.5,104,78.6,9.5
0.113302,315.6,86.2,2135.2,578.0,2702.5,129.3,412.4,1972,2761.8,103.8,78.7,10.2
0.115302,306.2,83.4,2095.0,449.4,2709.8,134.6,412.7,1964.4,2759.1,103.7,78.7,10.7
0.117302,307.0,93.7,2065.9,392.6,2705.6,139.3,413,1956.7,2756.3,103.5,78.7,11.2
0.119302,314.3,100.1,2048.9,388.8,2697.2,146.9,413.3,1948.9,2753.6,103.3,78.7,11.6
0.121302,318.8,91.8,2031.7,408.7,2690.9,167.7,413.6,1941,2750.7,103.2,78.8,11.9
0.123302,319.4,78.1,1998.3,422.7,2689.8,218.1,413.9,1933,2747.9,103.1,78.9,12.3
0.125302,320.8,67.2,1953.0,388.6,2697.1,298.7,414.1,1924.9,2744.9,102.9,79.1,12.5
0.127302,324.6,58.6,1923.9,326.7,2716.8,354.3,414.4,1916.7,2742,102.8,79.2,12.8
0.129302,327.4,50.1,1919.8,296.6,2727.4,346.0,414.7,1908.4,2739,102.7,79.4,13
0.131302,327.1,43.7,1937.8,298.1,2712.4,307.4,415,1900,2736,102.6,79.6,13.1
0.133302,326.4,42.4,1957.9,298.6,2677.5,262.0,415.3,1891.5,2732.9,102.5,79.7,13.2
0.135302,328.3,44.8,1954.2,285.8,2647.2,225.0,415.5,1883,2729.8,102.5,79.8,13.3
0.137302,332.6,47.9,1940.2,269.3,2634.9,201.6,415.8,1874.4,2726.7,102.4,79.8,13.4
0.139302,334.1,47.5,1933.8,265.6,2638.7,198.6,416.1,1865.7,2723.6,102.3,79.8,13.6
0.141302,329.1,44.6,1935.4,281.0,2657.0,220.4,416.4,1856.9,2720.4,102.3,79.7,13.8
0.143302,321.1,43.4,1931.3,310.9,2687.3,265.1,416.6,1848.1,2717.1,102.2,79.5,13.9
0.145302,315.8,46.6,1893.9,333.2,2695.5,296.3,416.9,1839.2,2713.9,102.2,79.3,14
0.147302,316.3,52.9,1837.0,323.8,2671.4,270.9,417.2,1830.3,2710.6,102.2,79.1,13.9
0.149302,318.1,56.1,1799.8,307.5,2656.5,238.8,417.4,1821.3,2707.3,102.2,79,13.6
0.151302,316.1,56.7,1774.4,289.5,2649.3,222.0,417.7,1812.2,2704,102.2,78.8,13.3
0.153302,314.0,59.8,1750.3,250.1,2642.7,206.8,417.9,1803.1,2700.7,102.2,78.7,12.9
0.155302,318.1,67.5,1729.0,200.2,2639.1,186.5,418.2,1794,2697.3,102.2,78.6,12.6
0.157302,328.4,72.3,1713.4,162.4,2642.5,168.0,418.4,1784.8,2693.9,102.2,78.6,12.3
0.159302,334.3,67.0,1703.6,145.2,2650.3,159.1,418.7,1775.6,2690.5,102.3,78.6,12.1
0.161302,333.6,59.4,1698.7,150.2,2658.1,163.0,418.9,1766.4,2687.1,102.4,78.6,11.9
0.163302,334.5,57.7,1700.3,185.4,2659.8,179.4,419.1,1757.1,2683.6,102.4,78.6,11.8
0.165302,342.6,60.4,1704.7,237.7,2656.8,192.5,419.3,1747.8,2680.1,102.5,78.7,11.7
0.167302,353.5,60.3,1700.6,257.7,2660.4,180.4,419.6,1738.5,2676.7,102.6,78.7,11.7
0.169302,355.0,57.6,1690.4,244.4,2672.4,148.7,419.8,1729.2,2673.2,102.7,78.7,12
0.171302,346.8,57.8,1681.4,234.1,2681.4,118.8,420,1719.9,2669.7,102.8,78.7,12.4
0.173302,335.7,63.1,1676.0,240.9,2678.7,106.3,420.2,1710.6,2666.1,102.9,78.7,12.7
0.175302,328.3,73.7,1673.5,254.2,2669.6,104.3,420.3,1701.2,2662.6,103,78.6,12.7
0.177302,326.3,81.6,1664.1,246.5,2663.9,105.6,420.5,1691.9,2659.1,103.1,78.5,12.4
0.179302,323.4,80.1,1648.1,216.8,2664.6,112.9,420.7,1682.6,2655.5,103.2,78.5,11.8
0.181302,318.7,81.1,1632.1,181.1,2667.5,139.4,420.9,1673.3,2652,103.4,78.5,11
0.183302,322.1,95.0,1617.2,150.2,2664.8,199.0,421,1664,2648.4,103.5,78.5,10
0.185302,345.5,115.4,1604.7,127.0,2657.3,258.7,421.1,1654.7,2644.8,103.6,78.5,8.9
0.187302,386.8,119.9,1595.0,106.4,2658.4,272.7,421.3,1645.4,2641.3,103.7,78.6,7.8
0.189302,421.3,116.8,1585.5,93.8,2659.8,267.1,421.4,1636.2,2637.7,103.8,78.8,6.4
0.191302,452.6,123.5,1574.0,92.0,2645.7,277.8,421.5,1627,2634.1,103.9,79.2,4.9
0.193302,489.2,122.0,1563.2,92.0,2619.1,301.3,421.6,1617.8,2630.6,104,79.8,3.5
0.195302,518.4,100.6,1555.9,86.9,2596.8,313.6,421.7,1608.7,2627,104.1,80.4,2.6
0.197302,529.8,76.9,1551.6,82.4,2589.8,316.1,421.8,1599.6,2623.4,104.1,81,2.3
0.199302,530.5,63.0,1549.1,85.3,2592.2,320.0,421.9,1590.6,2619.9,104.2,81.4,2.7
0.201302,529.7,57.5,1545.9,101.0,2581.6,326.8,421.9,1581.6,2616.3,104.3,81.7,3.5
0.203302,530.1,59.0,1536.5,132.3,2545.7,326.0,422,1572.7,2612.7,104.3,81.8,4.4
0.205302,531.3,65.0,1517.1,162.6,2513.2,305.5,422,1563.8,2609.2,104.3,81.8,5.3
0.207302,532.1,70.8,1493.0,177.9,2504.7,283.3,422,1554.9,2605.7,104.3,81.8,5.7
0.209302,533.9,75.1,1470.7,189.8,2514.4,277.0,422,1546.2,2602.1,104.4,81.6,5.8
0.211302,540.4,83.4,1447.3,212.5,2528.9,293.0,422,1537.5,2598.6,104.4,81.5,5.8
0.213302,552.9,97.4,1418.9,244.4,2531.6,330.8,422,1528.9,2595.1,104.4,81.4,5.8
0.215302,565.1,107.1,1387.3,261.4,2517.6,356.3,422,1520.3,2591.6,104.4,81.3,6.1
0.217302,567.4,105.4,1359.8,257.6,2506.4,367.7,422,1511.9,2588.2,104.4,81.2,6.8
0.219302,562.9,102.2,1346.5,260.5,2509.1,393.6,421.9,1503.5,2584.7,104.4,81.1,7.9
0.221302,561.1,110.4,1352.1,299.1,2520.6,431.7,421.9,1495.2,2581.3,104.4,81.1,9.3
0.223302,567.1,134.6,1371.6,383.7,2523.1,453.2,421.8,1487,2577.8,104.4,81,10.6
