time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025740,305.6,152.9,1759.1,243.3,2784.1,91.3,576.8,1382.6,2521.2,123.2,68.9,26.3
0.027740,303.6,134.0,1696.7,197.8,2763.1,80.4,576.8,1382.7,2521.2,122.5,70.3,26
0.029740,303.0,117.3,1667.1,156.2,2742.9,77.8,576.8,1382.8,2521.2,121.7,71.6,18.7
0.031740,309.5,100.0,1658.9,129.1,2726.7,82.9,576.8,1383,2521.1,120.9,72.7,10
0.033740,320.3,85.2,1660.1,118.6,2715.2,101.8,576.8,1383.2,2521,120.1,73.7,5.4
0.035740,330.7,78.0,1662.8,119.8,2701.0,150.7,576.9,1383.5,2520.9,119.3,74.7,5
0.037740,340.7,78.2,1662.8,120.9,2680.0,236.2,576.9,1383.8,2520.7,118.5,75.6,5.1
0.039740,349.3,81.4,1660.5,111.1,2668.5,304.2,577,1384.1,2520.6,117.7,76.4,5.6
0.041740,353.4,83.8,1657.3,91.4,2681.4,298.8,577,1384.5,2520.4,116.9,77.1,6.3
0.043740,347.6,82.8,1653.1,76.2,2697.5,252.5,577.1,1385,2520.2,116.1,77.6,6.9
0.045740,333.0,80.5,1645.7,72.4,2697.1,235.7,577.1,1385.5,2520,115.4,77.9,7.9
0.047740,321.1,75.6,1633.6,72.8,2681.4,264.6,577.2,1386,2519.7,114.6,78.1,9.1
0.049740,321.5,73.6,1623.9,67.8,2665.5,310.4,577.3,1386.6,2519.5,113.9,78.2,10.4
0.051740,327.7,74.6,1620.3,58.4,2669.0,328.9,577.4,1387.2,2519.2,113.1,78.2,11.4
0.053740,330.3,77.2,1619.9,53.0,2698.0,274.6,577.4,1387.9,2518.9,112.5,78.2,11.6
0.055740,329.7,81.6,1617.5,61.3,2724.8,206.3,577.5,1388.6,2518.5,111.8,78.2,11
0.057740,334.0,85.0,1610.4,86.1,2738.1,185.7,577.6,1389.4,2518.2,111.2,78.4,9.6
0.059740,346.4,81.8,1603.2,111.6,2737.9,218.0,577.7,1390.2,2517.8,110.5,78.6,8
0.061740,362.0,79.4,1601.2,120.5,2710.9,303.3,577.8,1391.1,2517.4,110,78.9,6.3
0.063740,382.6,93.4,1603.1,116.3,2673.8,356.1,578,1392,2517,109.4,79.3,5
0.065740,421.8,117.6,1605.1,110.5,2673.4,351.0,578.1,1393,2516.6,108.9,79.8,4.1
0.067740,474.5,117.4,1606.2,101.6,2691.1,316.7,578.2,1394,2516.2,108.3,80.3,3.4
0.069740,511.7,98.1,1606.5,91.8,2703.8,274.9,578.3,1395,2515.7,107.9,80.7,2.8
0.071740,533.7,86.5,1606.7,86.0,2705.9,230.7,578.5,1396.1,2515.2,107.4,81.1,2.3
0.073740,549.7,87.7,1603.7,93.1,2694.7,203.7,578.6,1397.2,2514.7,106.9,81.3,1.8
0.075740,566.5,97.3,1592.6,124.4,2678.3,198.0,578.8,1398.4,2514.2,106.5,81.5,1.2
0.077740,586.9,107.7,1574.2,168.0,2669.2,199.1,578.9,1399.6,2513.6,106.1,81.6,0.6
0.079740,606.2,109.6,1562.3,193.9,2667.2,193.9,579.1,1400.9,2513,105.7,81.7,0.1
0.081740,622.5,104.2,1559.6,211.0,2663.5,183.8,579.2,1402.2,2512.5,105.4,81.9,-0.1
0.083740,636.3,96.5,1555.7,242.2,2651.6,179.3,579.4,1403.5,2511.9,105,82.1,0.1
0.085740,650.8,87.1,1540.8,264.6,2634.9,188.0,579.6,1404.9,2511.2,104.7,82.4,0.7
0.087740,663.8,76.1,1527.9,243.2,2620.1,198.2,579.7,1406.4,2510.6,104.3,82.6,1.8
