time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025615,322.3,271.4,1617.4,251.4,2579.2,182.0,498.1,1603,2342.9,118.3,62.4,-200
0.027615,327.6,223.3,1616.9,264.0,2558.8,189.8,498,1603.2,2343.1,117.6,64.8,-169
0.029615,337.2,195.3,1625.3,328.7,2539.5,177.0,498,1603.5,2343.3,116.8,66.9,-123.3
0.031615,351.7,172.1,1643.0,462.9,2532.3,167.5,497.9,1604,2343.6,116.1,68.8,-72.6
0.033615,363.4,145.4,1650.8,671.2,2527.9,165.2,497.8,1604.7,2344.1,115.3,70.4,-26.9
0.035615,365.6,123.5,1604.6,898.7,2521.4,155.4,497.6,1605.4,2344.6,114.5,71.7,4.3
0.037615,359.3,107.5,1478.6,918.3,2517.7,130.7,497.5,1606.4,2345.2,113.6,72.7,17.5
0.039615,349.1,90.4,1382.7,610.4,2519.2,109.6,497.3,1607.4,2346,112.8,73.4,19.4
0.041615,343.8,75.2,1358.7,324.4,2522.6,115.4,497.1,1608.6,2346.8,112,74,14.8
0.043615,349.9,70.8,1363.5,199.9,2530.4,176.3,496.9,1610,2347.7,111.2,74.3,8.7
0.045615,361.0,70.4,1371.9,166.4,2543.4,337.4,496.6,1611.4,2348.7,110.4,74.6,5.8
0.047615,363.9,71.7,1379.7,177.5,2518.7,500.0,496.4,1613.1,2349.8,109.6,74.8,6.5
0.049615,360.1,77.2,1384.5,200.1,2461.1,368.8,496.1,1614.8,2351,108.9,75,7.4
0.051615,360.2,92.2,1395.3,205.6,2438.8,233.5,495.8,1616.7,2352.3,108.2,75.2,8.3
0.053615,371.0,106.5,1407.8,186.4,2431.5,164.2,495.4,1618.7,2353.7,107.5,75.4,8.9
0.055615,386.2,108.3,1424.9,162.9,2431.3,130.9,495.1,1620.9,2355.2,106.8,75.7,8.9
0.057615,398.2,114.2,1449.7,149.4,2434.4,120.3,494.7,1623.2,2356.8,106.2,76,8
0.059615,418.7,142.2,1472.6,149.2,2438.5,116.7,494.3,1625.6,2358.4,105.6,76.4,6.2
0.061615,464.9,169.8,1486.8,154.2,2441.8,110.4,493.9,1628.1,2360.2,105,76.9,4.3
0.063615,521.5,155.0,1495.9,154.0,2443.9,100.3,493.4,1630.8,2362,104.5,77.5,2.7
0.065615,554.0,124.4,1501.6,153.5,2444.7,92.4,493,1633.6,2364,104,78,2
0.067615,565.6,107.5,1505.6,163.3,2442.0,92.1,492.5,1636.6,2366,103.6,78.4,2.4
0.069615,573.4,106.1,1513.2,173.1,2430.0,97.4,492,1639.6,2368.1,103.2,78.8,3.5
