time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025135,329.2,399.1,1637.2,1123.5,2456.1,90.9,257.1,1766.7,2458.2,0,64.1,-200
0.027135,377.7,390.4,1760.4,1406.7,2430.4,80.3,257.2,1766.7,2458.2,0,66.7,-168.6
0.029135,382.1,325.1,1838.1,1599.5,2407.9,59.2,257.3,1766.7,2458.2,0,69,-122.2
0.031135,365.8,280.6,1884.2,1714.7,2398.6,44.0,257.5,1766.7,2458.2,0,70.9,-70.9
0.033135,337.1,258.8,1892.3,1890.8,2397.3,37.3,257.7,1766.6,2458.2,0,72.5,-24.6
0.035135,300.3,222.4,1776.4,1978.8,2399.4,34.9,258,1766.6,2458.3,113.4,73.7,6.8
0.037135,287.2,189.7,1554.2,1430.7,2402.6,34.6,258.3,1766.5,2458.3,113.2,74.9,19.8
0.039135,292.4,194.5,1492.6,976.1,2404.8,35.9,258.7,1766.4,2458.3,113,75.9,21.1
0.041135,300.5,211.0,1476.6,802.9,2406.4,38.9,259.1,1766.4,2458.4,112.8,76.8,15.7
0.043135,296.1,202.4,1481.6,769.4,2407.0,42.4,259.6,1766.3,2458.4,112.5,77.6,9
0.045135,283.3,175.1,1531.1,776.5,2402.9,50.0,260.1,1766.2,2458.5,112.3,78.3,6.1
0.047135,274.0,157.8,1609.1,764.6,2390.8,62.1,260.6,1766.1,2458.5,112.1,78.8,7.2
0.049135,273.2,164.9,1639.2,758.4,2376.1,68.7,261.2,1766,2458.6,111.8,79.2,8.9
0.051135,281.4,187.2,1620.9,780.0,2365.4,66.6,261.9,1765.8,2458.6,111.6,79.4,10.8
0.053135,282.9,179.2,1578.2,835.4,2359.8,64.7,262.6,1765.7,2458.7,111.3,79.6,12.5
0.055135,271.2,135.8,1501.8,938.5,2351.8,73.8,263.4,1765.6,2458.8,111.1,79.7,13.7
0.057135,260.6,96.2,1372.1,913.8,2333.3,95.6,264.2,1765.4,2458.8,110.8,79.7,14
0.059135,258.2,78.2,1313.6,756.5,2311.8,105.1,265,1765.2,2458.9,110.6,79.8,13.8
0.061135,261.0,71.2,1283.1,683.4,2303.3,99.4,265.9,1765.1,2459,110.3,79.9,13.4
0.063135,261.7,65.9,1260.2,662.2,2307.7,94.3,266.9,1764.9,2459.1,110.1,79.9,13.1
0.065135,259.0,62.7,1266.5,631.4,2318.8,99.7,267.8,1764.7,2459.2,109.8,79.9,13.4
0.067135,257.5,70.2,1298.9,596.9,2332.5,117.1,268.9,1764.5,2459.3,109.6,80,14.4
