time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025896,241.0,584.0,1359.7,691.0,2477.1,110.2,366.2,2032.2,2694,0,53.3,-200
0.027896,250.4,665.6,1522.7,824.7,2478.2,90.0,366.3,2032,2693.9,0,53.4,-203.3
0.029896,310.0,915.5,1762.5,742.5,2477.7,79.9,366.3,2031.7,2693.8,0,55,-209.8
0.031896,399.8,763.5,1867.9,593.3,2475.7,72.8,366.3,2031.3,2693.6,0,57.1,-214.7
0.033896,369.1,626.7,1870.1,542.7,2469.7,66.8,366.4,2030.7,2693.4,0,59.9,-213.1
0.035896,308.3,483.7,1802.0,549.7,2460.2,63.3,366.4,2030,2693.2,0,62.6,-200
0.037896,289.7,360.8,1719.9,545.1,2448.0,64.3,366.5,2029.2,2692.9,123.3,65,-168.9
0.039896,298.7,299.9,1679.9,555.4,2431.6,67.0,366.5,2028.2,2692.6,122.7,67.1,-123.1
0.041896,317.6,273.3,1692.4,610.8,2418.9,61.8,366.6,2027.2,2692.2,122.1,69,-72.4
0.043896,340.3,268.6,1740.4,693.6,2413.5,54.6,366.7,2026,2691.7,121.6,70.7,-26.7
0.045896,350.8,284.0,1806.2,863.3,2411.5,53.5,366.8,2024.7,2691.3,120.9,72.3,4.4
0.047896,329.7,285.6,2041.4,1220.3,2412.1,58.7,366.9,2023.3,2690.8,120.3,73.7,17.2
0.049896,305.1,242.6,801.2,1384.7,2282.6,952.7,367,2021.7,2690.2,119.7,74.9,18.5
0.051896,290.1,211.2,832.9,1181.6,2337.9,987.7,367.2,2020,2689.6,119.1,75.8,13.3
0.053896,279.9,199.9,847.9,1335.7,2368.4,1478.1,367.3,2018.2,2688.9,118.5,76.6,6.7
0.055896,274.5,210.5,1161.1,1734.0,2412.5,33.2,367.4,2016.3,2688.2,117.9,77.1,3.8
0.057896,272.7,245.7,1244.5,1194.6,2411.5,39.4,367.6,2014.3,2687.5,117.3,77.4,5
0.059896,269.7,264.3,1139.4,1058.3,2403.6,65.6,367.7,2012.1,2686.7,116.7,77.7,6.6
0.061896,265.3,226.5,1081.2,940.2,2388.4,83.3,367.9,2009.8,2685.9,116.1,77.8,8.5
0.063896,262.8,189.8,1142.5,929.6,2387.0,66.3,368.1,2007.4,2685,115.6,78,10.4
0.065896,264.3,175.1,1203.6,927.8,2391.6,52.9,368.3,2004.9,2684.1,115.1,78.1,11.8
0.067896,273.9,176.3,1223.6,925.2,2395.7,44.3,368.5,2002.3,2683.2,114.6,78.2,12.8
0.069896,284.0,167.7,1239.6,916.8,2399.5,36.7,368.7,1999.6,2682.2,114.2,78.3,13.5
0.071896,285.6,149.0,1299.3,848.4,2403.6,29.9,368.9,1996.7,2681.1,113.7,78.4,14.1
0.073896,283.0,136.9,1374.5,678.9,2408.5,26.2,369.1,1993.7,2680,113.4,78.5,14.7
0.075896,283.5,140.0,1408.7,555.7,2414.2,28.1,369.4,1990.6,2678.9,113,78.7,15.4
0.077896,288.2,151.6,1416.7,540.5,2420.1,32.8,369.6,1987.4,2677.8,112.7,78.9,16.5
0.079896,290.2,155.1,1423.2,581.2,2423.7,35.7,369.9,1984.1,2676.6,112.4,79.1,17.9
0.081896,289.3,155.9,1466.9,615.7,2422.9,39.3,370.1,1980.7,2675.3,112.2,79.3,19.2
0.083896,292.0,169.3,1561.1,633.0,2418.0,50.5,370.4,1977.2,2674,111.9,79.6,20.1
0.085896,301.2,196.1,1715.1,658.6,2416.2,79.0,370.6,1973.6,2672.7,111.7,79.8,20.3
0.087896,305.1,200.8,1909.3,573.0,2433.2,135.1,370.9,1969.8,2671.3,111.6,80.1,19.2
0.089896,297.9,171.3,2015.3,416.5,2471.3,182.4,371.2,1966,2669.9,111.4,80.5,17.3
0.091896,299.0,151.7,1977.8,7347.6,2053.5,321.7,371.5,1962,2668.5,111.3,80.9,15.1
0.093896,317.2,147.7,2080.5,255.5,2526.3,180.0,371.8,1958,2667,111.2,81.3,13
0.095896,339.9,138.5,2107.9,206.5,2552.3,168.2,372.1,1953.8,2665.5,111.1,81.7,11.5
0.097896,351.0,126.2,2140.9,175.4,2590.8,166.6,372.4,1949.6,2663.9,111,82,10.9
0.099896,353.2,121.3,2187.8,155.0,2640.2,165.8,372.8,1945.2,2662.3,110.9,82.2,10.8
0.101896,358.8,128.6,2248.3,129.5,2686.3,156.0,373.1,1940.7,2660.7,110.8,82.4,11
0.103896,375.7,141.9,2294.3,96.2,2720.7,139.8,373.4,1936.2,2659.1,110.8,82.6,11.2
0.105896,389.9,143.3,2314.9,74.7,2747.2,133.7,373.8,1931.6,2657.4,110.7,82.7,11.3
0.107896,390.8,139.7,2325.2,64.1,2785.6,146.9,374.2,1926.8,2655.6,110.7,82.8,11.3
0.109896,391.1,143.9,2335.4,55.8,2849.5,161.4,374.5,1922,2653.8,110.7,82.9,11.3
0.111896,407.3,156.1,2345.6,46.8,2905.5,146.6,374.9,1917.1,2652,110.6,83,11.3
0.113896,431.1,157.0,2352.7,40.5,2930.1,129.3,375.3,1912.1,2650.2,110.6,83.1,11.4
0.115896,438.7,149.4,2355.5,37.9,2940.3,126.7,375.6,1907,2648.3,110.6,83.1,11.5
0.117896,432.1,150.3,2356.0,39.2,2946.0,143.7,376,1901.8,2646.4,110.5,83.1,11.7
0.119896,425.7,163.5,2356.0,45.0,2946.7,201.4,376.4,1896.6,2644.5,110.5,83.1,11.9
0.121896,433.8,177.4,2356.9,51.5,2932.3,322.2,376.8,1891.2,2642.5,110.4,83,12.1
0.123896,446.4,175.0,2359.9,53.5,2891.1,415.4,377.2,1885.8,2640.5,110.4,83,12.5
0.125896,446.8,163.1,2366.0,52.2,2874.9,432.5,377.6,1880.3,2638.5,110.4,82.9,13
0.127896,441.2,153.8,2375.6,50.5,2881.7,388.5,378.1,1874.8,2636.4,110.3,82.9,13.9
0.129896,442.0,149.4,2388.5,50.3,2896.0,324.4,378.5,1869.1,2634.3,110.2,82.9,15
0.131896,449.3,143.1,2399.6,50.3,2912.1,292.6,378.9,1863.4,2632.2,110.2,83,16.2
0.133896,449.1,134.3,2405.9,49.4,2928.3,299.3,379.3,1857.6,2630.1,110.1,83,17.2
