time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025490,446.1,125.3,2121.6,53.8,2606.3,365.8,398.5,2094,2586,118.4,74.1,2.7
0.027490,443.3,107.7,2122.1,63.4,2652.7,357.2,398.5,2093.9,2586,118.4,75.5,16.3
0.029490,441.4,92.8,2120.8,72.0,2665.0,358.5,398.4,2093.8,2586,118.4,76.7,18.8
0.031490,439.9,85.2,2118.6,68.3,2660.7,351.8,398.4,2093.6,2586.1,118.3,77.7,15
0.033490,440.5,82.8,2118.8,59.4,2657.5,339.1,398.4,2093.4,2586.2,118.3,78.7,9.6
0.035490,442.3,81.3,2123.0,56.0,2657.9,338.8,398.3,2093.1,2586.4,118.3,79.4,7.2
0.037490,442.1,77.9,2128.0,57.1,2656.8,351.3,398.2,2092.7,2586.5,118.3,80,8
0.039490,439.3,73.3,2128.9,56.1,2654.7,366.1,398.2,2092.4,2586.7,118.2,80.6,8.8
0.041490,436.0,70.8,2126.0,51.2,2656.7,373.0,398.1,2091.9,2586.9,118.2,81,9.5
0.043490,434.8,70.9,2122.0,47.6,2657.7,384.4,398,2091.4,2587.1,118.2,81.4,10.2
0.045490,435.7,71.9,2118.7,50.2,2639.4,403.2,397.8,2090.9,2587.4,118.1,81.7,10.9
0.047490,436.6,73.1,2115.9,55.4,2601.7,403.1,397.7,2090.3,2587.7,118.1,81.9,11.7
0.049490,435.2,74.6,2113.7,56.7,2574.6,382.7,397.6,2089.7,2588,118.1,82.2,12.6
0.051490,432.8,76.4,2113.1,55.6,2566.1,378.9,397.4,2089,2588.3,118,82.4,13.4
0.053490,431.5,79.3,2113.7,56.4,2556.6,393.9,397.3,2088.2,2588.6,118,82.6,14.1
0.055490,431.8,82.6,2114.6,57.1,2539.3,400.1,397.1,2087.5,2589,117.9,82.7,14.6
0.057490,431.1,84.8,2115.1,53.2,2526.3,390.4,396.9,2086.6,2589.4,117.9,82.9,14.7
0.059490,426.5,85.0,2116.1,46.5,2525.1,384.6,396.8,2085.7,2589.8,117.8,83.1,14.6
0.061490,420.3,84.4,2117.8,43.0,2531.4,400.3,396.6,2084.8,2590.3,117.7,83.3,14.4
0.063490,413.2,84.2,2119.2,43.9,2536.7,430.8,396.4,2083.8,2590.7,117.6,83.4,14.1
0.065490,406.1,83.1,2118.8,45.8,2539.7,456.6,396.1,2082.8,2591.2,117.5,83.6,13.8
0.067490,397.2,79.4,2117.4,47.2,2545.6,478.2,395.9,2081.7,2591.7,117.4,83.8,13.4
0.069490,386.5,73.0,2116.8,52.9,2547.9,514.1,395.7,2080.5,2592.2,117.3,84,12.9
0.071490,377.6,67.5,2117.6,64.7,2533.3,566.8,395.4,2079.3,2592.8,117.2,84.2,12.4
0.073490,370.7,64.7,2118.2,73.0,2516.2,620.1,395.2,2078.1,2593.3,117,84.4,11.8
0.075490,364.5,62.8,2118.5,68.0,2544.7,686.8,394.9,2076.8,2593.9,116.9,84.5,11.3
0.077490,358.6,61.8,2118.5,57.8,2646.7,730.2,394.6,2075.5,2594.6,116.7,84.6,10.8
0.079490,354.7,64.9,2117.2,52.2,2695.4,574.2,394.4,2074.1,2595.2,116.5,84.6,10.2
0.081490,354.1,70.9,2115.4,54.7,2659.5,471.4,394.1,2072.6,2595.8,116.3,84.6,9.7
0.083490,353.6,74.0,2112.4,59.5,2632.9,405.2,393.8,2071.1,2596.5,116.1,84.5,9.3
0.085490,350.7,72.6,2107.7,63.0,2628.7,379.4,393.5,2069.6,2597.2,115.9,84.4,9.1
0.087490,347.8,71.4,2100.3,70.5,2632.1,389.1,393.1,2068,2597.9,115.7,84.2,9.2
0.089490,348.0,74.3,2089.0,89.6,2625.4,421.6,392.8,2066.4,2598.7,115.5,83.9,9.4
0.091490,351.0,80.3,2076.4,113.7,2612.5,428.8,392.5,2064.7,2599.4,115.3,83.5,9.8
0.093490,350.8,84.5,2067.2,125.8,2627.6,398.3,392.1,2063,2600.2,115.1,83.1,10.3
0.095490,345.0,82.7,2062.0,122.9,2680.2,346.8,391.8,2061.2,2601,114.9,82.7,10.7
0.097490,340.2,78.5,2049.2,119.1,2738.1,266.3,391.4,2059.4,2601.8,114.7,82.3,11.1
0.099490,340.9,76.0,2022.4,117.6,2766.7,189.7,391.1,2057.5,2602.6,114.5,82,11.5
0.101490,342.2,74.8,2004.3,116.3,2767.2,151.9,390.7,2055.6,2603.5,114.3,81.7,12
0.103490,336.9,72.2,2011.3,127.7,2751.2,143.9,390.3,2053.7,2604.3,114.1,81.5,12.6
0.105490,328.8,68.8,2040.7,156.1,2732.6,151.7,389.9,2051.6,2605.2,113.9,81.3,13.3
0.107490,324.7,67.0,2079.9,182.8,2723.8,163.5,389.5,2049.6,2606.1,113.7,81.2,14.4
0.109490,324.5,66.5,2098.6,174.1,2722.1,170.3,389.1,2047.5,2607,113.5,81.1,15.8
0.111490,322.8,65.0,2084.4,136.1,2719.1,173.3,388.7,2045.3,2608,113.4,81.1,17.2
0.113490,319.5,63.9,2066.1,97.4,2716.8,184.9,388.3,2043.2,2608.9,113.2,81,18.4
0.115490,318.6,65.3,2060.2,78.4,2720.9,205.1,387.9,2040.9,2609.9,113,81,19.1
0.117490,322.1,69.3,2061.8,71.4,2731.8,223.5,387.4,2038.6,2610.9,112.9,81,19.1
0.119490,327.4,73.8,2066.8,68.4,2743.4,233.7,387,2036.3,2611.9,112.8,81,18.6
0.121490,332.2,78.0,2074.7,68.4,2746.8,244.8,386.6,2033.9,2612.9,112.6,81,17.9
0.123490,339.5,82.3,2090.1,72.7,2738.8,266.1,386.1,2031.5,2613.9,112.5,81,17.3
0.125490,348.0,83.7,2110.0,76.8,2719.3,282.4,385.7,2029.1,2614.9,112.4,80.9,17
0.127490,353.9,80.2,2122.4,78.7,2683.3,277.4,385.2,2026.6,2616,112.3,80.8,17.2
0.129490,354.4,75.2,2119.6,85.6,2629.5,249.5,384.7,2024,2617,112.2,80.7,17.8
0.131490,353.7,75.5,2107.6,96.1,2588.9,224.7,384.3,2021.4,2618.1,112.1,80.5,18.4
0.133490,355.4,81.6,2095.8,99.1,2572.8,228.1,383.8,2018.8,2619.2,112,80.3,18.9
0.135490,358.9,87.9,2088.8,90.4,2574.8,261.5,383.3,2016.1,2620.3,111.9,80.1,19
0.137490,359.2,89.1,2082.9,78.3,2582.2,315.5,382.8,2013.4,2621.4,111.9,79.9,18.7
0.139490,354.4,86.6,2076.4,70.4,2586.8,381.9,382.3,2010.7,2622.5,111.8,79.7,18
0.141490,350.9,87.6,2071.2,71.0,2586.9,421.5,381.9,2007.9,2623.6,111.7,79.5,17.2
0.143490,353.5,97.3,2071.9,76.6,2595.7,400.2,381.4,2005,2624.8,111.7,79.3,16.5
0.145490,360.8,110.4,2080.4,77.6,2603.5,337.1,380.9,2002.1,2625.9,111.6,79,16
0.147490,364.8,116.2,2089.0,76.4,2586.5,265.5,380.4,1999.2,2627.1,111.6,78.8,15.8
0.149490,363.5,116.3,2092.0,77.9,2555.2,201.8,379.9,1996.3,2628.3,111.6,78.7,15.9
0.151490,366.3,118.9,2088.7,78.2,2533.8,163.9,379.4,1993.3,2629.4,111.5,78.6,16
0.153490,375.8,121.6,2082.1,72.3,2523.8,145.9,378.9,1990.2,2630.6,111.5,78.6,16.2
0.155490,381.6,119.6,2076.5,62.9,2524.4,146.1,378.3,1987.1,2631.8,111.5,78.6,16.2
0.157490,382.9,116.4,2073.2,54.2,2535.3,162.9,377.8,1984,2633,111.5,78.6,16.2
0.159490,388.7,114.7,2073.9,49.8,2559.4,199.5,377.3,1980.9,2634.2,111.5,78.6,16.1
0.161490,400.7,113.0,2080.1,53.1,2593.4,249.1,376.8,1977.7,2635.4,111.5,78.7,16
0.163490,407.0,112.7,2094.4,65.6,2640.6,302.3,376.3,1974.5,2636.6,111.5,78.8,15.9
0.165490,398.2,119.7,2114.9,81.6,2680.6,329.5,375.8,1971.2,2637.9,111.5,78.9,15.9
0.167490,382.9,132.6,2132.5,94.1,2671.3,337.6,375.3,1967.9,2639.1,111.5,78.9,15.9
0.169490,379.3,149.9,2133.2,101.0,2607.3,327.4,374.7,1964.5,2640.3,111.6,79,15.9
0.171490,393.5,163.5,2119.8,101.6,2544.9,289.6,374.2,1961.2,2641.5,111.6,79.1,15.9
0.173490,404.6,164.1,2103.1,98.2,2507.4,258.2,373.7,1957.8,2642.8,111.6,79.2,16.1
0.175490,402.6,162.5,2090.4,96.5,2494.1,259.1,373.2,1954.3,2644,111.7,79.3,16.3
0.177490,401.9,167.5,2084.0,101.3,2493.2,303.2,372.7,1950.8,2645.3,111.7,79.3,16.6
0.179490,413.4,178.4,2087.8,112.2,2498.8,419.7,372.2,1947.3,2646.5,111.7,79.5,17.1
0.181490,421.7,184.4,2096.5,115.7,2514.7,608.8,371.6,1943.8,2647.7,111.8,79.5,17.6
0.183490,412.1,184.3,2097.8,109.5,2548.7,863.2,371.1,1940.2,2649,111.8,79.6,18.2
0.185490,399.5,180.7,2091.3,104.4,2559.4,1070.4,370.6,1936.6,2650.2,111.8,79.7,18.8
0.187490,401.2,181.9,2087.9,100.1,2530.7,1138.0,370.1,1932.9,2651.5,111.9,79.7,19.4
0.189490,417.0,190.1,2091.3,91.0,2534.5,1130.9,369.6,1929.3,2652.7,111.9,79.8,20.2
0.191490,423.4,200.4,2094.1,82.9,2615.5,1017.3,369.1,1925.5,2653.9,112,79.8,20.9
0.193490,414.4,216.9,2092.7,81.6,2647.8,679.6,368.6,1921.8,2655.2,112,79.9,21.6
0.195490,410.7,240.3,2087.5,83.1,2613.7,444.2,368.1,1918,2656.4,112,79.9,22.2
0.197490,423.1,268.4,2081.8,79.2,2588.2,331.5,367.6,1914.2,2657.6,112,80,22.7
0.199490,428.6,290.0,2078.9,71.4,2589.2,302.2,367.1,1910.4,2658.9,112.1,80.1,23.2
0.201490,410.1,293.4,2079.0,68.6,2621.8,320.4,366.6,1906.5,2660.1,112.1,80.2,23.5
0.203490,396.9,281.7,2079.0,78.0,2668.8,334.4,366.1,1902.7,2661.3,112.1,80.2,23.7
0.205490,408.5,281.1,2076.9,102.1,2690.1,320.1,365.6,1898.7,2662.5,112.1,80.3,23.6
0.207490,422.4,291.3,2072.5,125.1,2694.9,290.5,365.2,1894.8,2663.7,112.1,80.3,23.1
0.209490,401.4,306.6,2068.5,127.3,2702.9,258.6,364.7,1890.8,2664.9,112.1,80.2,22.2
0.211490,353.0,279.9,511.1,1189.1,2066.6,118.9,364.2,1886.8,2666.1,112.1,80.2,21.1
0.213490,328.0,247.2,627.5,1019.5,2066.2,122.2,363.8,1882.8,2667.3,112.1,80,20.2
0.215490,323.8,262.8,653.9,919.6,2067.7,150.5,363.3,1878.7,2668.5,112,79.9,19.7
0.217490,322.2,300.3,658.8,830.3,2071.1,201.1,362.9,1874.7,2669.6,112,79.7,19.6
0.219490,309.6,305.0,683.2,747.5,2081.4,244.9,362.4,1870.6,2670.8,112,79.6,19.8
0.221490,298.6,293.4,708.1,689.4,2103.8,260.7,362,1866.4,2672,111.9,79.5,20.2
0.223490,297.7,304.5,718.7,627.8,2138.8,272.3,361.5,1862.3,2673.1,111.9,79.4,20.6
0.225490,302.9,302.8,729.0,561.3,2173.1,283.3,361.1,1858.1,2674.2,111.9,79.4,21
0.227490,303.3,265.5,746.1,510.9,2199.3,285.6,360.7,1853.9,2675.4,111.8,79.4,21.4
0.229490,297.9,232.9,757.4,493.4,2210.8,277.0,360.3,1849.7,2676.5,111.8,79.4,22
0.231490,294.8,230.6,760.1,489.1,2205.1,261.2,359.9,1845.4,2677.6,111.7,79.4,22.5
0.233490,297.2,246.8,758.1,461.5,2194.3,240.8,359.5,1841.2,2678.7,111.7,79.4,22.8
0.235490,300.2,248.0,756.8,433.5,2185.1,228.6,359.1,1836.9,2679.7,111.6,79.4,22.7
0.237490,297.6,231.0,756.3,430.2,2171.5,220.6,358.7,1832.6,2680.8,111.6,79.4,22.2
0.239490,294.6,228.0,748.2,470.2,2156.0,211.9,358.4,1828.3,2681.8,111.5,79.3,21.4
0.241490,302.0,267.5,719.2,550.0,2155.7,213.4,358,1823.9,2682.9,111.5,79.3,20.3
0.243490,330.0,364.3,639.8,664.8,2178.7,218.3,357.6,1819.6,2683.9,111.5,79.3,19.1
0.245490,400.1,459.8,478.4,795.6,2202.7,181.4,357.3,1815.2,2684.9,111.4,79.4,17.8
0.247490,114.9,1195.2,459.8,359.2,2204.5,127.5,357,1810.8,2685.9,111.4,79.4,16.2
0.249490,480.4,285.0,2197.8,91.4,2879.3,127.0,356.6,1806.4,2686.8,111.3,79.6,14.3
0.251490,486.7,239.6,2196.7,75.8,2895.3,105.1,356.3,1801.9,2687.8,111.3,79.7,12.4
0.253490,469.5,214.0,2209.7,74.4,2907.2,103.0,356,1797.5,2688.7,111.3,79.9,10.8
0.255490,436.9,203.7,2241.8,79.0,2916.6,120.1,355.7,1793,2689.7,111.3,80.1,9.8
0.257490,408.9,191.4,2279.6,74.4,2928.3,137.0,355.5,1788.5,2690.6,111.2,80.3,9.5
0.259490,405.7,175.8,2302.9,62.0,2941.8,136.6,355.2,1784,2691.4,111.2,80.4,9.7
