time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025406,857.1,160.9,1543.6,99.5,2292.8,1636.8,806.6,1546.8,1898.8,0,75.3,1.7
0.027406,866.9,202.7,1537.0,120.9,2097.4,1903.2,806.6,1546.7,1898.9,0,76.6,1.2
0.029406,896.5,242.3,1530.4,143.9,1859.9,2168.1,806.5,1546.4,1898.9,0,78,1.6
0.031406,928.7,247.6,1525.7,149.7,1699.5,2518.6,806.4,1546.1,1899.1,0,79.2,2.2
0.033406,948.9,219.3,1523.6,137.4,1607.6,3058.0,806.2,1545.6,1899.2,0,80.3,2.9
0.035406,952.3,190.7,1522.1,124.4,1587.9,3272.8,806.1,1545.1,1899.4,0,81.3,3.3
0.037406,941.3,183.3,1516.8,121.8,1668.0,2637.8,805.8,1544.4,1899.7,0,82.1,3.2
0.039406,914.1,193.0,1503.2,123.0,1771.0,1880.3,805.6,1543.7,1900,0,82.7,2.6
0.041406,876.4,198.9,1487.7,109.5,1879.7,1389.1,805.3,1542.8,1900.3,0,83.1,1.8
0.043406,844.4,197.4,1481.5,87.1,1963.4,1123.4,805,1541.9,1900.6,0,83.4,1
0.045406,823.5,199.0,1482.0,70.4,2019.9,987.9,804.7,1540.9,1901,0,83.4,0.3
0.047406,813.4,208.5,1484.1,64.5,2054.4,966.0,804.3,1539.8,1901.5,0,83.3,-0.1
0.049406,811.5,221.6,1484.8,70.8,2071.9,1057.0,804,1538.6,1901.9,0,83.2,-0.5
0.051406,821.5,229.0,1484.0,96.1,2048.5,1212.5,803.5,1537.3,1902.4,0,83.1,-0.8
0.053406,840.1,229.6,1484.7,140.9,1964.8,1241.6,803.1,1535.9,1903,0,83.1,-0.8
0.055406,862.8,228.8,1492.1,184.8,1890.3,1195.9,802.6,1534.4,1903.6,0,83.2,-0.6
0.057406,888.0,229.8,1504.5,195.3,1883.7,1281.1,802,1532.9,1904.2,0,83.4,0.1
0.059406,908.9,234.8,1510.8,180.7,1924.2,1451.3,801.5,1531.3,1904.8,100.1,83.6,1.4
0.061406,910.1,246.9,1504.8,156.8,1915.6,1431.7,800.9,1529.6,1905.6,101.7,83.9,3.1
0.063406,889.4,256.7,1495.3,122.7,1884.8,1283.2,800.3,1527.9,1906.3,103.5,84.2,4.7
0.065406,873.7,266.1,1495.2,90.6,1865.3,1277.2,799.6,1526,1907.1,105.5,84.6,6
0.067406,885.0,285.9,1501.6,76.6,1828.4,1426.0,798.9,1524.2,1907.9,107.6,84.9,6.6
0.069406,915.4,300.3,1509.4,75.8,1787.0,1655.3,798.2,1522.2,1908.8,110,85.2,6.6
0.071406,938.7,296.8,1515.8,81.7,1783.7,1854.7,797.4,1520.2,1909.7,112.5,85.3,6.2
0.073406,944.8,291.6,1518.8,89.8,1828.9,2026.2,796.6,1518.2,1910.6,115.1,85.2,5.8
0.075406,937.3,299.7,1516.4,93.5,1887.2,2313.5,795.8,1516.1,1911.6,117.9,85,5.5
0.077406,922.9,323.1,1509.0,92.6,1860.4,2704.8,794.9,1513.9,1912.7,120.9,84.8,5.5
0.079406,911.5,354.6,1499.0,95.3,1764.0,2858.9,794,1511.7,1913.7,124,84.6,5.6
0.081406,905.8,382.8,1488.3,105.3,1729.2,2589.5,793.1,1509.5,1914.9,127.2,84.6,5.7
