time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025469,331.5,68.3,2041.4,406.4,3577.9,903.1,517.1,2077.9,2996.7,190.7,69.7,-11.9
0.027469,344.1,66.6,2074.6,575.1,3572.6,827.2,517.1,2077.7,2996.5,190.1,70.5,17.3
0.029469,350.1,68.0,2135.7,734.4,3553.1,762.8,517.2,2077.4,2996.1,189.5,71,23.9
0.031469,355.2,70.2,2173.4,800.9,3507.4,699.7,517.2,2077,2995.6,188.9,71.2,21.3
0.033469,366.4,74.9,2157.9,805.7,3445.6,630.2,517.3,2076.5,2994.9,188.3,71.2,14.5
0.035469,387.8,82.3,2131.4,798.4,3391.0,558.9,517.4,2075.9,2994.1,187.6,70.9,8.9
0.037469,415.1,87.2,2132.2,777.5,3351.6,485.1,517.5,2075.2,2993.1,187,70.6,8.3
0.039469,432.8,87.2,2154.8,740.1,3333.0,416.3,517.6,2074.3,2991.9,186.5,70.2,9.1
0.041469,436.8,84.6,2168.7,701.0,3328.3,358.5,517.7,2073.3,2990.6,185.9,69.9,10.2
0.043469,434.2,78.7,2156.9,671.4,3329.7,316.0,517.9,2072.3,2989.2,185.4,69.6,11.4
0.045469,432.2,70.3,2129.2,657.6,3335.0,281.8,518,2071.1,2987.6,184.9,69.4,12.5
0.047469,432.4,62.6,2104.7,677.0,3341.7,248.1,518.2,2069.8,2985.8,184.4,69.2,14.6
0.049469,432.6,58.7,2099.1,735.8,3343.9,222.4,518.4,2068.4,2983.9,184,69,21.8
0.051469,429.9,58.2,2116.5,801.1,3343.9,210.6,518.6,2066.9,2981.9,183.7,68.8,29.8
0.053469,422.5,59.9,2154.2,839.6,3348.4,216.9,518.8,2065.3,2979.7,183.4,68.6,33.4
0.055469,409.8,62.0,2211.6,864.9,3356.8,249.2,519.1,2063.5,2977.4,183.1,68.4,27.2
0.057469,392.3,62.9,2304.0,903.9,3355.9,326.3,519.3,2061.7,2974.9,182.9,68.2,4.9
0.059469,373.4,61.9,2427.4,947.3,3324.2,437.7,519.6,2059.8,2972.3,182.8,68,-37.4
0.061469,356.1,59.5,2531.5,959.0,3270.2,507.5,519.8,2057.8,2969.6,182.7,67.8,-90.3
0.063469,343.1,58.9,2573.0,946.3,3244.1,521.7,520.1,2055.7,2966.7,182.6,67.6,-143.4
0.065469,333.9,62.2,2566.2,928.5,3262.1,550.9,520.4,2053.4,2963.7,182.6,67.4,-186
0.067469,326.8,68.2,2499.3,850.4,3334.7,571.0,520.7,2051.1,2960.5,182.6,67.2,-208.9
