time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025359,613.2,78.1,2007.3,2165.0,2050.8,66.7,501.2,1798.1,2068.3,186.4,76.9,1.7
0.027359,607.2,80.7,1943.1,2102.5,2051.9,59.8,501.2,1798.2,2068.4,186.3,77.2,2.6
0.029359,602.4,80.9,1892.4,1797.6,2052.5,55.6,501.2,1798.2,2068.5,186.2,77.5,4.3
0.031359,599.0,79.3,1828.5,1402.3,2051.9,55.2,501.1,1798.3,2068.6,186.1,77.7,6.4
0.033359,596.4,78.1,1796.2,1135.5,2050.6,62.1,501.1,1798.3,2068.8,186,77.9,8.5
0.035359,593.9,79.2,1800.8,989.4,2051.5,82.6,501.1,1798.4,2069.1,185.9,78,10.3
0.037359,591.5,81.8,1813.5,896.9,2058.5,117.8,501.1,1798.5,2069.4,185.8,78.2,11.6
0.039359,588.8,85.7,1813.2,838.5,2070.8,154.2,501,1798.6,2069.7,185.7,78.3,12.4
0.041359,587.1,90.2,1813.4,868.9,2068.9,159.5,501,1798.7,2070.1,185.7,78.4,13
0.043359,587.5,94.5,1816.5,980.4,2052.9,136.5,501,1798.9,2070.5,185.6,78.5,13.4
0.045359,589.9,97.0,1799.7,1083.8,2042.7,111.2,500.9,1799,2070.9,185.5,78.5,13.8
0.047359,593.4,97.0,1776.4,1090.6,2044.2,99.4,500.9,1799.2,2071.4,185.4,78.6,14.2
0.049359,596.9,94.8,1767.8,1013.9,2055.7,98.1,500.8,1799.4,2072,185.3,78.6,14.5
0.051359,598.4,92.3,1768.9,933.8,2070.1,98.6,500.8,1799.6,2072.6,185.2,78.6,14.7
0.053359,596.9,90.8,1773.5,906.0,2078.1,97.6,500.7,1799.8,2073.2,185.2,78.6,15
0.055359,593.2,90.2,1779.1,921.9,2077.9,97.8,500.7,1800,2073.9,185.1,78.7,15.3
0.057359,589.4,90.2,1777.1,947.1,2074.2,99.5,500.6,1800.3,2074.6,185,78.7,15.9
0.059359,586.3,91.2,1762.5,979.6,2069.9,102.3,500.5,1800.5,2075.3,184.9,78.7,16.9
0.061359,583.5,94.5,1731.6,1045.1,2065.9,104.6,500.5,1800.8,2076.1,184.9,78.8,18
0.063359,580.2,100.0,1680.3,1124.2,2062.9,104.6,500.4,1801.1,2077,184.8,78.9,19
0.065359,576.4,105.2,1635.3,1148.0,2062.0,104.7,500.3,1801.4,2077.8,184.7,79,19.6
0.067359,573.0,108.3,1633.9,1140.2,2062.1,110.6,500.2,1801.7,2078.7,184.7,79.2,19.8
0.069359,569.6,109.6,1675.4,1155.0,2060.8,127.3,500.1,1802,2079.7,184.6,79.4,19.4
0.071359,566.4,108.2,1739.3,1172.9,2057.4,155.7,500.1,1802.3,2080.7,184.6,79.6,18.7
0.073359,563.2,104.9,1789.5,1142.6,2055.2,192.1,500,1802.6,2081.7,184.5,79.8,17.9
0.075359,559.6,102.3,1789.0,1071.3,2058.6,219.3,499.9,1803,2082.8,184.4,80,17.1
0.077359,555.3,101.8,1750.2,1015.2,2062.1,218.7,499.8,1803.3,2083.9,184.4,80.1,16.5
0.079359,550.1,103.2,1711.9,981.2,2058.2,204.9,499.7,1803.7,2085,184.3,80.2,15.8
0.081359,543.8,106.4,1702.0,966.5,2046.9,200.3,499.6,1804.1,2086.2,184.3,80.3,15.1
0.083359,535.3,110.8,1718.4,955.4,2029.8,211.3,499.5,1804.5,2087.4,184.3,80.2,14.4
0.085359,524.0,114.7,1743.8,920.9,2008.7,235.2,499.4,1804.9,2088.7,184.2,80.2,13.8
0.087359,510.6,115.7,1758.8,845.7,1990.4,265.8,499.3,1805.3,2089.9,184.2,80.1,13.4
0.089359,493.5,112.4,1756.3,736.3,1978.9,304.5,499.2,1805.7,2091.3,184.2,79.9,13.2
0.091359,473.8,104.8,1741.8,653.3,1970.2,346.3,499.1,1806.1,2092.6,184.1,79.7,13
0.093359,452.3,94.3,1733.0,645.7,1944.5,386.1,499,1806.5,2094,184.1,79.6,12.9
0.095359,430.5,81.7,1730.2,761.3,1892.9,380.0,498.9,1807,2095.4,184.1,79.4,12.8
0.097359,413.1,70.7,1699.2,933.1,1865.7,329.3,498.7,1807.4,2096.8,184.1,79.3,12.5
0.099359,401.2,63.2,1703.4,1049.6,1864.6,308.5,498.6,1807.8,2098.3,184.1,79.2,12.1
0.101359,396.3,61.0,1797.0,1072.9,1878.1,327.2,498.5,1808.3,2099.8,184.1,79.2,11.7
0.103359,396.8,62.8,1891.5,906.2,1906.9,388.9,498.4,1808.8,2101.4,184.1,79.1,11.3
0.105359,399.8,66.6,1847.3,703.1,1989.8,461.3,498.3,1809.2,2102.9,184.1,79,11.3
0.107359,401.9,69.2,1775.9,693.8,2042.3,421.6,498.2,1809.7,2104.5,184.1,78.9,11.6
0.109359,401.6,69.2,1706.2,671.7,2062.0,392.5,498.1,1810.1,2106.1,184.2,78.8,12.3
0.111359,400.2,67.5,1666.7,647.9,2050.0,370.8,498,1810.6,2107.8,184.2,78.8,13.2
0.113359,400.9,67.4,1674.8,667.0,2011.5,337.1,497.9,1811.1,2109.4,184.2,78.7,14.3
0.115359,406.1,71.2,1726.1,687.8,1976.8,291.6,497.7,1811.6,2111.1,184.3,78.7,15.4
0.117359,415.3,75.1,1795.7,639.0,1959.4,275.4,497.6,1812,2112.9,184.3,78.7,16.6
0.119359,426.1,74.5,1859.9,498.2,1949.7,324.6,497.5,1812.5,2114.6,184.3,78.7,17.9
0.121359,433.8,70.3,1839.0,340.9,1998.5,398.9,497.4,1813,2116.4,184.4,78.8,19.3
0.123359,437.4,67.0,1812.8,302.6,2027.3,385.0,497.3,1813.5,2118.1,184.4,78.9,20.6
