time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025906,336.2,63.3,1435.1,3036.5,1992.6,119.9,553,1605.7,1974.8,192.6,80.8,2.6
0.027906,343.7,60.0,1978.4,2191.1,1993.6,127.9,553,1605.9,1975,192.1,81.1,3.7
0.029906,349.7,59.9,1993.5,140.5,2114.2,1444.8,552.9,1606.1,1975.3,191.7,81.3,5.7
0.031906,355.1,60.7,1994.1,148.3,2186.8,1065.0,552.8,1606.5,1975.8,191.2,81.4,8
0.033906,359.8,59.4,1998.4,140.7,2240.0,921.1,552.6,1607,1976.3,190.8,81.5,10.1
0.035906,363.6,55.5,2006.1,126.2,2256.3,934.8,552.5,1607.6,1977,190.3,81.5,11.6
0.037906,365.5,50.8,2009.3,118.0,2199.7,1068.3,552.3,1608.3,1977.8,189.8,81.5,12.9
0.039906,366.4,46.2,2001.7,118.6,2076.0,1215.7,552,1609.1,1978.8,189.4,81.5,14
0.041906,367.4,43.0,1982.0,127.4,1988.3,1293.7,551.7,1610,1979.8,188.9,81.6,15.1
0.043906,368.9,41.1,1944.7,1360.3,1958.7,136.5,551.4,1611.1,1981,188.5,81.6,16.1
0.045906,370.9,39.0,1857.9,1332.5,1941.7,142.1,551.1,1612.2,1982.3,188,81.8,17
0.047906,372.7,37.0,1754.3,1231.2,1936.9,142.9,550.7,1613.4,1983.7,187.6,81.9,18
0.049906,374.5,36.1,1672.1,1142.4,1939.4,140.2,550.3,1614.7,1985.3,187.2,82,18.9
0.051906,376.1,36.9,1611.3,1088.8,1946.1,136.4,549.9,1616.2,1986.9,186.8,82.2,19.7
0.053906,377.2,39.1,1565.1,1034.1,1955.4,134.3,549.4,1617.7,1988.7,186.4,82.3,20.4
0.055906,378.0,42.3,1538.1,958.5,1964.5,135.4,548.9,1619.4,1990.6,186,82.4,20.9
0.057906,378.5,45.9,1538.7,888.3,1966.6,140.1,548.4,1621.1,1992.6,185.7,82.4,21.2
0.059906,378.7,49.9,1548.7,838.1,1959.0,145.0,547.8,1623,1994.7,185.3,82.5,21.5
0.061906,378.9,53.3,1538.9,817.1,1944.5,141.8,547.3,1624.9,1996.9,185,82.5,21.6
0.063906,379.5,55.4,1508.2,807.7,1930.4,131.4,546.7,1627,1999.3,184.7,82.5,21.9
0.065906,380.7,57.0,1478.2,802.0,1919.0,122.5,546,1629.1,2001.7,184.4,82.6,22.4
0.067906,382.0,58.1,1467.5,806.5,1911.3,120.3,545.4,1631.3,2004.3,184.1,82.6,23.4
0.069906,383.0,58.3,1467.6,800.9,1906.1,119.1,544.7,1633.7,2007,183.8,82.7,24.6
0.071906,383.3,56.6,1450.6,750.0,1903.5,110.7,544,1636.1,2009.7,183.5,82.7,25.4
0.073906,384.1,54.6,1404.1,652.1,1901.7,96.9,543.3,1638.6,2012.6,183.2,82.8,25.3
0.075906,388.4,56.6,1334.3,499.6,1898.5,86.7,542.5,1641.2,2015.6,183,82.8,23.6
0.077906,400.3,66.3,1284.4,352.9,1893.2,96.0,541.7,1643.9,2018.7,182.7,82.9,20
0.079906,426.8,88.3,1281.9,266.8,1889.2,151.3,540.9,1646.6,2021.8,182.5,82.9,15.4
0.081906,466.0,119.4,1317.9,222.8,1903.6,271.6,540.1,1649.5,2025.1,182.2,83.1,10.8
0.083906,502.9,145.3,1357.7,177.5,1948.6,411.1,539.3,1652.5,2028.5,182,83.3,7.1
0.085906,529.2,167.0,1389.4,137.0,2011.2,514.0,538.4,1655.5,2031.9,181.7,83.6,5.2
0.087906,541.3,187.2,1412.7,114.0,2057.2,557.6,537.5,1658.6,2035.5,181.5,83.9,4.6
0.089906,546.5,211.0,1431.7,99.4,2087.5,577.0,536.6,1661.8,2039.1,181.2,84.2,4.9
0.091906,551.4,242.1,1444.3,87.7,2111.3,593.0,535.7,1665,2042.8,181,84.4,5.7
0.093906,559.1,281.4,1450.9,78.7,2129.1,608.9,534.8,1668.4,2046.6,180.7,84.7,6.4
0.095906,569.5,326.4,1453.6,74.2,2133.2,610.4,533.9,1671.8,2050.5,180.5,84.8,6.9
0.097906,576.3,358.2,1453.5,75.7,2117.9,585.2,532.9,1675.2,2054.5,180.2,84.9,7.4
0.099906,578.6,373.8,1452.2,83.6,2090.2,537.2,531.9,1678.8,2058.5,180,85,8
0.101906,584.0,386.5,1452.2,98.7,2065.6,487.6,530.9,1682.4,2062.6,179.8,85,8.6
0.103906,600.9,413.6,1455.4,122.6,2052.0,452.4,530,1686.1,2066.8,179.5,85,9.3
0.105906,636.1,455.4,1462.7,160.8,2044.9,430.1,529,1689.8,2071,179.3,84.9,10.2
0.107906,682.1,485.8,1474.1,207.9,2041.6,426.4,527.9,1693.6,2075.3,179.1,84.9,11.2
0.109906,731.4,491.0,1492.6,255.0,2043.9,447.5,526.9,1697.5,2079.7,178.9,84.9,12.2
0.111906,771.8,471.0,1515.7,279.0,2056.2,487.3,525.9,1701.4,2084.1,178.7,84.9,13.3
0.113906,798.8,440.9,1535.1,278.1,2075.0,525.3,524.9,1705.3,2088.6,178.5,84.9,14.2
0.115906,817.2,408.1,1551.4,268.7,2094.5,555.7,523.8,1709.4,2093.1,178.3,84.9,14.7
0.117906,828.7,380.0,1565.4,264.7,2105.7,576.1,522.8,1713.4,2097.7,178.1,84.9,15
0.119906,837.5,359.2,1580.3,271.4,2105.0,591.7,521.7,1717.5,2102.3,177.9,84.8,15.2
0.121906,843.9,349.2,1597.4,291.4,2092.1,604.3,520.7,1721.7,2107,177.7,84.8,15.2
0.123906,848.7,344.3,1619.0,321.9,2072.5,615.2,519.7,1725.9,2111.8,177.5,84.7,15.3
0.125906,853.5,336.7,1650.9,357.3,2046.6,631.8,518.6,1730.1,2116.5,177.3,84.7,15.4
0.127906,857.8,327.6,1690.9,381.9,2012.2,662.4,517.6,1734.4,2121.3,177.2,84.8,15.5
0.129906,861.2,322.0,1744.3,382.3,1957.3,729.3,516.5,1738.7,2126.1,177,84.8,15.7
0.131906,862.7,319.7,1792.8,315.2,1905.8,870.8,515.5,1743,2131,176.9,85,15.7
0.133906,861.8,313.3,1809.7,239.8,1896.8,999.3,514.5,1747.4,2135.9,176.7,85.1,15.7
0.135906,858.7,298.3,1814.2,191.5,1915.9,1033.5,513.4,1751.8,2140.8,176.6,85.2,15.6
