time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025750,711.3,36.0,1960.4,891.9,3607.3,625.8,692.2,1273.1,2632.1,185.9,60.2,-186.7
0.027750,537.9,1576.2,699.6,80.8,2297.8,1769.7,692.1,1273.2,2632.2,186.3,63.6,-146.2
0.029750,661.5,298.8,726.1,296.9,2536.2,1674.5,692,1273.4,2632.3,186.8,66.8,-95.7
0.031750,576.5,173.8,824.5,196.0,2709.3,2570.6,691.9,1273.7,2632.5,187.2,69.6,-45.4
0.033750,566.3,126.7,855.3,170.5,3237.9,918.1,691.7,1274,2632.7,187.7,72.1,-5.2
0.035750,559.8,95.5,875.6,157.6,3040.2,887.2,691.5,1274.4,2632.9,188.2,74.3,15.9
0.037750,556.2,69.3,895.6,147.7,2824.7,761.4,691.3,1274.9,2633.2,188.7,76.2,21.6
0.039750,557.3,50.3,921.5,133.1,2684.9,595.0,691,1275.5,2633.6,189.1,77.8,17.9
0.041750,563.3,37.7,955.9,110.2,2592.3,452.4,690.7,1276.1,2633.9,189.6,79.1,10.1
0.043750,573.8,31.5,992.8,89.8,2542.6,334.7,690.4,1276.8,2634.4,190.1,80.1,3.7
0.045750,585.8,28.8,1026.6,76.5,2520.7,254.9,690,1277.5,2634.8,190.5,81,3
0.047750,596.5,27.0,1057.8,66.6,2509.0,197.7,689.6,1278.4,2635.4,191,81.8,4.2
0.049750,603.6,25.3,1082.9,59.1,2503.1,153.1,689.1,1279.3,2635.9,191.4,82.4,6
0.051750,609.1,23.8,1104.2,53.1,2501.5,111.1,688.7,1280.3,2636.5,191.8,83,7.9
0.053750,615.6,23.7,1121.6,48.7,2503.6,78.3,688.2,1281.3,2637.1,192.2,83.5,9.4
0.055750,624.7,25.8,1134.8,46.1,2507.3,58.7,687.6,1282.4,2637.8,192.6,83.9,10.1
0.057750,637.9,30.8,1145.3,45.9,2511.2,47.7,687,1283.6,2638.5,193,84.2,10.1
0.059750,654.1,38.5,1153.9,48.7,2513.3,42.5,686.4,1284.9,2639.3,193.4,84.5,9.7
0.061750,674.3,48.5,1163.5,55.0,2512.8,40.9,685.8,1286.2,2640.1,193.8,84.7,9.3
0.063750,697.4,58.3,1175.5,65.4,2511.0,42.6,685.1,1287.6,2640.9,194.2,84.8,9.2
0.065750,720.0,64.2,1190.6,78.7,2510.2,46.5,684.4,1289.1,2641.8,194.5,84.9,9.7
0.067750,740.1,63.5,1209.0,93.1,2512.2,52.9,683.7,1290.6,2642.7,194.9,85,10.6
0.069750,753.6,56.8,1226.8,105.2,2516.0,62.1,683,1292.2,2643.6,195.3,85.2,11.7
0.071750,762.2,47.4,1246.1,113.6,2520.9,75.1,682.2,1293.9,2644.6,195.7,85.4,12.9
0.073750,767.6,39.0,1269.3,114.7,2528.5,87.9,681.4,1295.6,2645.6,196.1,85.6,14.1
0.075750,771.2,33.4,1293.2,107.8,2540.8,95.2,680.6,1297.4,2646.6,196.5,85.8,15
0.077750,773.6,29.7,1313.1,96.5,2555.5,98.2,679.7,1299.2,2647.7,196.9,86,15.9
0.079750,774.8,27.4,1326.4,86.4,2567.6,102.6,678.8,1301.1,2648.7,197.3,86.2,16.7
0.081750,775.4,25.8,1337.8,76.2,2578.8,114.5,677.9,1303.1,2649.8,197.8,86.4,17.4
0.083750,776.1,25.3,1349.8,65.5,2593.9,136.1,677,1305.2,2651,198.2,86.6,17.8
0.085750,777.2,26.4,1362.0,56.1,2620.9,165.4,676.1,1307.2,2652.1,198.7,86.6,17.7
0.087750,779.2,29.3,1374.2,49.0,2670.9,187.3,675.1,1309.4,2653.3,199.2,86.6,17.2
0.089750,781.7,33.3,1384.7,43.9,2724.8,168.7,674.1,1311.6,2654.5,199.8,86.6,16.3
0.091750,783.9,37.3,1393.5,39.8,2758.5,129.4,673.1,1313.9,2655.7,200.4,86.5,15.3
0.093750,784.7,40.7,1400.7,37.2,2775.4,100.1,672.1,1316.2,2656.9,201,86.3,14.5
0.095750,784.2,43.8,1407.2,36.1,2785.3,83.3,671.1,1318.6,2658.2,201.6,86.1,13.9
0.097750,782.8,47.8,1414.2,36.5,2791.6,75.8,670,1321,2659.4,202.2,85.9,13.5
