time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025203,475.5,334.1,790.0,28.7,2245.2,385.8,633.7,1266.7,2229.1,189.3,64.4,-200
0.027203,466.8,158.4,788.1,39.4,2214.6,371.7,633.7,1266.7,2229.2,189.3,67.6,-169.1
0.029203,464.0,94.5,772.4,44.1,2167.3,420.2,633.7,1266.7,2229.3,189.3,70.6,-123.6
0.031203,462.6,73.6,759.8,42.1,2116.9,526.9,633.6,1266.7,2229.5,189.3,73.1,-73.2
0.033203,464.9,69.4,756.8,42.2,2117.2,669.2,633.6,1266.7,2229.8,189.2,75.2,-27.6
0.035203,473.1,74.7,760.1,47.5,2286.6,744.6,633.5,1266.6,2230.2,189.2,77,3.5
0.037203,488.8,85.3,768.8,59.5,2472.3,406.6,633.5,1266.6,2230.6,189.2,78.6,17
0.039203,511.0,94.7,784.2,82.2,2500.2,196.1,633.4,1266.5,2231,189.2,79.8,19.2
0.041203,537.4,95.1,814.0,124.1,2505.3,114.4,633.3,1266.5,2231.6,189.2,81,15
0.043203,556.4,80.6,861.4,168.6,2506.4,85.7,633.2,1266.4,2232.2,189.3,82,9.2
0.045203,566.6,62.2,915.7,185.4,2504.7,76.2,633.1,1266.4,2232.8,189.3,82.9,6.5
0.047203,575.1,50.3,958.2,176.6,2499.5,73.7,633,1266.3,2233.5,189.3,83.7,6.9
0.049203,585.0,45.8,987.0,166.6,2491.6,72.3,632.9,1266.2,2234.3,189.3,84.3,7.2
0.051203,596.2,46.4,1011.4,166.4,2483.7,70.0,632.8,1266.2,2235.1,189.4,84.8,7.5
0.053203,607.2,50.3,1035.1,175.8,2479.0,71.3,632.7,1266.1,2236,189.4,85.1,7.8
0.055203,619.0,57.3,1058.3,191.6,2477.9,85.0,632.5,1266,2237,189.5,85.3,8.1
0.057203,634.7,67.2,1078.3,210.9,2478.9,118.8,632.4,1265.9,2238,189.5,85.3,8.5
0.059203,657.2,77.4,1097.4,229.6,2482.7,167.7,632.2,1265.8,2239.1,189.6,85.3,8.8
0.061203,685.3,81.7,1119.5,241.7,2493.7,212.7,632.1,1265.7,2240.2,189.7,85.3,9.1
0.063203,709.9,77.4,1143.9,241.0,2507.3,237.2,631.9,1265.6,2241.4,189.7,85.3,9.7
0.065203,727.7,68.9,1168.6,231.0,2515.0,254.4,631.7,1265.5,2242.6,189.8,85.4,10.6
0.067203,738.5,61.0,1190.3,218.9,2516.0,280.0,631.5,1265.5,2243.9,189.9,85.5,12
0.069203,744.8,55.4,1209.0,209.4,2515.7,323.5,631.3,1265.4,2245.2,190.1,85.7,13.8
0.071203,748.6,51.7,1225.4,204.8,2526.3,401.6,631.1,1265.3,2246.6,190.2,85.9,15.8
0.073203,750.6,49.7,1237.9,206.4,2568.2,535.2,630.9,1265.2,2248.1,190.4,86,17.6
0.075203,751.7,48.6,1247.5,213.5,2437.1,1194.7,630.7,1265.1,2249.6,190.5,86.1,19.1
0.077203,752.1,48.1,1254.6,223.3,2241.7,1096.6,630.5,1265,2251.1,190.7,86.2,20.1
0.079203,752.0,47.8,1259.3,230.5,2125.7,1009.4,630.3,1264.9,2252.7,190.9,86.2,20.9
0.081203,752.6,48.2,1266.4,232.5,2050.3,980.7,630,1264.8,2254.4,191.1,86.2,21.6
0.083203,754.8,50.2,1282.3,231.9,2012.1,1078.2,629.8,1264.8,2256.1,191.4,86.1,21.9
0.085203,758.7,53.9,1306.5,227.4,1989.1,1320.3,629.5,1264.7,2257.8,191.7,86,22.1
0.087203,763.3,57.8,1329.9,216.4,1961.3,1625.4,629.3,1264.6,2259.6,192,85.9,21.8
0.089203,766.7,61.0,1342.9,205.5,1936.8,1768.9,629,1264.6,2261.5,192.3,85.8,21.3
0.091203,767.6,63.1,1341.8,199.6,1942.2,1608.5,628.8,1264.5,2263.3,192.7,85.7,20.5
0.093203,766.6,63.6,1331.9,190.8,1971.1,1361.3,628.5,1264.5,2265.3,193,85.5,19.7
0.095203,765.4,62.5,1323.8,174.2,2008.1,1205.6,628.3,1264.5,2267.2,193.5,85.4,19
0.097203,765.1,60.6,1323.2,156.2,2038.9,1167.7,628,1264.5,2269.2,193.9,85.3,18.4
0.099203,766.2,59.6,1329.9,141.5,2055.0,1242.1,627.7,1264.4,2271.3,194.4,85.2,17.9
0.101203,768.9,60.4,1341.7,128.6,2056.7,1430.8,627.4,1264.4,2273.3,194.9,85.2,17.3
0.103203,771.7,62.1,1352.7,117.5,2035.0,1620.0,627.1,1264.5,2275.5,195.4,85.1,16.8
0.105203,773.4,63.7,1359.9,108.1,1990.2,1659.9,626.8,1264.5,2277.6,196,85.1,16.2
0.107203,773.5,64.5,1363.4,99.2,1945.5,1557.3,626.6,1264.5,2279.8,196.5,85.1,15.8
0.109203,772.2,63.9,1365.2,88.7,1917.4,1428.6,626.3,1264.6,2282,197.1,85.1,15.3
0.111203,770.5,62.0,1368.1,75.3,1920.7,1366.9,626,1264.7,2284.3,197.8,85,14.9
0.113203,769.7,60.3,1373.1,62.3,1958.1,1412.1,625.7,1264.8,2286.6,198.4,85,14.4
0.115203,770.2,60.4,1380.2,51.9,2017.0,1567.1,625.4,1264.9,2288.9,199.1,84.9,13.7
0.117203,771.7,63.1,1389.1,44.6,2090.5,1831.3,625.1,1265,2291.2,199.8,84.8,12.7
0.119203,773.2,67.7,1399.4,40.3,2177.2,2140.9,624.8,1265.1,2293.6,200.5,84.8,11.3
0.121203,772.9,73.8,1411.2,38.6,2235.9,2303.2,624.5,1265.3,2296,201.2,84.7,9.9
0.123203,769.3,79.9,1422.4,39.3,2204.1,2123.3,624.2,1265.5,2298.4,201.9,84.7,8.9
0.125203,761.6,84.5,1431.4,40.6,2130.1,1780.3,623.9,1265.7,2300.8,202.7,84.8,8.4
0.127203,750.6,87.3,1437.4,40.4,2082.3,1525.2,623.6,1266,2303.3,203.5,84.8,8.8
0.129203,737.9,89.0,1441.1,37.7,2065.0,1405.3,623.3,1266.2,2305.7,204.2,84.9,9.9
0.131203,724.4,90.4,1443.6,33.4,2060.5,1370.8,623,1266.5,2308.2,205,85,11.2
0.133203,711.8,91.6,1445.3,29.6,2066.0,1357.9,622.6,1266.8,2310.7,205.8,85,12.4
0.135203,699.4,91.4,1447.0,26.6,2094.6,1324.1,622.3,1267.2,2313.3,206.6,85,12.9
0.137203,686.4,87.4,1450.2,24.1,2150.6,1241.2,622,1267.5,2315.8,207.4,84.9,12.4
0.139203,673.1,78.7,1456.0,21.8,2214.1,1077.0,621.7,1267.9,2318.4,208.2,84.7,11.3
0.141203,661.7,68.5,1464.4,19.9,2256.4,884.0,621.4,1268.4,2320.9,209,84.5,10
0.143203,655.2,62.7,1473.0,19.3,2271.4,777.0,621.2,1268.8,2323.5,209.8,84.3,8.9
0.145203,653.1,62.3,1479.8,20.0,2272.9,750.9,620.9,1269.3,2326.1,210.6,84,8.5
0.147203,652.8,64.8,1485.0,21.1,2283.3,770.4,620.6,1269.8,2328.7,211.5,83.7,9
0.149203,652.2,67.3,1489.5,21.3,2332.2,802.3,620.3,1270.4,2331.3,212.3,83.3,10.2
0.151203,650.2,67.8,1494.2,20.5,2423.4,800.5,620,1271,2333.9,213.1,83,11.6
0.153203,647.7,66.6,1498.3,19.9,2502.0,762.5,619.7,1271.6,2336.5,214,82.5,12.8
0.155203,645.5,66.0,1502.4,20.7,2542.5,790.6,619.4,1272.3,2339.1,214.9,81.9,13.2
0.157203,643.7,68.8,1506.0,23.9,2510.3,946.9,619.2,1273,2341.7,215.8,81.2,12.7
0.159203,641.6,76.7,1508.0,30.9,2371.8,997.0,618.9,1273.7,2344.3,216.7,80.4,11.5
0.161203,636.9,89.0,1506.5,44.1,2254.8,853.3,618.6,1274.5,2346.9,217.6,79.5,10
0.163203,628.1,103.9,1502.2,63.3,2217.8,682.0,618.4,1275.3,2349.5,218.5,78.6,8.6
0.165203,613.4,124.2,1500.5,93.8,2228.1,576.0,618.1,1276.2,2352.1,219.4,77.6,7.7
0.167203,593.9,150.4,1510.5,148.1,2258.9,560.3,617.8,1277.1,2354.6,220.3,76.8,7.2
0.169203,576.1,175.5,1538.6,230.1,2306.2,634.9,617.6,1278.1,2357.2,221.3,76.1,7
0.171203,565.6,194.7,1569.8,316.7,2362.4,758.8,617.3,1279,2359.8,222.2,75.7,7
0.173203,560.7,210.3,1574.3,377.3,2374.9,808.3,617.1,1280.1,2362.3,223.2,75.5,7.1
0.175203,553.3,228.9,1562.9,401.6,2374.2,766.7,616.9,1281.2,2364.9,224.1,75.5,7.4
0.177203,537.8,255.2,1559.9,393.1,2407.4,708.0,616.6,1282.3,2367.4,225.1,75.4,8
