time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025047,602.8,234.7,1711.9,235.4,2778.6,284.3,536.3,1137.5,2531.5,0,57.9,-200
0.027047,583.1,168.7,1714.2,231.4,2810.1,246.4,536.2,1137.8,2531.6,0,61.3,-187.1
0.029047,562.3,99.4,1693.6,327.2,2846.4,270.6,536.1,1138.5,2531.8,0,64.8,-148
0.031047,564.3,93.5,1581.3,853.6,2904.7,357.8,535.9,1139.3,2532,0,67.9,-99.2
0.033047,583.9,123.5,997.6,1202.1,2768.4,608.4,535.6,1140.5,2532.3,0,70.7,-50.4
0.035047,588.4,173.6,778.0,626.3,2690.9,335.2,535.3,1141.8,2532.6,0,73.2,-11.4
0.037047,566.7,209.1,769.5,381.9,2684.5,282.1,535,1143.4,2533,0,75.2,9.4
0.039047,561.3,204.1,789.3,341.6,2677.2,297.3,534.6,1145.3,2533.4,192,77,15.3
0.041047,573.0,196.8,810.6,377.7,2657.7,331.5,534.1,1147.4,2534,191.8,78.5,12.2
0.043047,587.6,188.4,834.5,425.7,2627.9,349.1,533.6,1149.7,2534.5,191.7,79.8,5.4
0.045047,597.5,180.2,859.0,435.6,2603.8,334.7,533.1,1152.3,2535.2,191.5,80.8,0.1
0.047047,599.9,172.4,878.5,396.0,2597.1,300.6,532.4,1155.1,2535.9,191.3,81.7,0.6
0.049047,596.0,160.0,893.7,328.9,2603.9,260.7,531.8,1158.2,2536.6,191.1,82.4,3.4
0.051047,589.8,142.4,905.9,267.8,2616.0,229.5,531.1,1161.5,2537.4,190.9,82.9,7.1
0.053047,585.8,125.4,920.1,232.1,2631.7,217.3,530.3,1165,2538.3,190.6,83.2,10.8
0.055047,585.9,114.0,943.7,228.7,2658.3,235.7,529.5,1168.8,2539.2,190.4,83.4,13.8
0.057047,588.3,105.7,980.0,245.6,2696.8,281.3,528.7,1172.8,2540.2,190.2,83.4,15.5
0.059047,589.6,96.5,1029.0,260.6,2736.8,334.8,527.8,1177,2541.2,190,83.5,16.2
0.061047,588.0,87.3,1074.1,256.1,2740.7,373.3,526.8,1181.4,2542.3,189.8,83.5,16.3
0.063047,584.2,78.4,1104.5,235.2,2690.8,378.4,525.8,1186.1,2543.4,189.5,83.5,16.2
0.065047,580.1,70.1,1122.4,209.3,2624.3,328.1,524.8,1191,2544.6,189.3,83.6,16.2
0.067047,577.3,64.4,1134.2,191.0,2588.4,267.5,523.7,1196.1,2545.8,189.1,83.8,16.6
0.069047,575.8,61.7,1144.8,182.4,2580.0,227.6,522.6,1201.4,2547.1,188.9,84,17.2
