time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025687,541.4,99.3,851.5,144.9,2078.7,860.6,463.7,1267.8,2256.2,122.8,75.4,-34
0.027687,552.9,101.3,861.8,134.2,2088.3,682.9,463.7,1267.9,2256.2,124.5,77,7.5
0.029687,565.8,103.9,873.6,127.5,2088.9,643.9,463.8,1268.2,2256.2,126.4,78.2,20.6
0.031687,582.1,107.2,892.0,127.4,2137.5,694.5,464,1268.5,2256.2,128.4,79.2,22.1
0.033687,602.4,108.3,919.8,131.1,2264.8,767.3,464.2,1268.9,2256.2,130.7,80,16.9
0.035687,621.7,103.0,953.0,130.4,2428.4,573.1,464.4,1269.5,2256.1,133.2,80.6,10.1
0.037687,633.9,92.7,981.7,123.7,2456.4,423.9,464.7,1270.1,2256.1,135.9,81,6.5
0.039687,641.4,80.8,1006.4,117.2,2471.0,347.9,465.1,1270.8,2256.1,138.8,81.4,6.2
0.041687,647.4,70.6,1028.3,117.9,2473.2,314.3,465.5,1271.6,2256.1,141.9,81.6,5.7
0.043687,652.7,61.5,1051.8,125.7,2466.8,294.1,465.9,1272.5,2256.1,145.1,81.7,5.3
0.045687,655.4,52.8,1078.3,131.1,2463.3,267.9,466.4,1273.5,2256,148.5,81.8,5.1
0.047687,654.4,45.5,1100.9,126.0,2463.4,250.7,466.9,1274.6,2256,152,81.9,5.4
0.049687,652.2,39.6,1117.1,114.2,2460.0,259.3,467.4,1275.7,2256,155.6,82,6.4
0.051687,651.9,36.3,1128.6,106.8,2444.5,314.5,468,1277,2255.9,159.2,82.1,7.8
0.053687,653.8,35.7,1143.3,110.6,2393.5,419.5,468.7,1278.4,2255.9,162.9,82.2,9.5
0.055687,656.2,36.5,1166.0,125.4,2319.5,488.2,469.4,1279.8,2255.9,166.6,82.3,11.3
0.057687,657.9,36.6,1196.0,144.1,2285.3,508.2,470.1,1281.3,2255.8,170.3,82.4,12.9
0.059687,658.9,35.0,1236.3,159.7,2305.3,510.7,470.9,1283,2255.8,173.9,82.5,14.5
0.061687,658.8,32.1,1280.7,162.3,2378.3,478.9,471.7,1284.7,2255.7,177.5,82.6,16.2
0.063687,658.1,29.2,1319.4,149.4,2443.9,339.1,472.6,1286.5,2255.7,180.9,82.7,17.8
0.065687,657.0,27.2,1343.0,125.6,2459.0,260.2,473.5,1288.3,2255.6,184.2,82.9,19.1
0.067687,655.6,26.2,1350.4,100.7,2470.2,266.1,474.4,1290.3,2255.6,187.4,83.1,19.9
0.069687,653.6,26.0,1350.3,78.5,2481.0,339.8,475.4,1292.3,2255.5,190.4,83.3,20.1
0.071687,651.4,26.6,1349.4,62.3,2463.1,500.7,476.4,1294.5,2255.5,193.2,83.4,19.7
0.073687,649.2,27.7,1350.4,51.2,2364.6,593.0,477.5,1296.7,2255.4,195.8,83.6,19
