time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025656,556.6,87.0,901.5,201.2,2537.4,455.8,486.5,1279.6,2542.7,194.6,78.4,2.1
0.027656,568.6,74.8,932.6,209.5,2555.1,420.4,486.5,1279.8,2542.8,194.7,79.1,2
0.029656,584.2,67.3,961.8,191.0,2580.1,367.1,486.5,1280.3,2542.9,194.7,79.6,2
0.031656,597.5,62.4,981.8,161.4,2597.5,304.0,486.5,1280.9,2543,194.7,80.2,2.2
0.033656,603.8,60.3,995.7,138.8,2605.5,256.3,486.5,1281.7,2543.2,194.8,80.7,2.9
0.035656,604.8,61.3,1009.9,130.7,2608.5,231.7,486.5,1282.6,2543.5,194.8,81.1,4.2
0.037656,604.3,64.3,1030.0,137.1,2605.9,223.1,486.5,1283.7,2543.7,194.9,81.5,6.4
0.039656,604.0,65.2,1054.6,151.4,2594.0,218.6,486.5,1285,2544,194.9,81.9,9
0.041656,603.2,61.5,1081.8,162.9,2572.2,206.1,486.5,1286.5,2544.4,194.9,82.3,11.7
0.043656,602.1,54.4,1107.5,161.5,2548.4,186.0,486.5,1288.2,2544.8,194.9,82.6,14
0.045656,601.5,47.8,1130.5,149.1,2529.7,168.2,486.5,1290,2545.2,195,82.9,15.7
0.047656,601.9,43.7,1152.4,134.3,2513.3,158.3,486.6,1291.9,2545.7,195,83.2,16.9
0.049656,602.5,42.9,1169.8,125.9,2497.5,160.7,486.6,1294.1,2546.2,195,83.3,17.8
0.051656,602.9,44.2,1182.9,125.0,2480.5,182.2,486.6,1296.4,2546.7,195,83.5,18.5
0.053656,602.7,46.7,1194.0,129.6,2464.5,221.2,486.6,1298.9,2547.3,195,83.6,18.9
0.055656,602.7,50.6,1207.9,138.7,2457.6,257.8,486.6,1301.5,2547.9,195,83.6,19.1
0.057656,603.0,55.3,1226.7,150.5,2461.8,287.6,486.7,1304.3,2548.6,194.9,83.6,19.1
0.059656,604.0,58.9,1249.6,159.9,2471.2,309.2,486.7,1307.2,2549.3,194.9,83.6,18.7
0.061656,605.9,61.3,1280.9,161.3,2484.2,325.8,486.7,1310.3,2550,194.9,83.5,18.2
0.063656,607.4,63.0,1317.8,149.0,2501.8,332.3,486.8,1313.5,2550.8,194.8,83.4,17.6
0.065656,607.2,64.9,1350.0,127.7,2515.8,332.4,486.8,1316.9,2551.6,194.8,83.2,16.9
0.067656,605.0,67.8,1374.6,103.7,2517.7,336.5,486.9,1320.5,2552.4,194.7,83,16.2
0.069656,601.7,72.2,1390.8,83.8,2511.9,346.7,486.9,1324.2,2553.2,194.6,82.7,15.3
0.071656,597.2,78.6,1402.8,69.3,2507.9,372.8,487,1328,2554.1,194.5,82.4,14.3
0.073656,591.9,88.9,1412.8,61.4,2514.1,408.0,487,1332,2555,194.4,81.9,13.1
0.075656,586.3,105.5,1423.1,60.0,2529.5,427.2,487.1,1336.1,2556,194.3,81.4,11.9
0.077656,581.1,132.4,1438.3,64.1,2545.8,423.5,487.2,1340.3,2556.9,194.2,80.8,10.4
0.079656,577.6,168.8,1460.7,70.6,2556.9,411.2,487.3,1344.7,2557.9,194.1,80.1,8.7
0.081656,574.9,214.0,1490.0,73.2,2566.4,402.1,487.4,1349.1,2559,193.9,79.2,7
0.083656,569.8,265.3,1515.0,69.2,2576.4,395.0,487.5,1353.7,2560,193.8,78.1,5.6
0.085656,560.8,329.5,1528.0,64.2,2574.8,381.3,487.6,1358.5,2561.1,193.6,76.9,4.4
0.087656,542.2,407.7,1531.0,63.4,2538.3,393.5,487.7,1363.3,2562.1,193.5,75.7,3.2
0.089656,510.5,453.1,1529.7,71.2,2451.8,468.2,487.8,1368.3,2563.2,193.3,74.5,2.1
0.091656,479.2,443.2,1531.7,95.2,2291.7,547.6,488,1373.3,2564.4,193.1,73.4,1.4
0.093656,462.0,402.2,1542.5,140.7,2148.0,525.5,488.1,1378.5,2565.5,192.9,72.7,1.4
0.095656,453.7,355.6,1565.2,191.3,2110.4,513.4,488.3,1383.8,2566.7,192.7,72.3,2.3
0.097656,447.3,303.9,1596.1,213.2,2184.3,552.6,488.5,1389.1,2567.8,192.5,72.3,4.6
0.099656,438.8,250.8,1610.4,206.3,2329.3,530.5,488.7,1394.6,2569,192.3,72.4,7.5
0.101656,427.6,200.4,1605.5,204.4,2456.4,419.5,488.9,1400.1,2570.2,192,72.5,10.5
0.103656,417.0,164.0,1594.1,218.4,2521.1,319.0,489.1,1405.7,2571.4,191.8,72.6,12.9
0.105656,409.1,143.4,1591.8,248.5,2539.2,270.5,489.3,1411.4,2572.6,191.5,72.6,15
0.107656,403.3,131.4,1603.6,294.1,2528.5,262.0,489.6,1417.2,2573.9,191.3,72.4,20.9
0.109656,398.3,123.6,1612.3,333.5,2496.2,276.9,489.8,1423.1,2575.1,191,72,27.1
0.111656,392.6,122.4,1587.6,332.1,2445.5,283.9,490.1,1429,2576.3,190.7,71.5,28.9
0.113656,386.3,135.1,1533.2,273.9,2401.3,261.7,490.4,1435,2577.5,190.5,70.9,21.3
0.115656,379.3,162.4,1486.2,204.0,2384.0,231.1,490.7,1441,2578.8,190.2,70.2,-1.1
0.117656,369.0,199.1,1453.3,146.1,2385.0,200.4,491,1447.1,2580,189.9,69.5,-42.3
0.119656,355.5,221.1,1433.1,106.4,2391.9,173.9,491.4,1453.2,2581.3,189.7,69,-93.8
0.121656,342.5,205.9,1419.9,79.3,2398.7,153.9,491.7,1459.4,2582.5,189.4,68.6,-145.2
0.123656,335.2,164.3,1411.8,65.6,2404.5,150.4,492.1,1465.6,2583.7,189.1,68.4,-186.4
0.125656,332.9,128.8,1407.2,64.6,2413.3,173.1,492.5,1471.9,2584.9,188.9,68.3,-208.6
0.127656,334.3,107.5,1404.5,76.8,2432.6,231.4,492.9,1478.2,2586.2,188.7,68.2,-215.6
0.129656,338.7,98.2,1402.3,105.6,2460.1,308.8,493.4,1484.5,2587.4,188.5,68,-213.3
0.131656,345.4,95.4,1397.7,165.6,2484.4,391.7,493.9,1490.8,2588.6,188.3,67.8,-206.7
0.133656,352.5,97.9,1389.1,280.2,2495.1,492.9,494.3,1497.2,2589.8,188.2,67.4,-201
0.135656,359.3,106.3,1381.2,465.3,2493.4,639.7,494.9,1503.5,2590.9,188.1,66.9,-200
0.137656,365.4,119.4,1385.7,702.5,2485.5,851.8,495.4,1509.9,2592.1,188.1,66.3,-200
0.139656,367.3,129.6,1404.0,825.9,2519.6,1049.6,496,1516.2,2593.3,188.1,65.5,-200
0.141656,363.2,134.0,1408.7,748.8,2653.6,1098.5,496.5,1522.6,2594.4,188.1,64.6,-200
0.143656,355.6,133.7,1393.1,598.7,2782.1,877.1,497.1,1528.9,2595.5,188.2,63.6,-200
0.145656,347.1,131.9,1370.6,471.5,2792.6,647.3,497.8,1535.3,2596.6,188.3,62.5,-200
0.147656,338.2,130.3,1344.4,364.9,2793.8,511.7,498.4,1541.6,2597.7,188.6,61.4,-200
0.149656,328.5,133.1,1323.9,284.8,2812.0,422.4,499.1,1547.9,2598.7,188.8,60.2,-200
0.151656,313.2,146.2,1315.9,228.9,2839.7,365.3,499.8,1554.2,2599.7,189.1,59.1,-200
0.153656,290.2,170.1,1319.9,197.7,2860.2,353.9,500.6,1560.4,2600.7,189.5,58,-200
0.155656,267.9,197.3,1324.3,188.1,2866.2,399.3,501.3,1566.6,2601.7,0,57.1,-200
0.157656,254.1,234.5,1322.9,206.8,2868.9,501.4,502.1,1572.8,2602.7,0,56.3,-200
0.159656,250.6,285.7,1325.0,261.0,2889.6,590.7,502.9,1578.9,2603.6,0,55.5,-200
0.161656,259.5,337.9,1352.1,350.1,2922.0,619.9,503.8,1585,2604.5,0,54.6,-200
0.163656,287.3,340.5,1414.5,406.4,2931.6,614.3,504.7,1591,2605.3,0,53.5,-200
0.165656,320.8,298.8,1467.3,372.2,2909.8,592.0,505.6,1596.9,2606.2,0,52.2,-200
0.167656,354.0,269.9,1492.3,320.8,2886.4,561.0,506.5,1602.8,2607,0,50.7,-200
0.169656,385.6,266.6,1503.8,303.8,2890.3,552.2,507.5,1608.6,2607.7,0,49,-200
0.171656,416.2,275.5,1517.3,319.9,2923.9,582.8,508.5,1614.4,2608.5,0,47.1,-200
0.173656,439.8,293.9,1543.7,367.6,2983.0,682.1,509.5,1620.1,2609.2,0,45,-200
0.175656,454.2,333.7,1593.8,446.9,3065.1,933.1,510.6,1625.6,2609.8,0,42.8,-200
0.177656,464.2,415.4,1676.8,557.4,3058.5,1825.1,511.7,1631.2,2610.4,0,40.7,-200
0.179656,478.9,494.0,1762.5,668.1,2720.5,2012.2,512.8,1636.6,2611,0,39.3,-200
0.181656,505.6,406.5,1747.4,701.8,2777.4,957.2,513.9,1641.9,2611.6,0,39.8,-200
0.183656,543.5,288.3,1778.8,751.6,2833.2,280.9,515.1,1647.1,2612.1,0,43,-200
0.185656,565.3,237.1,1960.2,1315.7,2820.8,192.6,516.4,1652.2,2612.5,0,47.4,-200.9
0.187656,544.5,175.8,1869.2,1392.7,2759.1,145.5,517.6,1657.3,2612.9,0,51.2,-206.5
