time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025750,564.8,189.6,1488.5,746.2,3014.1,232.2,560.7,1118.8,2575.8,0,62.1,-200
0.027750,579.5,158.8,1333.7,1081.2,3007.8,274.9,560.6,1119.2,2575.6,0,64.9,-169.4
0.029750,543.7,192.8,828.4,504.9,2867.9,2734.3,560.5,1119.8,2575.4,0,67.4,-124.3
0.031750,492.9,147.0,810.1,194.4,2799.3,882.6,560.4,1120.7,2575,0,69.4,-74.4
0.033750,482.3,110.9,813.9,116.2,2618.4,755.6,560.3,1121.9,2574.6,0,71.1,-29.3
0.035750,484.8,101.0,823.7,91.2,2581.2,708.0,560.1,1123.3,2574,0,72.5,1.5
0.037750,493.7,104.3,836.6,83.1,2581.8,686.9,559.9,1125,2573.4,0,73.7,14.9
0.039750,511.1,115.5,854.7,86.3,2600.5,634.7,559.7,1126.9,2572.6,0,74.8,17.1
0.041750,535.8,121.6,879.1,97.1,2604.9,516.2,559.5,1129.1,2571.8,0,75.8,13
0.043750,559.0,113.6,909.3,108.2,2593.7,370.7,559.2,1131.5,2570.8,0,76.6,7.1
0.045750,570.3,101.8,935.9,115.0,2585.9,263.9,558.9,1134.2,2569.8,0,77.3,4.1
0.047750,572.9,92.7,957.3,121.2,2583.1,192.1,558.6,1137.2,2568.7,0,77.8,3.8
0.049750,570.2,85.2,977.2,130.3,2582.3,140.6,558.2,1140.4,2567.4,0,78.1,3.2
0.051750,564.9,79.2,998.9,141.6,2581.3,103.6,557.8,1143.8,2566.1,0,78.2,2.4
0.053750,560.3,76.0,1024.5,146.2,2577.8,75.0,557.4,1147.5,2564.7,0,78.2,1.7
0.055750,563.4,78.3,1041.0,139.7,2571.8,57.1,557,1151.4,2563.2,0,78.2,1.5
0.057750,576.5,81.6,1047.3,136.1,2564.7,46.2,556.5,1155.5,2561.6,0,78.2,1.6
0.059750,594.7,82.1,1052.0,143.5,2557.2,38.7,556,1159.9,2559.9,0,78.1,1.8
0.061750,611.4,83.9,1061.0,162.3,2550.8,33.2,555.5,1164.6,2558.2,0,78.1,2.3
0.063750,626.9,90.6,1080.0,191.5,2545.8,28.4,555,1169.4,2556.3,214,78.1,3.1
0.065750,639.4,98.7,1107.1,220.5,2543.6,25.1,554.4,1174.5,2554.4,214.2,78,4.3
0.067750,645.5,102.6,1135.2,244.3,2543.9,23.9,553.8,1179.8,2552.4,214.3,78,6.3
0.069750,643.1,99.3,1158.9,266.3,2546.2,25.4,553.2,1185.4,2550.3,214.5,77.9,8.9
0.071750,638.0,92.4,1180.3,288.5,2548.6,28.8,552.6,1191.1,2548.1,214.7,77.9,11.8
0.073750,634.9,86.1,1204.1,310.1,2550.5,33.8,551.9,1197.1,2545.9,214.8,77.9,14.4
0.075750,634.5,81.4,1225.7,321.6,2552.1,41.1,551.2,1203.3,2543.5,215,77.9,16.3
0.077750,635.5,76.9,1247.6,320.4,2555.1,53.0,550.5,1209.7,2541.2,215.2,77.9,17.3
0.079750,636.9,72.0,1278.1,305.0,2561.6,73.2,549.8,1216.2,2538.7,215.4,77.9,18
0.081750,637.3,67.1,1313.0,271.5,2571.0,103.4,549.1,1223,2536.2,215.6,78,18.2
0.083750,635.9,62.6,1340.0,219.7,2578.1,152.6,548.3,1230,2533.6,215.8,78,18.2
0.085750,633.3,59.2,1349.3,168.2,2569.0,225.4,547.6,1237.2,2531,215.9,78.1,17.9
0.087750,630.3,56.8,1348.6,124.4,2527.6,308.1,546.8,1244.6,2528.3,216.1,78.2,17.4
0.089750,627.6,56.7,1347.6,90.7,2462.4,334.8,546,1252.1,2525.5,216.3,78.3,16.6
0.091750,625.6,59.7,1349.8,70.4,2417.7,307.6,545.1,1259.9,2522.7,216.5,78.3,15.6
0.093750,623.5,65.4,1354.6,58.4,2390.2,278.5,544.3,1267.8,2519.8,216.7,78.3,14.5
0.095750,621.4,72.8,1361.8,53.4,2373.3,265.5,543.5,1275.8,2516.9,216.8,78.3,13.6
0.097750,619.0,83.5,1372.9,54.3,2363.8,269.7,542.6,1284.1,2514,217,78.1,12.7
0.099750,616.8,100.3,1392.4,61.0,2362.0,288.9,541.7,1292.5,2511,217.1,78,11.8
0.101750,614.1,120.4,1421.0,69.8,2365.9,313.8,540.8,1301,2507.9,217.3,77.7,11
0.103750,608.4,139.4,1457.7,75.0,2370.6,341.1,539.9,1309.7,2504.8,217.4,77.4,10.3
0.105750,596.7,151.3,1491.6,74.4,2369.3,366.4,539,1318.6,2501.7,217.5,77.1,9.6
0.107750,577.9,158.6,1516.3,71.8,2353.5,390.4,538.1,1327.5,2498.6,217.6,76.6,9.1
0.109750,553.6,165.4,1528.8,70.0,2317.4,415.0,537.2,1336.6,2495.4,217.7,76.1,8.7
0.111750,529.3,173.8,1531.9,68.4,2270.5,433.5,536.3,1345.9,2492.2,217.8,75.6,8.3
0.113750,506.4,189.2,1533.5,66.9,2221.4,431.8,535.3,1355.2,2489,217.8,75,8.1
0.115750,488.5,219.9,1539.4,68.3,2176.0,404.4,534.4,1364.7,2485.8,217.9,74.3,7.9
0.117750,475.7,282.6,1551.6,75.3,2143.2,384.2,533.4,1374.3,2482.5,217.9,73.8,7.8
0.119750,466.8,397.7,1567.9,85.0,2143.9,406.2,532.5,1384,2479.3,217.9,73.3,7.7
0.121750,460.1,530.1,1578.0,89.4,2175.3,459.8,531.5,1393.8,2476,217.9,72.9,7.7
0.123750,456.8,583.4,1576.1,85.3,2217.3,507.9,530.6,1403.7,2472.7,217.9,72.6,8
0.125750,457.7,511.8,1566.4,75.3,2249.3,517.4,529.6,1413.6,2469.4,217.9,72.5,8.6
0.127750,455.4,412.3,1555.5,64.0,2275.4,477.5,528.7,1423.7,2466.2,217.8,72.4,9.8
0.129750,449.7,338.1,1546.9,54.0,2303.2,383.6,527.7,1433.8,2462.9,217.8,72.4,11.7
0.131750,444.1,300.5,1542.1,47.1,2329.1,274.9,526.8,1444,2459.6,217.7,72.3,13.7
0.133750,438.8,287.8,1539.6,43.8,2354.4,186.7,525.8,1454.2,2456.3,217.7,72.3,15.3
0.135750,433.5,287.5,1537.9,44.0,2377.1,133.5,524.9,1464.5,2453.1,217.6,72.1,15.9
0.137750,428.4,293.5,1536.4,46.5,2395.8,96.8,524,1474.9,2449.8,217.6,71.8,18.5
0.139750,423.7,315.1,1536.5,50.9,2409.3,67.4,523,1485.3,2446.6,217.5,71.4,23.6
0.141750,414.3,359.4,1539.6,58.1,2418.1,49.1,522.1,1495.7,2443.4,217.5,71,26.5
0.143750,386.2,435.5,1545.5,69.6,2425.0,40.7,521.2,1506.2,2440.2,217.5,70.5,22.9
0.145750,333.9,512.2,1550.0,82.4,2429.7,40.0,520.3,1516.6,2437.1,217.6,70.1,8.3
0.147750,287.8,507.3,1549.5,93.5,2431.0,44.3,519.4,1527.1,2434,217.7,69.8,-23.8
0.149750,279.4,401.2,1543.7,104.4,2427.3,52.6,518.6,1537.7,2430.9,217.8,69.6,-70.5
0.151750,282.9,287.2,1536.2,116.8,2419.1,64.1,517.7,1548.2,2427.8,218.1,69.5,-122
0.153750,283.5,200.3,1530.3,130.3,2408.1,80.5,516.9,1558.7,2424.8,218.4,69.4,-168.5
0.155750,282.7,146.9,1529.1,138.3,2396.2,102.6,516,1569.2,2421.8,218.8,69.2,-200
0.157750,283.3,114.0,1532.2,140.6,2383.3,130.5,515.2,1579.7,2418.9,219.3,68.9,-213.3
0.159750,285.5,95.7,1537.6,147.5,2372.1,162.7,514.4,1590.2,2416,219.9,68.5,-215
0.161750,287.6,90.7,1544.1,174.2,2367.6,201.6,513.6,1600.6,2413.2,220.7,68,-210
0.163750,288.1,97.3,1553.2,240.4,2366.0,260.7,512.9,1611,2410.4,221.5,67.4,-203.3
0.165750,286.8,112.6,1564.1,346.9,2359.9,314.4,512.1,1621.4,2407.7,222.6,66.6,-200
0.167750,284.0,129.3,1570.7,456.7,2354.3,311.7,511.4,1631.7,2405,223.7,65.8,-200
0.169750,280.2,138.6,1573.2,505.6,2359.0,265.6,510.7,1641.9,2402.4,225.1,64.9,-200
0.171750,277.1,138.0,1578.4,489.9,2364.9,234.4,510.1,1652.2,2399.9,226.5,63.7,-200
0.173750,275.9,134.7,1589.9,460.2,2362.5,240.6,509.4,1662.3,2397.4,228.2,62.4,-200
