time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025156,988.0,144.9,1486.1,130.1,1736.5,1622.0,865.6,1337.6,1887.4,164.1,81.2,2
0.027156,979.6,133.1,1472.3,101.0,1935.5,1344.2,865.5,1337.8,1887.5,164.4,82,1.6
0.029156,957.4,123.5,1462.6,78.7,1999.0,1120.9,865.4,1338.2,1887.8,164.7,82.7,1.4
0.031156,932.5,106.9,1457.2,62.0,2015.3,928.6,865.2,1338.7,1888.2,165,83.1,1.8
0.033156,917.6,90.8,1456.4,53.7,2013.8,814.0,864.9,1339.3,1888.7,165.3,83.5,2.4
0.035156,914.2,82.5,1457.4,54.5,2010.9,812.7,864.6,1340,1889.2,165.7,83.7,3.2
0.037156,916.6,80.1,1457.8,63.4,2002.7,889.0,864.3,1340.9,1889.9,166.1,83.8,4
0.039156,920.3,81.9,1455.6,78.2,1979.6,940.9,863.8,1342,1890.7,166.5,83.9,4.7
0.041156,923.6,86.4,1449.5,96.4,1950.8,869.2,863.4,1343.1,1891.6,166.9,83.8,5.6
0.043156,927.0,93.3,1438.1,117.6,1921.2,723.7,862.8,1344.4,1892.6,167.3,83.7,6.6
0.045156,930.9,103.0,1421.4,141.7,1895.9,607.6,862.3,1345.9,1893.7,167.8,83.6,7.5
0.047156,936.0,115.9,1398.5,167.2,1886.1,525.9,861.6,1347.4,1894.9,168.2,83.5,8.3
0.049156,942.5,128.6,1376.4,188.0,1896.0,474.5,860.9,1349.1,1896.2,168.7,83.4,8.8
0.051156,949.4,138.0,1362.4,204.4,1916.2,445.6,860.2,1351,1897.6,169.2,83.3,8.9
0.053156,956.1,139.9,1361.2,208.6,1944.2,428.1,859.4,1352.9,1899.1,169.7,83.2,8.9
0.055156,961.2,133.0,1371.1,190.4,1976.1,407.3,858.5,1355,1900.7,170.2,83.1,8.9
0.057156,964.7,123.7,1384.8,157.8,2004.9,384.1,857.6,1357.2,1902.3,170.7,83,9.2
0.059156,966.3,121.1,1395.2,132.0,2023.7,378.0,856.7,1359.6,1904.1,171.2,83,9.9
0.061156,965.9,126.1,1401.0,117.7,2034.2,389.6,855.6,1362.1,1906,171.7,83.1,11.1
0.063156,962.8,133.9,1403.1,110.2,2037.2,402.7,854.6,1364.7,1908,172.2,83.2,12.7
0.065156,956.8,140.1,1402.3,105.3,2032.4,402.9,853.5,1367.4,1910,172.8,83.3,14.1
0.067156,948.6,144.7,1400.5,100.8,2023.3,391.0,852.3,1370.3,1912.2,173.3,83.4,15.1
0.069156,941.4,149.1,1401.4,94.5,2017.4,371.0,851.1,1373.2,1914.4,173.8,83.6,15.4
0.071156,935.9,157.0,1405.5,84.5,2016.0,348.4,849.8,1376.3,1916.8,174.4,83.6,15.2
0.073156,930.3,171.7,1410.1,73.9,2016.2,331.0,848.4,1379.6,1919.2,174.9,83.6,14.5
0.075156,922.4,189.3,1412.5,67.3,2013.6,322.2,847.1,1382.9,1921.7,175.4,83.6,13.6
0.077156,909.8,201.4,1412.6,65.6,2003.5,312.9,845.6,1386.3,1924.3,176,83.6,12.6
0.079156,896.4,201.6,1413.6,68.8,1986.6,292.1,844.2,1389.9,1926.9,176.6,83.5,11.7
0.081156,886.1,195.5,1420.5,75.3,1968.5,263.6,842.6,1393.6,1929.7,177.1,83.4,10.5
0.083156,877.7,191.1,1435.4,81.6,1955.0,244.6,841.1,1397.3,1932.5,177.7,83.2,9.2
0.085156,868.8,194.1,1452.0,83.8,1949.2,243.7,839.4,1401.2,1935.4,178.3,83.1,8
0.087156,856.0,209.8,1463.7,82.4,1949.1,255.3,837.8,1405.2,1938.3,178.9,82.9,7.1
0.089156,835.3,235.7,1466.5,78.4,1951.5,263.5,836,1409.3,1941.4,179.4,82.8,6.6
0.091156,803.0,254.1,1464.0,71.4,1954.6,258.3,834.3,1413.5,1944.5,180.1,82.7,6.7
0.093156,769.0,244.8,1461.9,64.2,1960.3,249.1,832.5,1417.8,1947.6,180.7,82.6,7
0.095156,751.1,222.2,1463.3,61.2,1967.3,247.5,830.6,1422.2,1950.9,181.3,82.5,7.5
0.097156,747.2,207.8,1469.1,63.7,1973.3,258.9,828.7,1426.7,1954.2,182,82.3,7.8
0.099156,750.6,205.9,1479.6,70.0,1977.8,283.3,826.7,1431.3,1957.5,182.7,82.1,7.7
0.101156,754.6,204.3,1493.0,73.7,1985.3,305.9,824.7,1436,1960.9,183.4,81.8,7.4
0.103156,755.5,190.8,1503.9,69.4,2001.3,295.1,822.7,1440.8,1964.4,184.1,81.5,7
0.105156,753.8,169.4,1508.3,61.7,2021.2,247.3,820.6,1445.6,1967.9,184.9,81.2,6.6
0.107156,752.0,149.5,1507.2,57.9,2036.2,192.5,818.5,1450.5,1971.5,185.6,80.9,6.2
0.109156,753.1,142.1,1501.9,61.9,2038.1,164.6,816.3,1455.6,1975.1,186.4,80.7,6.2
0.111156,758.4,149.7,1495.8,70.7,2028.4,165.8,814.1,1460.7,1978.8,187.3,80.4,6.4
0.113156,765.4,166.6,1491.8,79.4,2015.2,180.2,811.9,1465.8,1982.5,188.2,80.1,6.7
0.115156,769.4,185.1,1488.5,86.9,2006.7,188.6,809.6,1471.1,1986.2,189.1,79.7,6.9
0.117156,767.4,204.9,1482.8,96.2,2004.4,184.6,807.3,1476.4,1990,190,79.1,6.9
0.119156,756.1,229.2,1473.3,110.6,2006.2,172.8,804.9,1481.7,1993.8,191,78.3,6.5
0.121156,730.9,266.7,1459.6,133.1,2008.4,163.6,802.5,1487.2,1997.7,192,77.4,5.4
0.123156,684.0,317.0,1442.9,165.2,2007.6,164.2,800.1,1492.7,2001.6,193.1,76.5,4
0.125156,630.7,344.8,1427.4,206.3,2000.3,175.0,797.6,1498.2,2005.5,194.2,75.6,2.7
0.127156,606.7,344.6,1419.7,266.1,1981.7,195.0,795.1,1503.9,2009.4,195.3,74.9,1.9
0.129156,601.5,341.2,1431.1,338.0,1955.3,226.5,792.5,1509.5,2013.4,196.5,74.5,1.9
0.131156,579.6,327.1,1461.3,417.0,1926.0,281.2,790,1515.2,2017.3,197.7,74.3,2.6
0.133156,546.5,290.9,1493.6,476.3,1892.4,341.4,787.4,1521,2021.3,198.9,74.2,3.8
0.135156,518.0,252.3,1500.2,483.4,1867.2,359.5,784.7,1526.8,2025.3,200.1,74.2,5.2
0.137156,490.6,220.8,1469.7,476.1,1855.9,352.5,782,1532.6,2029.3,201.4,74.1,6.4
0.139156,468.2,201.2,1411.0,432.3,1863.8,327.6,779.3,1538.5,2033.3,202.7,74,7.1
0.141156,453.7,196.7,1367.1,353.5,1895.0,283.3,776.6,1544.4,2037.3,203.9,73.8,7.7
