time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025891,568.0,26.2,2075.2,113.4,2103.5,1027.2,482.1,1616.9,1995.6,193.4,82,5.3
0.027891,567.4,21.4,2076.4,94.8,2130.3,1070.7,482.1,1617.1,1995.8,193.8,82.6,6.5
0.029891,567.8,18.4,2081.6,90.7,2125.6,1074.5,482,1617.3,1996,194.2,83.2,7.8
0.031891,569.4,17.3,2065.0,989.6,2090.2,104.7,482,1617.7,1996.4,194.7,83.6,9.1
0.033891,571.8,17.7,1981.9,815.3,2099.5,136.7,481.9,1618.1,1996.8,195.1,83.9,10.1
0.035891,574.3,19.0,1922.4,669.3,2104.3,166.0,481.9,1618.6,1997.4,195.6,84.2,10.6
0.037891,576.7,21.2,1888.3,601.1,2098.5,177.4,481.8,1619.3,1998.1,196.1,84.3,10.6
0.039891,578.1,24.0,1876.9,602.7,2084.7,172.6,481.7,1620,1998.9,196.5,84.4,10.5
0.041891,578.3,27.6,1880.9,654.8,2069.0,157.8,481.6,1620.8,1999.7,197,84.4,10.1
0.043891,578.3,32.8,1889.2,786.4,2053.5,131.9,481.5,1621.8,2000.7,197.4,84.3,9.8
0.045891,579.7,40.2,1879.2,1019.3,2044.0,101.5,481.4,1622.8,2001.8,197.9,84.2,9.4
0.047891,584.0,50.7,1842.3,1323.7,2041.7,77.9,481.2,1623.9,2002.9,198.3,84,8.9
0.049891,590.2,62.7,1818.4,1575.2,2044.5,65.9,481.1,1625.1,2004.2,198.7,83.9,8.3
0.051891,595.4,73.0,1838.8,1668.3,2049.1,61.4,480.9,1626.4,2005.6,199.2,83.8,7.8
0.053891,597.7,77.7,1887.8,1575.2,2052.0,61.7,480.8,1627.8,2007.1,199.5,83.7,7.7
0.055891,596.9,76.7,1927.6,1405.1,2051.8,65.2,480.6,1629.3,2008.6,199.9,83.8,8.1
0.057891,593.4,74.2,1936.3,1260.2,2050.1,69.7,480.4,1630.9,2010.3,200.2,83.9,9.1
0.059891,588.1,74.0,1901.6,1186.5,2049.5,71.8,480.2,1632.5,2012,200.6,84.1,10.4
0.061891,582.5,75.7,1845.4,1140.5,2050.6,70.3,480,1634.3,2013.9,200.8,84.2,11.8
0.063891,578.3,78.1,1816.5,1108.0,2051.4,67.7,479.7,1636.1,2015.8,201.1,84.4,13.2
0.065891,576.2,80.9,1840.5,1110.1,2049.9,65.9,479.5,1638.1,2017.8,201.4,84.5,14.1
0.067891,575.3,84.9,1908.7,1138.9,2046.1,64.0,479.3,1640.1,2020,201.6,84.5,14.9
0.069891,574.4,90.2,1976.9,1173.9,2041.9,60.1,479,1642.2,2022.2,201.8,84.6,15.5
0.071891,572.6,97.0,2004.8,1226.6,2039.2,54.2,478.7,1644.4,2024.5,202,84.6,16.1
0.073891,570.6,104.2,1992.4,1296.4,2037.8,47.7,478.5,1646.6,2026.9,202.1,84.6,16.8
0.075891,569.3,109.6,1963.6,1339.3,2036.9,42.3,478.2,1649,2029.3,202.3,84.5,17.5
0.077891,568.3,113.7,1925.2,1329.5,2036.2,38.2,477.9,1651.4,2031.9,202.4,84.5,18.6
0.079891,566.7,117.3,1876.0,1270.4,2035.6,35.8,477.6,1653.9,2034.5,202.5,84.5,19.7
0.081891,563.4,121.0,1823.7,1177.7,2034.7,34.9,477.3,1656.5,2037.2,202.6,84.5,20.6
0.083891,557.2,124.3,1784.5,1061.7,2033.0,36.1,477,1659.1,2040,202.8,84.5,21
0.085891,547.8,126.7,1760.6,931.5,2030.9,40.2,476.6,1661.9,2042.9,202.9,84.4,20.6
0.087891,534.6,128.1,1734.7,775.0,2029.5,47.9,476.3,1664.7,2045.8,203,84.3,19.4
0.089891,519.9,128.2,1702.0,616.7,2030.7,57.2,476,1667.5,2048.8,203.1,84.1,17.7
0.091891,505.1,126.9,1668.9,487.8,2034.8,65.1,475.6,1670.4,2051.9,203.2,83.8,15.8
0.093891,490.3,124.5,1636.3,405.7,2040.3,70.8,475.2,1673.4,2055,203.3,83.4,14
0.095891,476.1,121.3,1600.0,364.9,2045.1,74.2,474.9,1676.5,2058.3,203.4,83,12.6
0.097891,460.7,117.0,1549.6,351.3,2049.5,78.5,474.5,1679.6,2061.5,203.5,82.4,11.3
0.099891,444.8,111.0,1483.6,359.1,2054.9,91.0,474.1,1682.8,2064.9,203.6,81.7,10.1
0.101891,429.6,105.3,1405.9,365.5,2061.8,122.8,473.7,1686,2068.3,203.8,80.9,8.9
0.103891,417.0,107.3,1340.4,347.6,2066.9,186.4,473.4,1689.3,2071.8,203.9,80.1,8
0.105891,406.9,125.7,1309.8,330.0,2063.7,278.6,473,1692.7,2075.3,204.1,79.2,7.1
0.107891,396.1,175.3,1307.8,338.3,2054.1,383.9,472.6,1696.1,2078.9,204.2,78.4,6.2
0.109891,381.2,267.4,1329.2,380.2,2057.1,477.5,472.2,1699.5,2082.5,204.4,77.9,5.3
0.111891,359.5,363.9,1363.3,430.2,2057.9,524.7,471.7,1703,2086.2,204.6,77.6,4.9
0.113891,340.8,359.6,1375.6,460.8,1995.3,506.2,471.3,1706.6,2089.9,204.8,77.5,4.9
0.115891,332.4,288.7,1345.4,477.6,1911.0,431.5,470.9,1710.1,2093.7,205,77.7,5.8
0.117891,330.2,225.3,1294.3,457.2,1861.2,336.7,470.5,1713.8,2097.5,205.2,77.9,7.7
