time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025422,364.8,46.6,1548.3,2025.7,2158.1,249.4,595.9,1680.9,2095.7,180.7,72.4,9.1
0.027422,365.5,43.6,1563.0,1765.2,2141.7,343.2,595.9,1680.9,2095.7,180.6,72.9,10.6
0.029422,367.7,39.9,1672.1,1414.7,2090.3,530.1,595.9,1680.9,2095.7,180.5,73.3,11.8
0.031422,370.2,37.3,1796.8,1242.9,1956.2,707.3,595.9,1680.9,2095.8,180.4,73.7,13.1
0.033422,372.4,35.8,1692.0,984.4,1955.0,709.5,595.9,1680.9,2095.9,180.3,74,14.2
0.035422,374.4,35.2,1536.2,703.0,2016.7,540.1,595.9,1680.9,2096,180.2,74.3,14.9
0.037422,376.3,36.2,1464.0,502.3,2024.3,431.5,595.8,1680.9,2096.2,180.1,74.6,14.9
0.039422,381.0,43.0,1428.7,361.8,2014.3,392.1,595.8,1680.9,2096.3,180,74.8,14
0.041422,395.6,64.2,1417.2,270.7,2006.4,401.4,595.8,1681,2096.5,179.9,75,12.3
0.043422,426.5,103.0,1415.6,219.1,2011.0,455.0,595.8,1681,2096.7,179.7,75.3,10.2
0.045422,482.2,151.2,1416.6,182.8,2038.2,572.9,595.8,1681,2097,179.6,75.8,8.3
0.047422,552.1,173.1,1418.2,146.8,2094.0,732.8,595.7,1681,2097.2,179.5,76.4,6.9
0.049422,609.4,162.6,1420.3,112.9,2156.3,860.8,595.7,1681,2097.5,179.3,77.2,6
0.051422,645.5,149.2,1424.1,90.2,2183.2,878.3,595.7,1681.1,2097.8,179.2,78.1,5.4
0.053422,669.0,145.8,1428.7,77.7,2167.4,807.4,595.6,1681.1,2098.1,179.1,79,5
0.055422,690.3,150.2,1434.5,69.8,2135.1,724.8,595.6,1681.1,2098.4,178.9,79.8,5.1
0.057422,709.2,157.8,1441.2,65.0,2116.9,686.6,595.6,1681.1,2098.7,178.8,80.5,5.6
0.059422,722.8,165.6,1448.1,63.3,2121.5,704.6,595.5,1681.2,2099.1,178.7,81.2,7.1
0.061422,730.7,172.1,1454.3,65.0,2134.3,761.9,595.5,1681.2,2099.5,178.6,81.7,9.3
0.063422,735.7,175.5,1459.7,69.4,2135.3,812.3,595.5,1681.2,2099.9,178.4,82.2,11.8
0.065422,740.4,176.2,1465.2,75.6,2119.8,823.0,595.4,1681.2,2100.3,178.3,82.5,14
0.067422,745.0,175.0,1469.7,81.9,2098.2,799.9,595.4,1681.3,2100.7,178.2,82.8,15.5
0.069422,749.7,172.7,1472.9,86.3,2082.6,765.8,595.3,1681.3,2101.2,178.1,83,16
0.071422,753.6,170.6,1475.2,87.9,2079.2,721.9,595.3,1681.3,2101.7,177.9,83.1,15.9
0.073422,755.3,170.2,1477.8,88.5,2084.5,673.5,595.3,1681.3,2102.2,177.8,83.2,15.4
0.075422,755.3,171.6,1481.9,89.9,2092.0,629.4,595.2,1681.3,2102.7,177.7,83.3,15
0.077422,757.0,173.8,1487.9,91.6,2099.2,595.9,595.2,1681.3,2103.2,177.6,83.4,14.8
0.079422,764.7,174.3,1495.5,91.8,2108.9,566.8,595.2,1681.4,2103.7,177.5,83.5,15.1
0.081422,778.5,169.0,1504.0,89.8,2125.4,547.7,595.1,1681.4,2104.2,177.4,83.7,15.6
0.083422,792.2,158.6,1512.3,87.2,2147.5,554.1,595.1,1681.4,2104.8,177.3,83.9,16.1
0.085422,802.6,146.4,1521.7,85.9,2172.2,598.9,595.1,1681.4,2105.4,177.2,84.1,16.5
0.087422,808.6,136.4,1531.6,85.5,2186.5,673.3,595,1681.4,2106,177.1,84.3,16.7
0.089422,812.1,129.0,1541.5,84.4,2176.9,729.1,595,1681.4,2106.5,177.1,84.4,16.5
0.091422,814.0,123.3,1550.8,82.7,2154.6,739.8,595,1681.4,2107.2,177,84.5,16.1
0.093422,814.5,119.1,1559.1,80.9,2136.4,725.8,595,1681.4,2107.8,176.9,84.6,15.6
0.095422,813.8,115.6,1567.1,79.4,2122.2,689.4,595,1681.3,2108.4,176.9,84.6,15
0.097422,811.7,112.5,1574.1,79.9,2111.1,638.6,595,1681.3,2109,176.9,84.6,14.5
0.099422,807.3,109.9,1579.9,83.6,2105.0,591.8,594.9,1681.3,2109.7,176.8,84.5,13.9
0.101422,798.5,108.2,1584.2,91.5,2102.5,558.7,594.9,1681.3,2110.3,176.8,84.4,13.4
0.103422,784.1,106.4,1587.3,104.0,2099.3,539.1,595,1681.2,2111,176.8,84.3,12.8
0.105422,763.3,101.8,1590.2,122.4,2093.5,518.7,595,1681.2,2111.6,176.9,84.3,12.1
0.107422,740.5,93.8,1592.7,144.2,2090.0,484.5,595,1681.1,2112.3,176.9,84.2,11.5
0.109422,719.5,84.5,1594.9,169.1,2090.3,442.2,595,1681,2113,176.9,84.2,10.7
0.111422,701.8,76.4,1599.0,200.0,2087.7,408.9,595,1681,2113.7,177,84.2,9.9
0.113422,688.2,70.6,1606.8,236.3,2080.2,391.3,595.1,1680.9,2114.4,177.1,84.2,9.1
0.115422,676.9,66.6,1620.5,276.5,2070.2,379.5,595.1,1680.8,2115,177.2,84.1,8.2
0.117422,667.1,65.5,1638.6,313.5,2061.1,367.2,595.2,1680.7,2115.7,177.3,84,7.4
0.119422,655.4,68.2,1660.0,354.5,2051.4,358.5,595.2,1680.6,2116.4,177.5,83.7,6.4
0.121422,638.8,75.1,1686.2,418.2,2037.8,362.7,595.3,1680.4,2117.1,177.6,83.3,5.3
0.123422,617.3,85.8,1716.1,518.0,2017.8,371.5,595.3,1680.3,2117.8,177.8,82.8,4.3
0.125422,587.1,100.6,1731.4,681.8,1994.3,347.6,595.4,1680.2,2118.5,178,82.1,3.3
