time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025641,577.0,55.7,2116.8,45.6,2660.4,352.0,481.7,2046.5,2492.6,193.3,79.9,2
0.027641,577.5,60.6,2120.9,35.8,2651.6,309.5,481.7,2046.4,2492.6,193.2,80.8,1.2
0.029641,579.5,58.5,2115.4,29.7,2617.0,274.7,481.7,2046.1,2492.6,193,81.6,0.6
0.031641,578.9,53.3,2107.5,27.5,2587.1,249.1,481.6,2045.8,2492.5,192.9,82.4,0.3
0.033641,576.3,48.6,2101.5,27.6,2573.0,230.7,481.5,2045.4,2492.5,192.7,83.1,0.7
0.035641,574.5,45.8,2099.7,28.5,2573.9,218.6,481.4,2044.9,2492.5,192.5,83.7,2.1
0.037641,574.6,44.0,2101.5,30.0,2582.0,211.0,481.3,2044.2,2492.4,192.4,84.1,4.7
0.039641,575.9,42.0,2104.7,32.8,2588.9,208.0,481.1,2043.5,2492.4,192.2,84.5,8
0.041641,576.3,39.7,2107.1,36.8,2589.6,206.3,481,2042.7,2492.3,192,84.7,11.4
0.043641,575.2,38.0,2108.3,41.3,2586.4,203.6,480.8,2041.8,2492.2,191.8,84.8,14.3
0.045641,573.0,37.6,2109.4,44.9,2586.2,199.4,480.6,2040.8,2492.2,191.6,84.9,16
0.047641,570.6,38.5,2110.6,47.0,2593.4,191.3,480.4,2039.7,2492.1,191.4,84.9,17.2
0.049641,568.4,40.0,2111.4,47.3,2607.5,180.3,480.2,2038.5,2492,191.2,84.9,17.8
0.051641,565.6,41.4,2111.3,47.1,2626.5,171.5,479.9,2037.2,2491.9,191,84.9,18.1
0.053641,561.8,42.8,2110.6,46.5,2649.4,166.3,479.6,2035.9,2491.8,190.8,84.8,18.2
0.055641,558.0,44.9,2109.4,45.2,2673.1,159.3,479.4,2034.4,2491.7,190.6,84.8,18.1
0.057641,554.9,48.1,2106.4,42.6,2695.0,146.9,479.1,2032.9,2491.6,190.4,84.8,17.6
0.059641,553.0,51.7,2100.8,39.1,2711.7,133.1,478.7,2031.2,2491.5,190.2,84.9,16.8
0.061641,550.7,54.2,2094.2,35.9,2721.8,120.7,478.4,2029.5,2491.4,189.9,84.9,16
0.063641,547.0,54.8,2088.9,33.9,2722.3,110.2,478.1,2027.7,2491.3,189.7,85,15.3
0.065641,542.7,54.4,2085.1,32.6,2713.5,101.4,477.7,2025.8,2491.2,189.5,85,15
0.067641,538.1,54.6,2081.6,30.6,2698.3,92.2,477.3,2023.8,2491,189.3,85.1,14.9
0.069641,533.1,56.6,2077.7,27.7,2680.7,82.4,476.9,2021.7,2490.9,189,85.1,15
0.071641,526.3,59.9,2073.1,24.5,2665.3,72.8,476.5,2019.5,2490.8,188.8,85.2,15.1
0.073641,515.6,63.0,2068.1,22.1,2655.0,65.1,476.1,2017.3,2490.7,188.6,85.2,15.2
0.075641,501.2,63.7,2063.2,21.3,2650.3,60.8,475.7,2015,2490.5,188.3,85.3,15
0.077641,483.6,61.1,2058.3,23.1,2649.3,60.6,475.2,2012.6,2490.4,188.1,85.3,14.5
0.079641,466.7,56.4,2054.0,29.3,2650.4,66.3,474.7,2010.1,2490.3,187.9,85.4,13.9
0.081641,453.0,52.5,2051.3,41.2,2651.1,77.8,474.3,2007.5,2490.2,187.6,85.4,13.4
0.083641,442.2,50.6,2052.2,55.8,2648.6,88.0,473.8,2004.9,2490.1,187.4,85.6,13.1
0.085641,433.2,49.6,2055.8,66.9,2642.3,86.9,473.3,2002.1,2489.9,187.1,85.7,13.3
0.087641,424.5,47.7,2059.1,76.3,2634.3,77.4,472.8,1999.3,2489.8,186.9,85.8,14
0.089641,416.8,44.8,2060.4,89.5,2627.6,68.5,472.3,1996.5,2489.7,186.6,85.8,14.9
0.091641,410.7,42.2,2061.0,109.3,2622.4,63.8,471.7,1993.5,2489.6,186.4,85.8,15.9
0.093641,406.3,41.0,2064.1,132.9,2617.4,63.4,471.2,1990.5,2489.5,186.2,85.7,16.6
0.095641,403.0,41.4,2069.4,147.5,2611.4,67.7,470.6,1987.4,2489.4,185.9,85.5,17
0.097641,400.2,43.1,2067.7,148.0,2600.7,80.1,470.1,1984.3,2489.4,185.7,85.2,17.1
0.099641,397.7,46.7,2048.0,153.6,2577.1,111.7,469.5,1981,2489.3,185.4,84.9,17.1
0.101641,395.2,51.7,2001.6,185.4,2518.4,175.2,468.9,1977.7,2489.2,185.2,84.5,16.9
0.103641,392.5,55.6,1922.7,225.4,2407.6,203.4,468.4,1974.4,2489.2,185,84.1,16.6
0.105641,390.3,57.7,1844.0,222.1,2319.2,153.9,467.8,1971,2489.1,184.8,83.5,16.1
0.107641,389.6,60.7,1793.8,195.8,2268.9,109.3,467.2,1967.5,2489.1,184.6,82.8,15.4
0.109641,390.4,65.6,1769.6,173.5,2240.6,84.0,466.6,1963.9,2489.1,184.3,81.9,14.6
0.111641,392.1,72.0,1759.5,158.3,2222.9,70.7,466,1960.3,2489,184.1,81,13.7
0.113641,393.4,81.0,1756.1,152.4,2212.2,66.9,465.4,1956.7,2489.1,184,79.9,12.9
0.115641,393.6,94.8,1755.2,162.0,2208.1,74.4,464.8,1953,2489.1,183.8,78.7,12.2
0.117641,392.4,117.1,1759.2,198.0,2214.3,100.6,464.2,1949.2,2489.1,183.6,77.6,11.5
0.119641,388.6,140.3,1766.0,247.4,2235.6,141.2,463.6,1945.4,2489.1,183.5,76.6,10.8
0.121641,381.8,148.6,1745.2,242.0,2270.3,155.5,462.9,1941.5,2489.2,183.3,75.9,10.3
0.123641,375.9,138.4,1700.2,167.2,2309.9,134.5,462.3,1937.6,2489.3,183.2,75.7,10
0.125641,375.0,120.3,1670.8,107.4,2341.2,113.6,461.7,1933.6,2489.4,183.1,75.8,10.2
0.127641,378.5,104.7,1658.1,80.8,2357.1,104.9,461.1,1929.6,2489.5,183,76.2,10.8
0.129641,383.9,94.3,1654.2,75.5,2357.3,108.9,460.5,1925.6,2489.7,182.9,76.9,11.8
0.131641,388.3,87.1,1652.4,79.2,2351.7,118.1,459.9,1921.5,2489.8,182.8,77.7,12.8
0.133641,390.8,82.5,1650.3,85.5,2352.4,125.3,459.3,1917.4,2490,182.8,78.6,13.6
0.135641,392.0,80.2,1649.3,91.3,2363.1,126.1,458.6,1913.2,2490.2,182.7,79.6,14
0.137641,393.0,78.3,1650.9,94.1,2376.5,122.0,458,1909,2490.4,182.7,80.5,14.1
0.139641,393.9,74.5,1654.1,91.8,2385.4,121.7,457.4,1904.7,2490.7,182.6,81.5,14
0.141641,394.8,69.0,1657.8,83.5,2392.2,124.8,456.8,1900.5,2490.9,182.6,82.4,13.9
0.143641,395.5,63.5,1662.1,71.8,2402.7,124.5,456.3,1896.2,2491.2,182.5,83.2,13.8
0.145641,396.3,59.1,1667.4,61.6,2416.5,119.8,455.7,1891.8,2491.6,182.5,83.8,13.9
0.147641,397.8,56.9,1674.0,55.4,2429.1,114.4,455.1,1887.5,2491.9,182.5,84.4,14.1
0.149641,400.4,58.2,1681.9,54.3,2436.9,111.2,454.5,1883.1,2492.3,182.4,84.8,14.3
0.151641,403.9,63.2,1691.0,57.3,2441.4,109.3,454,1878.7,2492.7,182.4,85.1,14.5
0.153641,408.2,70.9,1701.7,63.3,2444.3,106.6,453.4,1874.2,2493.1,182.3,85.3,14.7
0.155641,412.7,80.0,1714.3,71.9,2445.3,103.5,452.9,1869.8,2493.6,182.3,85.4,14.9
0.157641,417.6,91.0,1730.5,84.2,2445.6,101.2,452.3,1865.3,2494.1,182.2,85.3,15
0.159641,422.9,102.7,1749.9,97.9,2448.8,100.1,451.8,1860.8,2494.6,182.2,85.2,15
0.161641,428.7,113.1,1771.5,109.8,2456.6,99.3,451.3,1856.3,2495.2,182.1,85,15.1
0.163641,434.6,120.8,1794.2,117.8,2468.3,96.8,450.8,1851.8,2495.8,182,84.8,15.4
0.165641,439.8,123.5,1816.7,121.2,2481.3,91.1,450.3,1847.3,2496.4,181.9,84.6,15.9
0.167641,443.8,119.5,1840.5,120.2,2493.8,81.7,449.8,1842.7,2497,181.8,84.4,16.7
0.169641,446.3,109.5,1861.4,114.6,2502.8,71.6,449.4,1838.2,2497.7,181.7,84.2,17.7
0.171641,447.9,98.4,1873.1,105.6,2507.5,63.7,448.9,1833.7,2498.5,181.6,84.1,18.7
0.173641,450.0,91.7,1874.7,96.0,2509.3,58.3,448.5,1829.1,2499.2,181.4,84,19.5
0.175641,453.3,90.8,1872.3,88.6,2510.8,54.0,448.1,1824.6,2500,181.3,83.9,19.9
0.177641,458.4,94.5,1869.3,84.0,2513.2,49.5,447.7,1820,2500.8,181.2,83.8,20.1
0.179641,464.6,100.3,1864.4,83.8,2515.8,45.5,447.3,1815.5,2501.7,181,83.8,20
0.181641,470.7,106.2,1855.3,87.6,2517.3,42.3,446.9,1810.9,2502.6,180.9,83.7,19.9
0.183641,475.6,112.4,1840.6,93.2,2516.8,38.4,446.6,1806.4,2503.6,180.7,83.6,19.8
0.185641,478.7,118.9,1822.5,96.9,2514.8,33.6,446.2,1801.9,2504.5,180.6,83.6,19.7
0.187641,480.6,124.3,1803.5,97.2,2512.2,28.2,445.9,1797.4,2505.6,180.4,83.5,19.7
0.189641,481.5,125.7,1788.2,95.6,2509.5,24.1,445.6,1792.8,2506.6,180.3,83.4,19.5
0.191641,481.9,123.4,1778.3,93.7,2506.9,22.1,445.4,1788.4,2507.7,180.1,83.3,19.4
0.193641,481.4,120.6,1773.6,91.5,2504.5,21.9,445.1,1783.9,2508.8,180,83.2,19.3
0.195641,479.6,119.6,1772.1,88.1,2502.3,22.9,444.9,1779.4,2510,179.8,83.1,19.3
0.197641,476.3,120.6,1771.3,82.9,2499.8,25.0,444.7,1775,2511.2,179.7,83.1,19.2
0.199641,472.2,122.9,1770.5,77.4,2496.8,27.7,444.5,1770.6,2512.5,179.6,83,19.2
0.201641,467.9,125.6,1769.5,73.5,2493.6,31.0,444.3,1766.1,2513.8,179.4,83,19.2
0.203641,463.3,128.3,1768.7,71.8,2490.2,34.6,444.2,1761.8,2515.1,179.3,83.1,19.1
0.205641,458.7,131.0,1768.2,73.4,2486.8,38.3,444,1757.4,2516.5,179.2,83.1,19
0.207641,453.4,133.4,1767.2,80.5,2482.6,43.0,443.9,1753.1,2517.9,179.1,83.1,18.7
0.209641,447.4,133.5,1761.9,95.4,2477.5,50.0,443.9,1748.8,2519.4,179,83.2,18.4
0.211641,441.0,130.7,1747.6,115.8,2470.9,58.9,443.8,1744.5,2520.9,178.9,83.3,18.1
0.213641,435.3,127.1,1724.4,130.7,2463.3,65.6,443.8,1740.3,2522.4,178.8,83.3,18
0.215641,430.5,124.0,1700.0,130.0,2457.3,67.5,443.8,1736.1,2524,178.8,83.4,18.2
0.217641,425.8,121.3,1679.1,116.6,2453.7,67.3,443.8,1731.9,2525.6,178.7,83.4,18.7
0.219641,420.8,117.7,1663.9,101.6,2450.8,69.4,443.9,1727.8,2527.3,178.7,83.5,19.4
0.221641,415.6,111.7,1654.0,92.6,2445.0,76.9,443.9,1723.7,2529,178.6,83.5,20.1
0.223641,410.5,105.0,1648.1,90.9,2434.2,88.5,444,1719.6,2530.7,178.6,83.5,20.8
0.225641,406.9,101.4,1645.3,94.0,2421.2,96.7,444.2,1715.6,2532.5,178.6,83.5,21.4
0.227641,405.0,102.9,1645.7,99.1,2411.6,97.8,444.3,1711.6,2534.3,178.6,83.5,22
0.229641,405.1,109.0,1649.7,102.0,2411.4,94.8,444.5,1707.7,2536.2,178.6,83.5,22.5
0.231641,406.4,115.4,1655.0,99.0,2418.5,90.2,444.7,1703.8,2538.1,178.6,83.5,23
0.233641,408.3,118.9,1658.7,92.4,2427.8,85.3,444.9,1700,2540,178.6,83.6,23.3
0.235641,410.7,121.0,1661.1,86.9,2437.0,82.0,445.2,1696.2,2542,178.6,83.6,23.4
0.237641,414.1,123.3,1664.0,84.4,2446.4,80.0,445.5,1692.4,2544,178.7,83.6,23.2
0.239641,418.3,124.7,1668.2,85.7,2454.5,78.3,445.8,1688.7,2546,178.7,83.6,22.9
0.241641,422.6,123.2,1674.6,91.1,2460.3,77.7,446.1,1685.1,2548.1,178.8,83.6,22.5
0.243641,426.4,118.4,1683.7,99.0,2463.8,79.2,446.5,1681.5,2550.3,178.9,83.6,22.3
0.245641,429.6,112.7,1694.9,105.2,2465.8,82.3,446.9,1677.9,2552.4,178.9,83.6,22.2
0.247641,432.5,107.0,1708.0,107.9,2468.8,86.0,447.3,1674.4,2554.6,179,83.5,22.2
0.249641,435.4,101.4,1721.0,108.2,2474.5,89.0,447.8,1671,2556.9,179.1,83.5,22.4
0.251641,438.5,95.9,1732.9,109.2,2482.5,90.7,448.3,1667.6,2559.1,179.2,83.5,22.5
0.253641,442.3,91.4,1743.5,113.7,2491.0,92.7,448.8,1664.3,2561.4,179.4,83.4,22.5
0.255641,446.8,88.5,1754.7,121.6,2497.7,95.8,449.3,1661,2563.8,179.5,83.4,22.4
0.257641,452.2,87.7,1770.5,128.8,2501.0,97.2,449.9,1657.8,2566.2,179.6,83.3,22
0.259641,457.9,88.1,1788.9,129.3,2501.4,94.3,450.5,1654.6,2568.6,179.7,83.3,21.6
0.261641,463.3,87.4,1804.0,123.5,2502.2,89.3,451.1,1651.5,2571,179.9,83.2,21.1
0.263641,468.1,83.9,1812.4,116.2,2503.8,86.0,451.7,1648.5,2573.5,180,83.1,20.7
0.265641,472.3,77.7,1816.1,111.3,2504.1,85.3,452.4,1645.5,2576,180.2,83.1,20.5
0.267641,476.7,70.9,1820.1,108.4,2501.5,85.5,453.1,1642.6,2578.5,180.3,83,20.6
