time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025156,371.8,206.3,421.8,819.3,2140.2,65.0,438.1,1488.8,2194.1,100.2,69.3,-16.1
0.027156,423.9,163.5,2134.6,61.3,2590.7,183.0,438.2,1488.9,2194,101.1,70.2,12.6
0.029156,439.9,131.6,718.4,3325.8,2128.2,60.0,438.4,1489,2193.9,102.1,70.9,19.4
0.031156,441.5,115.3,2122.9,60.9,2601.2,194.5,438.7,1489.2,2193.8,103.3,71.4,17.1
0.033156,325.8,1577.6,442.6,104.7,2120.2,65.6,439,1489.5,2193.6,104.7,72,10.9
0.035156,452.3,99.4,535.1,1729.7,2119.6,75.2,439.5,1489.8,2193.4,106.2,72.5,5.6
0.037156,466.6,100.4,998.7,2285.3,2120.1,85.9,440,1490.2,2193.2,107.9,72.9,5.1
0.039156,477.2,103.7,1290.2,1922.7,2120.9,95.1,440.5,1490.6,2192.9,109.8,73.4,5.7
0.041156,476.0,106.0,1366.3,1774.0,2120.9,101.8,441.2,1491.1,2192.6,111.8,73.9,6.6
0.043156,466.5,103.8,1391.7,1689.7,2119.2,110.6,441.9,1491.7,2192.3,114.1,74.3,7.4
0.045156,464.1,98.3,1433.8,1488.6,2115.7,121.7,442.7,1492.3,2191.9,116.5,74.7,8
0.047156,473.6,94.2,1474.4,1253.1,2112.9,126.2,443.6,1493,2191.5,119,75.1,8.4
0.049156,485.9,91.1,1503.5,1121.1,2111.4,122.8,444.5,1493.7,2191,121.7,75.4,8.4
0.051156,489.5,88.7,1534.1,1100.9,2110.8,117.6,445.6,1494.5,2190.5,124.5,75.7,8.3
0.053156,481.4,83.6,1585.8,1090.0,2111.1,117.1,446.7,1495.3,2190,127.5,75.9,8.2
0.055156,469.4,74.5,1665.0,989.7,2113.9,128.1,447.8,1496.2,2189.5,130.5,76.2,8.3
0.057156,463.3,67.5,1724.3,830.9,2120.9,149.2,449.1,1497.2,2188.9,133.6,76.3,8.8
0.059156,463.7,66.2,1743.0,701.4,2132.3,173.1,450.4,1498.2,2188.3,136.8,76.4,9.8
