time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025187,327.3,78.5,2260.6,383.1,3449.4,696.3,432.1,2305,2638.8,82.5,73.6,2.7
0.027187,325.5,88.0,2196.3,385.9,3347.9,674.3,432.1,2304.6,2638.8,83.9,74.3,1.1
0.029187,324.3,97.4,2139.9,300.4,3239.9,548.0,432.1,2304,2638.8,85.4,75.1,-0.2
0.031187,325.4,97.2,2132.7,223.5,3175.7,478.8,432.2,2303,2638.7,87.1,75.8,-0.8
0.033187,326.3,88.8,2146.3,179.5,3128.1,485.7,432.3,2301.9,2638.7,88.9,76.3,-1.2
0.035187,328.3,78.0,2162.7,157.5,3080.9,545.3,432.3,2300.4,2638.6,90.9,76.5,-1.2
0.037187,334.1,70.0,2175.1,148.8,3029.7,631.4,432.4,2298.7,2638.5,93.1,76.4,-0.7
0.039187,343.3,66.3,2183.8,146.5,2974.9,705.2,432.5,2296.7,2638.4,95.4,76,0.5
0.041187,350.3,66.3,2191.2,147.9,2927.8,721.6,432.6,2294.5,2638.3,97.9,75.4,2.8
0.043187,348.3,66.6,2203.5,160.0,2896.9,696.7,432.8,2292,2638.2,100.6,74.5,5.6
0.045187,336.2,61.4,2231.7,199.4,2876.7,687.0,432.9,2289.2,2638.1,103.4,73.6,8.4
0.047187,325.5,52.8,2284.4,251.4,2863.8,742.5,433.1,2286.2,2637.9,106.4,72.9,10.5
0.049187,326.1,54.9,2292.4,222.5,2868.3,792.4,433.2,2283,2637.8,109.5,72.3,11.5
0.051187,334.4,73.2,2257.8,179.6,2821.5,849.2,433.4,2279.5,2637.6,112.8,71.9,11.4
0.053187,342.8,97.7,2244.7,193.7,2666.6,992.5,433.6,2275.7,2637.4,116.2,71.7,10.7
0.055187,350.7,115.8,2266.8,269.7,2387.3,1031.9,433.8,2271.7,2637.2,119.8,71.5,9.8
0.057187,363.7,131.2,2158.6,858.5,2335.9,329.9,434.1,2267.4,2637,123.4,71.3,9
0.059187,386.1,144.8,2135.7,746.3,2388.3,381.4,434.3,2262.9,2636.7,127.1,71,8.6
0.061187,413.9,143.9,2221.6,495.0,2477.2,576.2,434.6,2258.2,2636.5,130.9,70.8,8.2
