time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025969,589.9,48.6,2095.4,82.5,2499.7,113.9,521.9,1886.1,2547.8,281.6,70.8,-168.8
0.027969,589.0,43.5,2097.5,57.2,2489.9,65.8,521.9,1885.9,2547.8,278.8,73.4,-122.7
0.029969,593.1,37.6,2094.0,40.9,2485.1,45.2,521.9,1885.6,2547.7,275.8,75.5,-71.8
0.031969,597.1,34.1,2090.8,33.1,2482.0,36.6,521.9,1885.1,2547.6,272.6,77.2,-25.9
0.033969,601.0,31.4,2088.0,28.4,2478.9,32.2,522,1884.6,2547.4,269.2,78.4,5.1
0.035969,604.5,29.1,2085.8,25.4,2475.8,30.1,522,1883.9,2547.2,265.7,79.1,17.8
0.037969,607.6,27.0,2083.7,23.3,2472.7,29.4,522.1,1883,2547,261.9,79.6,18.7
0.039969,609.4,26.6,2081.5,22.8,2471.1,31.1,522.1,1882.1,2546.8,258.1,79.7,12.9
0.041969,608.3,30.4,2079.2,25.7,2474.2,37.8,522.2,1881,2546.5,254.1,79.8,5.7
0.043969,601.9,38.7,2076.7,34.8,2485.4,51.9,522.3,1879.8,2546.1,250,79.9,2
0.045969,593.1,42.6,2073.9,48.5,2496.5,65.7,522.4,1878.5,2545.8,245.9,80.3,2
0.047969,586.4,40.2,2069.6,61.9,2497.4,71.8,522.4,1877,2545.4,241.8,80.8,2.1
0.049969,582.1,36.6,2063.8,68.3,2490.4,69.7,522.5,1875.5,2545,237.6,81.3,2.4
0.051969,578.3,34.3,2060.6,65.5,2482.2,63.3,522.7,1873.8,2544.5,233.6,81.8,2.8
0.053969,573.2,33.2,2063.4,59.3,2476.4,58.0,522.8,1872,2544,229.5,82.2,3.4
0.055969,566.6,32.6,2071.2,56.6,2474.9,58.1,522.9,1870.1,2543.5,225.6,82.5,4.3
0.057969,559.8,32.3,2080.2,58.2,2477.3,63.2,523,1868,2543,221.8,82.7,5.4
0.059969,555.0,32.2,2086.5,60.8,2482.2,70.5,523.1,1865.8,2542.4,218.2,83,6.7
0.061969,555.0,32.5,2087.6,60.4,2488.1,77.4,523.3,1863.6,2541.8,214.7,83.3,7.9
