time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025719,622.6,96.9,2080.1,358.5,2490.4,872.3,459.6,2061.2,2622.1,183.8,80,2.9
0.027719,621.1,111.6,2099.0,281.1,2527.9,1026.2,459.5,2061.1,2622.2,183.6,80.3,2.1
0.029719,611.0,129.7,2107.2,238.0,2573.3,1147.8,459.4,2061,2622.3,183.3,80.5,2.2
0.031719,590.7,143.5,2116.1,209.4,2631.8,1337.6,459.2,2060.8,2622.4,183.1,80.7,2.7
0.033719,575.2,141.9,2123.9,195.2,2713.1,1544.4,459,2060.5,2622.5,182.8,81,3.4
0.035719,573.3,133.2,2132.6,204.9,2296.4,7464.2,458.8,2060.2,2622.7,182.5,81.4,4.2
0.037719,576.0,126.9,2145.8,243.2,2641.2,5057.2,458.5,2059.9,2623,182.2,81.7,5.1
0.039719,574.4,126.2,2165.9,303.7,2508.4,1689.1,458.2,2059.4,2623.3,181.9,82,6.1
0.041719,565.7,130.1,2204.2,392.9,2297.1,1567.6,457.8,2059,2623.6,181.7,82.3,7.2
0.043719,551.7,134.7,2084.1,1351.6,2275.3,459.8,457.4,2058.4,2623.9,181.4,82.5,8.4
0.045719,534.9,137.3,1956.8,1223.7,2329.5,439.2,456.9,2057.9,2624.3,181.1,82.6,9.6
0.047719,519.7,136.1,1946.2,1194.9,2333.4,409.9,456.4,2057.2,2624.7,180.9,82.8,10.6
0.049719,509.1,130.8,2011.7,1221.4,2311.5,395.0,455.8,2056.5,2625.2,180.6,82.9,11.5
0.051719,502.8,123.4,2148.1,1252.8,2277.0,396.1,455.3,2055.8,2625.7,180.4,83,12.3
0.053719,499.0,117.4,2235.6,393.2,2349.2,1214.8,454.6,2055,2626.2,180.1,83.2,13.1
0.055719,494.5,113.5,2207.4,359.0,2519.4,1054.6,454,2054.1,2626.7,179.9,83.3,13.7
0.057719,487.6,109.8,2206.5,318.5,2599.8,951.4,453.3,2053.2,2627.3,179.7,83.4,14.2
0.059719,479.3,104.2,2221.8,280.4,2658.0,962.1,452.5,2052.3,2627.9,179.4,83.5,14.5
0.061719,470.6,97.5,2242.5,241.4,2739.2,1080.9,451.7,2051.3,2628.6,179.2,83.6,14.6
0.063719,462.4,91.5,2259.7,212.1,2851.2,84.0,450.9,2050.2,2629.3,179,83.7,14.7
0.065719,453.8,86.1,2276.7,197.3,2720.3,5132.4,450.1,2049.1,2630,178.8,83.8,14.7
0.067719,445.1,80.9,2295.4,192.9,2461.3,4475.2,449.2,2047.9,2630.7,178.6,83.9,14.8
0.069719,437.0,75.6,2261.9,4481.2,2311.0,188.3,448.2,2046.7,2631.5,178.5,83.9,15.1
0.071719,429.3,70.7,1970.4,5392.9,2316.9,179.9,447.3,2045.4,2632.3,178.3,83.9,15.5
0.073719,423.0,67.7,2307.6,170.5,2847.8,73.3,446.3,2044.1,2633.2,178.1,83.9,15.9
0.075719,417.1,65.3,2286.1,157.7,2853.9,65.9,445.3,2042.8,2634,177.9,83.9,16.2
0.077719,411.2,62.0,2262.2,147.7,2859.4,59.0,444.2,2041.4,2634.9,177.7,83.9,16.3
0.079719,405.1,57.6,2239.2,155.5,2862.8,54.8,443.1,2039.9,2635.8,177.6,83.8,16.1
0.081719,398.8,52.7,2207.2,189.1,2860.9,54.6,442,2038.4,2636.8,177.4,83.8,15.8
0.083719,393.4,48.9,2164.5,220.6,2853.8,56.1,440.9,2036.9,2637.8,177.2,83.7,15.3
0.085719,389.2,47.6,2129.4,213.5,2844.8,57.7,439.7,2035.3,2638.8,177,83.5,15
0.087719,386.6,48.4,2118.3,193.5,2837.2,63.6,438.5,2033.7,2639.8,176.8,83.3,14.8
0.089719,385.8,50.1,2119.4,195.0,2831.0,76.6,437.3,2032,2640.8,176.7,83.1,14.8
0.091719,386.1,52.4,2121.9,221.4,2822.9,100.3,436.1,2030.3,2641.9,176.5,82.9,14.8
0.093719,386.6,54.2,2118.0,259.5,2812.9,146.4,434.9,2028.5,2643,176.3,82.8,15
0.095719,385.0,52.8,2110.8,307.5,2808.9,247.4,433.6,2026.7,2644.1,176.1,82.8,15.4
0.097719,380.7,47.4,2114.8,365.7,2829.9,415.0,432.3,2024.9,2645.2,175.9,82.8,15.9
