time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025641,449.5,122.5,507.1,1474.1,1494.9,69.0,638.4,1277.7,2066.4,101.3,73.4,-195.3
0.027641,459.5,118.5,544.7,1329.6,1489.7,57.0,638.3,1277.8,2066.5,101.9,74.5,-162.4
0.029641,459.9,112.8,556.8,1298.7,1485.9,49.4,638.2,1278.1,2066.6,102.7,75.6,-110.3
0.031641,459.6,107.4,541.4,1400.4,1483.7,45.9,638.1,1278.4,2066.8,103.6,76.5,-54
0.033641,413.2,1787.8,463.0,105.1,1484.7,49.9,637.9,1278.8,2067.1,104.6,77.3,-8.5
0.035641,475.5,107.7,1393.9,4654.8,1489.4,65.5,637.7,1279.2,2067.4,105.7,77.9,14
0.037641,493.0,106.7,1496.1,89.7,1987.9,3400.4,637.4,1279.8,2067.7,107.1,78.6,20.8
0.039641,499.6,98.1,1498.2,101.4,2133.8,3113.4,637.1,1280.4,2068.1,108.6,79.1,18.7
0.041641,497.9,88.5,1496.9,91.5,2199.1,2972.4,636.8,1281.2,2068.5,110.3,79.5,12.3
0.043641,493.9,83.0,1497.6,74.1,2190.8,2979.2,636.4,1282,2069,112.1,79.9,6.7
0.045641,492.8,80.4,1498.5,63.5,2133.7,2772.9,635.9,1282.9,2069.6,114.2,80.2,5.6
0.047641,500.1,73.6,1493.5,62.6,2104.2,2042.0,635.5,1283.9,2070.2,116.4,80.5,5.3
0.049641,509.5,61.7,1484.0,60.8,2114.0,1521.8,635,1285,2070.8,118.8,80.9,4.9
0.051641,512.7,52.5,1478.5,54.1,2148.4,1427.2,634.5,1286.1,2071.5,121.4,81.3,4.4
0.053641,511.0,48.5,1480.2,46.9,2203.3,1765.0,633.9,1287.3,2072.3,124.1,81.6,3.9
0.055641,508.9,48.5,1485.8,41.1,2216.5,2717.5,633.3,1288.6,2073.1,126.9,81.9,3.4
0.057641,511.3,53.3,1489.8,37.5,1535.4,6234.6,632.6,1290,2073.9,129.9,82.1,2.6
0.059641,522.5,61.4,1487.4,36.2,2530.3,176.9,631.9,1291.5,2074.8,133,82.3,1.8
0.061641,546.8,64.1,1478.1,35.3,2246.5,2538.5,631.2,1293.1,2075.7,136.2,82.6,1.1
0.063641,573.6,54.5,1467.5,33.4,2245.9,1479.4,630.5,1294.7,2076.7,139.4,83,0.6
0.065641,592.3,43.9,1460.1,34.4,2219.7,1318.1,629.7,1296.4,2077.8,0,83.6,0.5
0.067641,605.7,39.5,1459.6,42.8,2203.6,1495.9,628.8,1298.2,2078.8,145.8,84.2,0.7
0.069641,618.6,39.4,1468.9,57.0,2161.9,1711.5,628,1300,2080,149,84.8,1.1
0.071641,635.1,40.2,1484.0,68.7,2129.9,1804.0,627.1,1301.9,2081.1,152.2,85.3,1.7
0.073641,654.1,40.4,1492.4,70.7,2155.8,1696.0,626.2,1303.9,2082.3,155.2,85.6,2.4
0.075641,674.3,40.6,1492.2,68.2,2199.2,1485.5,625.2,1306,2083.6,158.2,85.8,2.9
0.077641,696.0,40.4,1488.8,64.2,2236.0,1294.4,624.2,1308.1,2084.9,161,85.9,3.5
0.079641,717.3,38.0,1487.1,59.0,2279.9,1175.0,623.2,1310.3,2086.2,163.7,86,4.2
0.081641,736.2,32.3,1487.8,51.9,2347.2,1066.2,622.2,1312.6,2087.6,166.3,86.1,4.9
0.083641,747.6,25.5,1488.8,44.9,2406.1,910.1,621.1,1314.9,2089,168.7,86.3,5.8
0.085641,751.8,20.5,1487.8,40.0,2449.3,763.1,620,1317.3,2090.5,170.9,86.6,7
0.087641,752.2,17.5,1484.9,37.4,2490.1,662.1,618.8,1319.7,2092,172.9,86.8,8.5
0.089641,752.1,16.1,1482.5,36.2,2523.9,603.4,617.7,1322.2,2093.5,174.7,87,10.3
0.091641,752.7,15.7,1482.6,35.0,2545.8,572.2,616.5,1324.8,2095.1,176.4,87.2,12
0.093641,754.2,16.3,1485.0,33.9,2552.0,565.8,615.3,1327.4,2096.7,177.9,87.3,13.5
0.095641,755.6,17.3,1487.9,33.2,2550.7,562.8,614.1,1330.1,2098.3,179.2,87.3,14.6
0.097641,756.4,18.6,1490.0,32.8,2538.2,517.2,612.8,1332.8,2100,180.3,87.3,15.4
0.099641,756.1,19.6,1490.8,32.3,2504.6,449.4,611.5,1335.6,2101.7,181.3,87.2,16
0.101641,755.1,20.5,1490.6,31.2,2467.9,394.2,610.2,1338.4,2103.5,182.1,87,16.5
0.103641,754.0,21.3,1489.7,29.1,2442.8,354.8,608.9,1341.3,2105.2,182.8,86.9,17
0.105641,753.2,22.2,1488.2,26.3,2429.7,330.9,607.6,1344.2,2107,183.4,86.7,17.6
0.107641,752.8,23.1,1486.2,23.5,2426.1,322.1,606.2,1347.2,2108.8,183.8,86.6,18.2
0.109641,752.4,23.9,1484.0,21.1,2427.2,323.4,604.9,1350.2,2110.7,184.2,86.5,18.8
0.111641,751.5,24.8,1482.4,19.1,2427.4,328.5,603.5,1353.2,2112.6,184.4,86.5,19.3
0.113641,750.1,26.2,1482.3,17.9,2422.8,333.5,602.1,1356.3,2114.5,184.6,86.4,19.7
0.115641,747.9,28.7,1483.1,17.6,2415.8,341.5,600.7,1359.4,2116.4,184.7,86.3,19.7
0.117641,745.2,32.0,1483.6,17.9,2412.4,359.8,599.2,1362.5,2118.3,184.8,86.2,19.6
