time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025953,402.3,51.7,1901.0,429.0,2620.4,268.8,578.5,1385.3,2259,0,75.2,3.8
0.027953,398.7,45.4,1873.9,363.8,2598.9,233.3,578.5,1385.7,2259.2,0,75.8,3.3
0.029953,398.6,43.6,1860.0,329.8,2584.3,216.6,578.3,1386.4,2259.6,0,76.2,2.8
0.031953,398.6,43.0,1856.6,324.6,2578.5,215.5,578.2,1387.4,2260.1,0,76.5,2.3
0.033953,401.3,42.9,1861.7,351.6,2582.3,237.0,577.9,1388.6,2260.8,0,76.8,1.8
0.035953,413.1,45.7,1879.1,403.8,2599.4,279.9,577.7,1390.1,2261.6,0,77.2,1.5
0.037953,432.4,50.0,1905.7,462.3,2629.4,328.4,577.3,1391.9,2262.5,0,77.8,1.2
0.039953,443.2,51.6,1923.3,530.6,2650.4,375.9,577,1393.9,2263.6,0,78.6,0.8
0.041953,439.4,53.1,1933.6,602.6,2646.9,443.1,576.5,1396.2,2264.9,0,79.4,0.8
0.043953,426.5,54.9,1941.2,626.8,2623.6,496.2,576.1,1398.8,2266.3,0,80.2,1
0.045953,413.9,54.5,1928.8,623.7,2589.0,442.3,575.5,1401.6,2267.8,183.8,80.8,1.9
0.047953,410.5,53.9,1891.6,603.1,2560.4,313.6,575,1404.7,2269.4,184,81.3,3.3
0.049953,416.6,55.4,1864.6,562.4,2550.8,230.7,574.4,1408,2271.2,184.3,81.5,5.1
0.051953,427.4,57.6,1863.2,497.5,2558.5,198.8,573.7,1411.6,2273.2,184.5,81.6,7.1
0.053953,436.5,59.8,1879.5,417.2,2579.2,197.2,573,1415.5,2275.3,184.8,81.6,9
0.055953,440.2,63.1,1892.7,365.6,2604.1,209.2,572.2,1419.6,2277.5,185.1,81.5,10.8
0.057953,439.6,65.4,1895.3,366.6,2625.7,232.5,571.4,1423.9,2279.8,185.3,81.3,12.7
0.059953,439.4,65.4,1891.2,406.3,2639.9,270.9,570.6,1428.5,2282.3,185.6,81.2,14.6
0.061953,442.5,65.8,1889.0,461.6,2642.1,340.8,569.7,1433.4,2284.9,185.9,81.1,16.3
0.063953,448.7,68.2,1900.7,509.3,2617.2,447.7,568.8,1438.5,2287.7,186.2,81.1,17.8
0.065953,457.2,71.6,1919.4,541.8,2550.0,508.9,567.8,1443.8,2290.6,186.4,81.2,18.8
0.067953,466.4,73.9,1911.9,552.2,2496.9,426.4,566.8,1449.4,2293.6,186.7,81.2,19.7
0.069953,474.2,75.1,1878.9,535.8,2486.8,312.1,565.7,1455.1,2296.7,186.9,81.3,20.2
0.071953,480.7,76.6,1841.2,514.2,2493.1,234.5,564.6,1461.1,2299.9,187.2,81.3,20.5
