time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025438,462.3,131.4,712.7,40.6,2315.2,661.4,603.7,1208.1,2100.9,285,66.7,-169.8
0.027438,462.1,179.0,718.9,75.7,2404.4,563.2,603.6,1208.1,2100.8,283.7,69.7,-125.2
0.029438,498.4,188.6,733.7,143.8,2460.8,486.3,603.5,1208,2100.7,282.3,72.5,-75.9
0.031438,523.4,148.0,763.2,187.3,2479.5,444.9,603.5,1207.9,2100.5,280.8,74.9,-31.2
0.033438,528.0,121.0,785.4,190.8,2474.8,435.2,603.3,1207.7,2100.3,279.1,76.9,-0.6
0.035438,525.4,108.3,796.4,187.3,2458.7,444.4,603.2,1207.6,2100,277.4,78.6,13
0.037438,518.8,101.0,801.6,195.1,2425.7,479.3,603,1207.4,2099.7,275.5,80,15.7
0.039438,513.2,90.1,808.0,223.1,2372.6,570.5,602.8,1207.2,2099.4,273.5,81.2,12.1
0.041438,517.6,68.3,841.6,258.0,2315.8,754.0,602.6,1206.9,2099,271.4,82.4,6.8
0.043438,529.6,47.2,906.1,257.2,2220.9,893.2,602.3,1206.6,2098.5,269.1,83.4,4.4
0.045438,542.1,36.5,953.3,219.6,2201.1,842.2,602.1,1206.3,2098,266.8,84.4,4.7
0.047438,554.7,32.0,982.9,176.6,2252.6,725.4,601.8,1205.9,2097.5,264.4,85.1,4.6
0.049438,567.6,29.9,1002.6,135.4,2292.8,551.3,601.4,1205.6,2096.9,261.9,85.5,4.4
0.051438,581.0,28.2,1017.0,100.6,2304.0,408.3,601.1,1205.2,2096.2,259.3,85.7,4.2
0.053438,594.6,27.0,1029.8,77.6,2307.4,322.6,600.7,1204.7,2095.5,256.7,85.7,4.4
0.055438,607.0,26.7,1042.8,67.1,2313.9,294.5,600.3,1204.3,2094.8,254.1,85.5,4.8
0.057438,618.9,25.6,1056.3,63.0,2326.2,327.0,599.8,1203.8,2094,251.5,85.3,5.3
0.059438,628.2,20.7,1065.9,55.7,2344.5,474.4,599.4,1203.3,2093.2,248.8,85.2,6
0.061438,633.7,14.7,1071.6,43.6,2197.7,686.1,598.9,1202.7,2092.4,246.3,85.4,6.8
0.063438,636.8,11.4,1075.1,34.8,2127.9,588.5,598.4,1202.1,2091.5,243.7,85.7,7.8
0.065438,639.4,10.3,1077.6,31.3,2126.4,551.9,597.9,1201.5,2090.5,241.3,86,8.9
0.067438,642.3,10.6,1080.9,31.4,2138.4,582.1,597.3,1200.9,2089.6,238.9,86.3,10.3
0.069438,645.2,12.0,1086.8,35.2,2153.6,666.0,596.7,1200.2,2088.5,236.6,86.4,11.7
0.071438,647.6,14.6,1097.3,42.5,2173.0,751.6,596.1,1199.5,2087.5,234.5,86.3,13.1
0.073438,649.2,18.1,1115.0,52.0,2166.8,776.8,595.5,1198.8,2086.4,232.4,86.2,14.2
0.075438,649.9,21.7,1138.7,60.6,2108.6,791.0,594.8,1198.1,2085.3,230.6,85.8,14.9
0.077438,650.4,25.3,1166.9,65.8,2031.4,794.8,594.2,1197.3,2084.1,228.8,85.4,15.4
0.079438,651.5,29.1,1192.0,64.5,1995.5,752.2,593.4,1196.5,2082.9,227.2,85,15.9
0.081438,653.5,33.3,1210.2,59.6,1990.2,705.7,592.7,1195.7,2081.6,225.8,84.6,16.3
0.083438,655.4,37.0,1221.6,55.6,1973.2,697.3,592,1194.9,2080.4,224.6,84.2,16.8
0.085438,656.0,38.9,1227.8,54.3,1924.0,736.2,591.2,1194,2079.1,223.4,83.8,17.5
0.087438,655.1,39.4,1231.7,56.4,1826.8,796.6,590.4,1193.1,2077.7,222.5,83.5,18.5
0.089438,654.2,40.1,1235.0,60.0,1725.2,802.8,589.6,1192.2,2076.4,221.7,83.2,19.3
0.091438,654.7,42.7,1239.2,62.0,1677.3,788.6,588.7,1191.3,2075,221,82.9,20
0.093438,656.8,48.0,1245.0,62.7,1654.0,806.1,587.9,1190.3,2073.5,220.4,82.7,20.2
0.095438,659.6,54.2,1251.7,63.7,1616.2,838.3,587,1189.3,2072.1,220,82.5,19.8
0.097438,662.9,60.0,1260.1,64.0,1567.0,862.0,586.1,1188.3,2070.6,219.7,82.3,18.8
0.099438,666.2,63.6,1269.4,60.5,1546.2,886.7,585.2,1187.3,2069.1,219.5,82.2,17.6
0.101438,669.4,64.8,1278.6,53.0,1573.6,928.0,584.2,1186.2,2067.6,219.4,82.2,16.5
0.103438,672.3,64.2,1286.7,44.3,1635.6,951.0,583.3,1185.2,2066,219.4,82.2,15.9
0.105438,674.3,62.2,1292.4,36.9,1699.2,921.3,582.3,1184.1,2064.5,219.4,82.2,15.8
0.107438,675.9,58.8,1296.4,30.1,1763.1,824.7,581.3,1183,2062.9,219.5,82.3,16.1
