time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025937,476.0,126.9,504.9,973.2,1595.6,186.0,761.2,1470.8,2375.7,202.9,73.3,17.1
0.027937,495.1,130.7,516.1,950.9,1591.4,141.1,761.1,1471.1,2375.7,202.9,74.1,19.2
0.029937,464.5,1125.5,515.9,119.3,1583.9,104.1,760.8,1471.5,2375.8,202.8,74.8,15
0.031937,225.5,1546.4,531.8,101.3,1578.9,81.1,760.4,1472.1,2375.9,202.7,75.4,9.2
0.033937,540.4,89.8,1577.7,68.2,2663.5,95.9,760,1472.8,2376,202.6,75.9,6.7
0.035937,547.3,83.7,1578.5,60.6,2639.1,96.6,759.4,1473.7,2376.1,202.5,76.3,7.9
0.037937,555.5,80.9,1579.4,58.2,2619.8,95.3,758.7,1474.7,2376.3,202.4,76.8,9.4
0.039937,565.5,79.1,1580.0,60.7,2613.7,96.1,757.9,1475.9,2376.5,202.3,77.3,10.9
0.041937,577.9,75.1,1579.5,66.7,2626.3,105.9,757,1477.3,2376.7,202.2,78,12.1
0.043937,591.6,67.3,1577.7,70.7,2656.1,128.6,756,1478.8,2376.9,202,78.9,12.4
0.045937,608.0,55.7,1576.5,69.2,2704.4,153.2,754.9,1480.5,2377.1,201.9,80,11.8
0.047937,624.2,44.0,1577.1,66.9,2744.9,117.1,753.7,1482.3,2377.4,201.8,81.1,10.2
0.049937,636.8,36.4,1578.1,67.3,2621.3,1411.5,752.5,1484.3,2377.7,201.6,82.2,8.4
0.051937,646.5,33.4,1578.5,70.5,2425.3,1736.7,751.1,1486.4,2378,201.5,83.2,6.7
0.053937,653.4,34.7,1578.2,75.0,2214.9,2165.4,749.6,1488.7,2378.4,201.4,84,5.7
0.055937,661.2,39.5,1577.8,79.4,1821.8,2638.6,748,1491.1,2378.8,201.2,84.6,5.4
0.057937,673.0,46.7,1405.1,2547.2,1577.2,81.9,746.3,1493.7,2379.1,201.1,85.1,5.4
0.059937,689.7,53.3,1319.3,2653.4,1576.2,82.3,744.5,1496.5,2379.6,200.9,85.4,5.7
0.061937,711.5,56.3,1574.4,81.6,1732.8,3037.2,742.7,1499.3,2380,200.8,85.7,6.3
0.063937,732.0,53.9,1572.6,81.0,2116.8,2538.9,740.7,1502.4,2380.5,200.6,85.9,7.2
0.065937,749.0,48.4,1571.3,82.6,2288.0,2049.5,738.7,1505.5,2380.9,200.5,86.1,8.6
0.067937,760.4,43.4,1570.6,88.0,2354.3,1724.7,736.6,1508.8,2381.4,200.3,86.2,10.4
0.069937,767.4,39.8,1570.2,95.1,2374.9,1507.1,734.4,1512.3,2382,200.2,86.4,12.5
0.071937,772.3,36.7,1569.7,100.3,2383.5,1313.1,732.1,1515.9,2382.5,200.1,86.6,14.4
0.073937,775.6,33.7,1569.1,100.0,2391.5,1142.5,729.7,1519.6,2383.1,199.9,86.7,16
0.075937,778.1,30.6,1568.4,95.3,2396.9,982.4,727.2,1523.5,2383.7,199.8,86.9,17.2
0.077937,779.8,28.1,1566.7,90.2,2394.6,852.3,724.7,1527.4,2384.3,199.7,87,18.2
0.079937,780.9,26.5,1564.4,87.1,2389.3,766.6,722.1,1531.6,2384.9,199.6,87.1,19
0.081937,781.7,25.7,1562.0,86.8,2387.2,724.6,719.4,1535.8,2385.6,199.5,87.1,19.7
0.083937,782.0,25.8,1560.1,89.2,2387.0,725.0,716.6,1540.2,2386.2,199.4,87.1,20.4
0.085937,781.8,26.3,1558.2,93.1,2381.6,743.5,713.8,1544.6,2386.9,199.3,87.1,21.2
0.087937,781.2,27.0,1556.0,95.7,2371.0,746.7,710.9,1549.2,2387.6,199.2,87,22
0.089937,780.5,27.6,1555.1,95.4,2365.4,729.5,708,1554,2388.4,199.1,86.9,22.7
0.091937,779.9,28.3,1557.2,93.5,2370.3,719.0,705,1558.8,2389.1,199,86.8,23.3
0.093937,779.3,28.8,1562.2,90.9,2382.5,734.5,701.9,1563.7,2389.9,199,86.7,23.5
0.095937,778.7,29.1,1568.7,86.9,2397.9,778.1,698.8,1568.8,2390.7,198.9,86.5,23.3
0.097937,778.2,29.1,1574.4,81.4,2412.8,849.2,695.6,1573.9,2391.5,198.9,86.4,22.9
0.099937,777.8,29.0,1578.2,74.8,2429.9,940.3,692.4,1579.2,2392.3,198.8,86.3,22.2
0.101937,777.2,29.1,1581.4,66.8,2464.8,1039.9,689.1,1584.5,2393.2,198.8,86.1,21.6
0.103937,776.4,29.3,1584.2,59.0,2523.6,1095.0,685.7,1590,2394,198.8,86,21
0.105937,775.1,29.5,1587.2,53.0,2591.9,1079.1,682.4,1595.5,2394.9,198.8,85.8,20.5
0.107937,773.2,30.1,1590.9,51.1,2635.6,1012.9,679,1601.2,2395.8,198.8,85.7,20.1
0.109937,770.8,31.0,1594.6,52.7,2653.2,940.7,675.5,1606.9,2396.7,198.8,85.6,19.7
0.111937,767.8,32.2,1598.5,56.4,2664.3,879.7,672,1612.7,2397.7,198.8,85.5,19.2
0.113937,764.5,33.8,1602.4,60.7,2676.9,846.9,668.5,1618.6,2398.6,198.8,85.4,18.5
0.115937,760.3,36.3,1608.8,66.6,2688.2,841.8,665,1624.5,2399.6,198.9,85.3,17.6
0.117937,755.3,40.5,1619.4,74.8,2689.6,861.4,661.4,1630.5,2400.5,198.9,85.2,16.7
0.119937,749.5,46.7,1632.8,83.8,2684.8,887.3,657.8,1636.6,2401.5,199,85,15.6
0.121937,741.9,55.7,1645.9,92.7,2682.6,911.2,654.2,1642.8,2402.5,199,84.8,14.4
0.123937,732.5,66.8,1654.1,101.0,2681.4,940.4,650.6,1649,2403.5,199.1,84.5,13.3
0.125937,719.0,79.7,1658.7,110.8,2670.4,984.4,646.9,1655.3,2404.6,199.2,84.2,12
0.127937,702.5,91.5,1661.6,120.7,2647.7,1017.4,643.3,1661.7,2405.6,199.3,83.7,10.7
0.129937,686.6,101.2,1664.0,127.9,2629.4,1011.1,639.6,1668,2406.7,199.4,83,9.3
0.131937,672.3,114.4,1665.6,133.5,2626.8,990.4,636,1674.5,2407.7,199.5,82.2,8.1
0.133937,660.0,136.8,1664.3,139.5,2636.5,1004.7,632.3,1681,2408.8,199.7,81.2,7
0.135937,645.8,175.5,1659.7,146.6,2654.2,1035.4,628.7,1687.5,2409.9,199.8,80.1,5.9
0.137937,630.6,224.0,1654.9,152.6,2653.1,954.0,625,1694,2411,200,78.9,4.9
0.139937,616.4,260.9,1652.8,162.4,2587.5,818.3,621.3,1700.6,2412.1,200.1,77.7,4
0.141937,602.4,274.6,1653.3,187.6,2513.5,724.5,617.7,1707.2,2413.3,200.2,76.8,3.5
0.143937,593.3,265.4,1653.9,229.6,2470.7,629.0,614.1,1713.9,2414.4,200.4,76.1,3.6
