time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025266,430.5,272.0,565.2,150.4,1548.5,323.1,561.1,1571,2068.1,0,75,1
0.027266,448.0,259.5,583.6,170.3,1563.7,283.5,561.1,1571.1,2068.2,0,75.1,13.6
0.029266,490.3,218.0,634.8,246.2,1589.9,247.1,561.1,1571.2,2068.4,0,75.1,14.8
0.031266,550.0,176.7,707.1,369.4,1621.1,242.5,561.2,1571.3,2068.7,0,75.1,9.7
0.033266,597.1,119.0,814.8,556.2,1659.2,272.3,561.3,1571.4,2069,0,75.2,3.1
0.035266,617.2,87.7,958.7,677.1,1706.4,311.7,561.4,1571.5,2069.4,0,75.5,0
0.037266,626.3,76.2,1074.0,692.4,1751.2,335.4,561.5,1571.7,2069.9,0,75.9,0.7
0.039266,631.6,75.0,1145.1,682.7,1791.6,343.6,561.6,1572,2070.5,189.7,76.3,1.7
0.041266,634.3,83.9,1172.1,680.3,1823.1,334.4,561.7,1572.2,2071.1,189.4,76.7,2.9
0.043266,637.3,102.8,1162.8,653.5,1845.1,311.5,561.9,1572.5,2071.8,189.1,77.1,4
0.045266,645.6,125.7,1143.1,597.8,1859.7,291.8,562.1,1572.8,2072.6,188.7,77.5,4.8
0.047266,659.2,140.2,1138.9,554.8,1871.8,285.2,562.3,1573.1,2073.4,188.4,77.9,5
0.049266,674.0,145.8,1154.5,530.2,1890.8,282.8,562.5,1573.5,2074.4,188,78.3,4.9
0.051266,685.4,149.7,1181.6,512.4,1918.7,270.1,562.7,1573.9,2075.4,187.7,78.6,4.8
0.053266,693.2,158.1,1207.3,491.3,1948.2,242.0,563,1574.3,2076.4,187.3,78.9,4.9
0.055266,698.2,170.0,1224.7,470.3,1971.0,210.6,563.2,1574.7,2077.6,187,79.1,5.6
0.057266,700.1,178.9,1233.4,454.7,1985.2,187.6,563.5,1575.2,2078.8,186.7,79.4,7.1
0.059266,699.1,181.9,1237.6,444.3,1993.8,171.1,563.8,1575.7,2080.1,186.4,79.6,9.4
0.061266,696.8,181.7,1241.6,448.2,1998.5,160.8,564.1,1576.3,2081.4,186.1,79.7,11.8
0.063266,694.9,183.4,1250.1,476.1,1999.7,157.5,564.4,1576.8,2082.8,185.8,79.9,14
0.065266,694.2,187.7,1267.3,528.9,1996.9,160.1,564.7,1577.4,2084.3,185.6,80,15.6
0.067266,694.2,192.0,1292.1,593.2,1991.2,165.5,565.1,1578,2085.9,185.3,80.1,16.4
0.069266,694.0,194.7,1322.3,662.4,1984.0,170.6,565.5,1578.6,2087.5,185.1,80.2,16.7
0.071266,693.6,195.4,1350.7,726.5,1975.9,173.0,565.8,1579.3,2089.2,184.9,80.2,16.8
0.073266,692.6,195.9,1374.3,790.3,1966.8,172.3,566.2,1580,2091,184.8,80.2,16.5
0.075266,690.3,197.2,1396.7,865.4,1957.9,169.2,566.6,1580.7,2092.8,184.6,80.3,16.2
0.077266,686.0,197.8,1427.7,948.9,1950.9,165.7,567.1,1581.4,2094.7,184.5,80.3,15.7
0.079266,677.4,196.0,1484.1,1031.9,1944.5,164.3,567.5,1582.2,2096.7,184.4,80.2,15
0.081266,663.5,189.9,1564.2,1085.6,1937.9,166.6,567.9,1583,2098.7,184.3,80.1,14.1
0.083266,645.8,179.1,1644.9,1116.1,1929.9,169.6,568.4,1583.8,2100.8,184.3,80,13.1
0.085266,627.2,165.8,1693.4,1151.2,1923.0,166.9,568.9,1584.6,2103,184.3,79.8,12.1
0.087266,610.5,154.6,1693.1,1193.2,1920.9,157.6,569.4,1585.5,2105.2,184.3,79.4,10.8
0.089266,593.7,148.1,1654.1,1239.9,1923.9,143.0,569.9,1586.4,2107.5,184.3,79,9.3
0.091266,574.7,150.1,1592.3,1301.2,1929.5,126.6,570.4,1587.3,2109.8,184.3,78.4,7.7
0.093266,548.0,158.3,1510.5,1370.4,1935.7,114.8,570.9,1588.2,2112.2,184.4,77.8,6.4
0.095266,515.2,159.8,1467.0,1427.7,1941.9,118.8,571.4,1589.1,2114.7,184.5,77.2,5.7
0.097266,495.5,148.5,1623.5,1467.7,1945.6,162.9,572,1590.1,2117.2,184.6,76.7,5.4
0.099266,495.8,131.7,1875.5,970.7,1934.3,344.3,572.5,1591.1,2119.7,184.7,76.4,5.5
0.101266,503.7,114.9,1733.5,415.5,2133.2,548.2,573.1,1592.1,2122.4,184.9,76.2,5.9
0.103266,508.8,101.3,1690.1,348.8,2153.9,444.4,573.7,1593.1,2125.1,185,76.2,6.6
0.105266,510.4,91.2,1686.3,356.5,2120.5,376.6,574.2,1594.1,2127.8,185.2,76.2,7.6
0.107266,509.0,84.5,1702.6,408.4,2084.1,349.3,574.8,1595.2,2130.6,185.4,76.2,9
0.109266,505.4,80.5,1745.0,499.8,2041.4,354.3,575.4,1596.3,2133.5,185.6,76.3,11
0.111266,501.5,79.2,1808.8,629.8,1984.9,343.9,576,1597.4,2136.4,185.8,76.3,13.2
0.113266,499.3,79.7,1850.3,804.5,1951.9,274.6,576.6,1598.5,2139.3,186,76.3,15
0.115266,501.4,80.0,1882.7,916.6,1950.5,226.5,577.3,1599.6,2142.3,186.2,76.4,16.2
0.117266,508.5,77.7,1937.0,969.0,1960.9,198.2,577.9,1600.8,2145.4,186.5,76.5,16.6
0.119266,519.8,69.6,1977.4,175.4,2022.7,972.8,578.5,1601.9,2148.5,186.8,76.7,16.5
0.121266,531.0,56.4,1983.6,156.6,2138.2,849.7,579.2,1603.1,2151.6,187,77,16
0.123266,539.6,44.5,1965.4,126.7,2243.6,619.2,579.8,1604.3,2154.8,187.3,77.4,15.3
0.125266,545.9,38.3,1945.5,88.5,2295.1,457.1,580.5,1605.5,2158,187.6,77.9,14.5
0.127266,550.4,36.3,1937.0,65.7,2314.7,392.4,581.1,1606.7,2161.3,187.9,78.5,13.4
0.129266,553.5,36.2,1937.9,54.6,2325.9,377.6,581.8,1607.9,2164.6,188.3,79,11.9
0.131266,554.7,37.0,1944.9,51.4,2338.4,386.6,582.5,1609.2,2168,188.6,79.5,10.3
0.133266,554.8,38.5,1954.0,53.9,2356.6,395.5,583.1,1610.4,2171.4,189,79.9,8.9
0.135266,554.4,40.3,1962.6,65.0,2372.9,390.0,583.8,1611.7,2174.8,189.3,80.2,8
0.137266,554.1,41.9,1969.7,92.7,2375.2,371.3,584.5,1612.9,2178.3,189.7,80.3,7.6
0.139266,553.7,43.5,1975.2,167.5,2356.2,338.1,585.2,1614.2,2181.8,190.1,80.4,7.5
0.141266,552.3,45.1,1966.1,361.9,2320.2,266.0,585.8,1615.5,2185.4,190.5,80.4,7.7
0.143266,549.8,46.2,1894.3,681.8,2309.6,166.0,586.5,1616.8,2188.9,191,80.4,8.1
0.145266,548.2,45.3,1823.5,915.3,2315.3,125.1,587.2,1618.1,2192.5,191.4,80.4,8.7
0.147266,548.8,43.6,1840.3,1004.5,2318.7,121.5,587.9,1619.4,2196.2,191.9,80.3,9.8
0.149266,550.8,41.9,1912.4,1018.4,2321.9,131.1,588.6,1620.7,2199.9,192.4,80.2,11.3
0.151266,553.2,40.9,1979.8,998.2,2325.5,143.1,589.3,1622,2203.6,192.9,80.1,12.9
0.153266,555.4,41.0,2015.9,992.4,2328.3,151.3,589.9,1623.3,2207.3,193.4,79.9,14.2
0.155266,557.3,42.5,2025.0,1031.6,2329.2,153.0,590.6,1624.7,2211.1,193.9,79.7,14.8
0.157266,559.2,44.7,2023.3,1115.9,2328.8,150.5,591.3,1626,2214.8,194.5,79.3,14.5
0.159266,561.4,46.9,2027.7,1243.5,2329.1,148.2,592,1627.3,2218.7,195.1,79,13.5
0.161266,564.4,48.8,2046.7,1388.2,2331.2,151.9,592.6,1628.7,2222.5,195.6,78.5,12.1
0.163266,568.5,50.6,2069.8,1509.8,2336.6,167.7,593.3,1630,2226.3,196.2,78.1,10.9
