file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35
andalusian_match_declarative-broad-focus_Ana-lleva-el-abrigo,201.5,1.296,*,1,Blue,1,5750,985,1667,2879,509,1818,2720,561,1656,2747,428,1791,2857,561,1704,2763
andalusian_match_declarative-broad-focus_Daniel-iba-a-Bolivia,192.4,1.41,*,1,Green,2,5900,818,2154,3019,534,2017,2966,468,2423,2977,498,1202,2800,352,2186,2830
andalusian_match_declarative-broad-focus_David-leia-el-libro,198,1.378,*,1,Magenta,3,6200,642,1936,2899,413,2488,3024,444,2501,3081,361,2094,2887,684,1882,2904
andalusian_match_declarative-broad-focus_Emilio-ama-la-marcha,222.1,1.216,*,1,Black,4,4700,423,1748,2627,562,1272,2489,516,1116,1720,582,1229,1830,879,1786,2561
andalusian_match_declarative-broad-focus_Manuela-vende-el-carro,193.4,1.194,*,1,Lime,5,5900,768,1696,2758,561,1716,2727,522,1931,2748,494,1905,2786,903,1698,2511
andalusian_match_declarative-broad-focus_Maria-bebe-el-vino,181.8,1.056,*,1,Purple,6,6050,746,1783,2813,538,1874,2803,444,2017,2787,340,2247,2797,312,1627,2840
andalusian_match_declarative-broad-focus_Mariano-habla-del-tiempo,197.2,1.522,*,1,Teal,7,4700,597,1442,2133,508,1194,1970,661,1174,1864,407,1748,2521,465,1391,2499
andalusian_match_declarative-broad-focus_Marta-abre-el-regalo,197.1,1.338,*,1,Navy,8,5900,766,1590,2711,794,1651,2552,505,1482,2668,540,1643,2474,437,1549,2641
andalusian_match_declarative-narrow-focus_Ana-lleva-el-abrigo,176.2,1.236,*,1,Pink,9,6050,843,1952,2943,711,2011,3108,521,1671,2640,410,2149,2853,907,2156,3180
andalusian_match_declarative-narrow-focus_Daniel-iba-a-Bolivia,189.7,1.26,*,1,Maroon,10,7550,1208,2552,3581,479,2188,2951,550,1329,2802,391,2511,2807,695,2320,3336
