participant,effect,q_type,estimate,se,lextale_std,eq_std,q_sum
558aab19fdf99b65685f0142,boundary_separation,yn,2.058877755,0.26344889146553113,-0.2901273504361474,2.039659902690908,1
558aab19fdf99b65685f0142,boundary_separation,wh,1.4603408245,0.2292717002596781,-0.2901273504361474,2.039659902690908,-1
558aab19fdf99b65685f0142,drift_rate,yn,1.321095852,0.06625852777870028,-0.2901273504361474,2.039659902690908,1
558aab19fdf99b65685f0142,drift_rate,wh,1.3060372725,0.04001062485295382,-0.2901273504361474,2.039659902690908,-1
55ce148b34e9060012e56279,boundary_separation,yn,1.598493207,0.21489787222412507,-0.7326944951692537,-0.5145057963736599,1
55ce148b34e9060012e56279,boundary_separation,wh,2.433959325,0.43151980832562375,-0.7326944951692537,-0.5145057963736599,-1
55ce148b34e9060012e56279,drift_rate,yn,1.3632051915,0.06461108981658235,-0.7326944951692537,-0.5145057963736599,1
55ce148b34e9060012e56279,drift_rate,wh,0.63796482155,0.13937275863869147,-0.7326944951692537,-0.5145057963736599,-1
5630246f733ea0000f1633dd,boundary_separation,yn,1.387245348,0.18875564093371633,-0.2901273504361474,0.3869644503550112,1
5630246f733ea0000f1633dd,boundary_separation,wh,0.9839539765,0.12616256976171017,-0.2901273504361474,0.3869644503550112,-1
5630246f733ea0000f1633dd,drift_rate,yn,1.308778437,0.04974034328187664,-0.2901273504361474,0.3869644503550112,1
5630246f733ea0000f1633dd,drift_rate,wh,1.29702818,0.021302819006798566,-0.2901273504361474,0.3869644503550112,-1
5658000ca9872d0011e1ba26,boundary_separation,yn,1.98441886,0.25415174909704036,-0.3638885412249985,1.0630671354015144,1
5658000ca9872d0011e1ba26,boundary_separation,wh,2.45666306,0.3304353332925831,-0.3638885412249985,1.0630671354015144,-1
5658000ca9872d0011e1ba26,drift_rate,yn,1.675359595,0.08804944653325415,-0.3638885412249985,1.0630671354015144,1
5658000ca9872d0011e1ba26,drift_rate,wh,1.582643104,0.17389573424815813,-0.3638885412249985,1.0630671354015144,-1
565a4547c51d43000587507d,boundary_separation,yn,1.811165745,0.22318234932240835,1.3326188469185754,0.46208697091573375,1
565a4547c51d43000587507d,boundary_separation,wh,3.72011838,0.8145353878597378,1.3326188469185754,0.46208697091573375,-1
565a4547c51d43000587507d,drift_rate,yn,1.273839266,0.08040795152175068,1.3326188469185754,0.46208697091573375,1
565a4547c51d43000587507d,drift_rate,wh,1.31135611,0.030715224486816597,1.3326188469185754,0.46208697091573375,-1
56e6a66af6ed900006a5867c,boundary_separation,yn,2.303887345,0.3283118147038544,-0.8064556859581047,-0.2140157141307695,1
56e6a66af6ed900006a5867c,boundary_separation,wh,1.669822895,0.1991184593665269,-0.8064556859581047,-0.2140157141307695,-1
56e6a66af6ed900006a5867c,drift_rate,yn,1.7144839395,0.15543136573035457,-0.8064556859581047,-0.2140157141307695,1
56e6a66af6ed900006a5867c,drift_rate,wh,1.7832791,0.055980987373068294,-0.8064556859581047,-0.2140157141307695,-1
5727aecae386b9000f4000cd,boundary_separation,yn,1.617761335,0.22276394937520388,-0.3638885412249985,-0.13889319357004692,1
5727aecae386b9000f4000cd,boundary_separation,wh,0.9212995225,0.11850807350638855,-0.3638885412249985,-0.13889319357004692,-1
5727aecae386b9000f4000cd,drift_rate,yn,1.2986874915,0.06491804630015942,-0.3638885412249985,-0.13889319357004692,1
5727aecae386b9000f4000cd,drift_rate,wh,1.4456509849999999,0.017338939393440986,-0.3638885412249985,-0.13889319357004692,-1
57901207c9abeb0001af353e,boundary_separation,yn,1.69103237,0.25161121653460944,-0.5114109228027005,2.1899049438123535,1
57901207c9abeb0001af353e,boundary_separation,wh,2.00567697,0.2505774371527176,-0.5114109228027005,2.1899049438123535,-1
57901207c9abeb0001af353e,drift_rate,yn,1.568282061,0.06961475841967128,-0.5114109228027005,2.1899049438123535,1
57901207c9abeb0001af353e,drift_rate,wh,1.612031819,0.09828206010043253,-0.5114109228027005,2.1899049438123535,-1
5844812dc5bc3a0001a4d553,boundary_separation,yn,1.98663994,0.2505596545007359,-0.21636615964729636,-0.2891382346914921,1
5844812dc5bc3a0001a4d553,boundary_separation,wh,2.27488713,0.37132397141045864,-0.21636615964729636,-0.2891382346914921,-1
5844812dc5bc3a0001a4d553,drift_rate,yn,0.7697366055,0.0674121763945431,-0.21636615964729636,-0.2891382346914921,1
5844812dc5bc3a0001a4d553,drift_rate,wh,0.492075923,0.10544995756824804,-0.21636615964729636,-0.2891382346914921,-1
588e3172bc9f190001487eb8,boundary_separation,yn,1.2916156455,0.17085608973158964,0.004917412719256751,-0.664750837495105,1
588e3172bc9f190001487eb8,boundary_separation,wh,1.4372996905,0.199436465113136,0.004917412719256751,-0.664750837495105,-1
588e3172bc9f190001487eb8,drift_rate,yn,1.288386755,0.04185883910508732,0.004917412719256751,-0.664750837495105,1
588e3172bc9f190001487eb8,drift_rate,wh,1.198549837,0.050825009178429324,0.004917412719256751,-0.664750837495105,-1
58a5cf959e040a0001399f07,boundary_separation,yn,1.394890418,0.18734128745393985,-0.5851721135915515,2.039659902690908,1
58a5cf959e040a0001399f07,boundary_separation,wh,1.4056869375,0.2226905376441121,-0.5851721135915515,2.039659902690908,-1
58a5cf959e040a0001399f07,drift_rate,yn,1.242253042,0.04713092725171062,-0.5851721135915515,2.039659902690908,1
58a5cf959e040a0001399f07,drift_rate,wh,1.186533914,0.04115437469107885,-0.5851721135915515,2.039659902690908,-1
58f0fca0d40252000192f201,boundary_separation,yn,1.61356707,0.25403553609055074,-0.3638885412249985,0.3118419297942886,1
58f0fca0d40252000192f201,boundary_separation,wh,1.4694337,0.1950252643848591,-0.3638885412249985,0.3118419297942886,-1
