item_num,item,is_test_item,is_distractor,is_agree_score,is_disagree_score,eq_trials.thisRepN,eq_trials.thisTrialN,eq_trials.thisN,eq_trials.thisIndex,text_eq_question_trial.started,text_eq_question_trial.stopped,slider_eq_trial.response,participant,session,date,expName,psychopyVersion,frameRate,
1,I can easily tell if someone else wants to enter a conversation.,1,0,1,0,0,0,0,0,7.608792168961372,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
2,I prefer animals to humans.,0,1,0,0,0,1,1,1,13.732150213967543,None,strongly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
3,I try to keep up with the current trends and fashions.,0,1,0,0,0,2,2,2,17.731901980994735,None,strongly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
4,"I find it difficult to explain to others things that I understand easily, 
  when they don’t understand it first time.",1,0,0,1,0,3,3,3,20.465432649012655,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
5,I dream most nights.,0,1,0,0,0,4,4,4,26.381614696991164,None,slightly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
6,I really enjoy caring for other people.,1,0,1,0,0,5,5,5,28.498310577997472,None,strongly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
7,I try to solve my own problems rather than discussing them with others.,0,1,0,0,0,6,6,6,34.031494425958954,None,strongly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
8,I find it hard to know what to do in a social situation.,1,0,0,1,0,7,7,7,36.54770441696746,None,slightly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
9,I am at my best first thing in the morning.,0,1,0,0,0,8,8,8,39.78124201699393,None,strongly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
10,"People often tell me that I went too far in driving my point home in a 
  discussion.",1,0,0,1,0,9,9,9,43.080938589992,None,slightly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
11,It doesn’t bother me too much if I am late meeting a friend.,1,0,0,1,0,10,10,10,49.8643625699915,None,strongly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
12,"Friendships and relationships are just too difficult, so I tend not to 
  bother with them.",1,0,0,1,0,11,11,11,54.19729311496485,None,slightly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
13,"I would never break a law, no matter how minor.",0,1,0,0,0,12,12,12,58.946821323013864,None,slightly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
14,I often find it difficult to judge if something is rude or polite.,1,0,0,1,0,13,13,13,61.914138394000474,None,slightly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
15,"In a conversation, I tend to focus on my own thoughts rather than on what 
  my listener might be thinking.",1,0,0,1,0,14,14,14,66.84710664401064,None,slightly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
16,I prefer practical jokes to verbal humor.,0,1,0,0,0,15,15,15,74.14687930495711,None,slightly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
17,I live life for today rather than the future.,0,1,0,0,0,16,16,16,78.91345475899288,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
18,"When I was a child, I enjoyed cutting up worms to see what would happen.",1,0,0,1,0,17,17,17,82.91352427599486,None,strongly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
19,I can pick up quickly if someone says one thing but means another.,1,0,1,0,0,18,18,18,89.04610093100928,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
20,I tend to have very strong opinions about morality.,0,1,0,0,0,19,19,19,94.39612796501024,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
21,It is hard for me to see why some things upset people so much.,1,0,0,1,0,20,20,20,98.39613362797536,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
22,I find it easy to put myself in somebody else’s shoes.,1,0,1,0,0,21,21,21,105.12934488098836,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
23,"I think that good manners are the most important thing a parent can teach 
  their child.",0,1,0,0,0,22,22,22,109.91247250098968,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
24,I like to do things on the spur of the moment.,0,1,0,0,0,23,23,23,115.39530061098048,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
25,I am good at predicting how someone will feel.,1,0,1,0,0,24,24,24,119.52895540400641,None,slightly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
26,"I am quick to spot when someone in a group is feeling awkward or 
  uncomfortable.",1,0,1,0,0,25,25,25,122.92882547801128,None,strongly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
27,"If I say something that someone else is offended by, I think that that’s 
  their problem, not mine.",1,0,0,1,0,26,26,26,128.1117541649728,None,slightly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
28,"If anyone asked me if I liked their haircut, I would reply truthfully, even 
  if I didn’t like it.",1,0,0,1,0,27,27,27,134.86156416800804,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
29,I can’t always see why someone should have felt offended by a remark.,1,0,0,1,0,28,28,28,140.4946389149991,None,slightly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
30,People often tell me that I am very unpredictable.,0,1,0,0,0,29,29,29,147.04438432096504,None,strongly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
31,I enjoy being the center of attention at any social gathering.,0,1,0,0,0,30,30,30,150.54453853098676,None,slightly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
32,Seeing people cry doesn’t really upset me.,1,0,0,1,0,31,31,31,153.62770940701012,None,slightly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
33,I enjoy having discussions about politics.,0,1,0,0,0,32,32,32,157.99407499301014,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
34,"I am very blunt, which some people take to be rudeness, even though this is 
  unintentional.",1,0,0,1,0,33,33,33,161.1774198510102,None,slightly disagree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
35,I don’t tend to find social situations confusing.,1,0,1,0,0,34,34,34,171.9939996599569,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
36,"Other people tell me I am good at understanding how they are feeling and 
  what they are thinking.",1,0,1,0,0,35,35,35,177.9106124700047,None,slightly agree,,001,2020_Oct_15_2324,empathy_intonation_perc,2020.2.4,59.870511114395775,
