instructions_2afc_loop.thisRepN,instructions_2afc_loop.thisTrialN,instructions_2afc_loop.thisN,instructions_2afc_loop.thisIndex,instructions_2afc_loop.ran,instructions_text,continue_text,participant,study_id,session,Tu variedad del español*,¿Hablas con fluidez otra lengua (sí/no)?*,date,expName,psychopyVersion,OS,frameRate,key_resp_2afc_practice.keys,key_resp_2afc_practice.corr,key_resp_2afc_practice.rt,trials_2afc_practice_loop.thisRepN,trials_2afc_practice_loop.thisTrialN,trials_2afc_practice_loop.thisN,trials_2afc_practice_loop.thisIndex,trials_2afc_practice_loop.ran,path,correct_response,the_col,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,item_num,andalusian,argentine,castilian,chilean,cuban,mexican,peruvian,puertorican
0,0,0,0,1,"En la siguiente tarea vas a escuchar una serie de frases cortas. 

  Vas a decidir si suenan como preguntas o no usando el teclado.",(presiona la barra espaciadora para continuar),5f4539491d5a4f0ce250990a,602ab2f3ccc37d12d58ba79b,602b60c9b88b072b46bd9a42,mexicano,sí,2021-02-16_00h06.41.806,empathy_intonation_perc_sp,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,"Si crees que el enunciado es una pregunta, teclea '1' (Sí) y si crees que 
  no es una pregunta teclea '0' (no).

  Vamos a practicar...",(presiona la barra espaciadora para continuar),5f4539491d5a4f0ce250990a,602ab2f3ccc37d12d58ba79b,602b60c9b88b072b46bd9a42,mexicano,sí,2021-02-16_00h06.41.806,empathy_intonation_perc_sp,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f4539491d5a4f0ce250990a,602ab2f3ccc37d12d58ba79b,602b60c9b88b072b46bd9a42,mexicano,sí,2021-02-16_00h06.41.806,empathy_intonation_perc_sp,2020.2.10,MacIntel,60,0,1,3.757475,0,0,0,6,1,./stim/wavs/peruvian_statement_filler_El-nino-habla-con-su-madre.wav,0,,,,,,,,,,,,,,,,,,
,,,,,,,5f4539491d5a4f0ce250990a,602ab2f3ccc37d12d58ba79b,602b60c9b88b072b46bd9a42,mexicano,sí,2021-02-16_00h06.41.806,empathy_intonation_perc_sp,2020.2.10,MacIntel,60,1,1,4.920375,0,1,1,2,1,./stim/wavs/chilean_question_filler_Mi-padre-cantaba-bien.wav,1,,,,,,,,,,,,,,,,,,
,,,,,,,5f4539491d5a4f0ce250990a,602ab2f3ccc37d12d58ba79b,602b60c9b88b072b46bd9a42,mexicano,sí,2021-02-16_00h06.41.806,empathy_intonation_perc_sp,2020.2.10,MacIntel,60,0,1,1.83563,0,2,2,4,1,./stim/wavs/cuban_statement_filler_Cocinabas-por-la-noche.wav,0,,,,,,,,,,,,,,,,,,
,,,,,,,5f4539491d5a4f0ce250990a,602ab2f3ccc37d12d58ba79b,602b60c9b88b072b46bd9a42,mexicano,sí,2021-02-16_00h06.41.806,empathy_intonation_perc_sp,2020.2.10,MacIntel,60,1,1,7.95203,0,3,3,1,1,./stim/wavs/argentine_question_filler_Mi-vecino-habla-mucho.wav,1,,,,,,,,,,,,,,,,,,
,,,,,,,5f4539491d5a4f0ce250990a,602ab2f3ccc37d12d58ba79b,602b60c9b88b072b46bd9a42,mexicano,sí,2021-02-16_00h06.41.806,empathy_intonation_perc_sp,2020.2.10,MacIntel,60,0,1,1.934695,0,4,4,5,1,./stim/wavs/andalusian_statement_filler_Alberto-nunca-se-afeita.wav,0,,,,,,,,,,,,,,,,,,
,,,,,,,5f4539491d5a4f0ce250990a,602ab2f3ccc37d12d58ba79b,602b60c9b88b072b46bd9a42,mexicano,sí,2021-02-16_00h06.41.806,empathy_intonation_perc_sp,2020.2.10,MacIntel,60,1,1,2.867985,0,5,5,0,1,./stim/wavs/castilian_question_filler_Mi-esposo-conoce-al-chico.wav,1,,,,,,,,,,,,,,,,,,
,,,,,,,5f4539491d5a4f0ce250990a,602ab2f3ccc37d12d58ba79b,602b60c9b88b072b46bd9a42,mexicano,sí,2021-02-16_00h06.41.806,empathy_intonation_perc_sp,2020.2.10,MacIntel,60,1,1,2.71934,0,6,6,3,1,./stim/wavs/mexican_question_filler_Felipe-no-tiene-contrasena.wav,1,,,,,,,,,,,,,,,,,,
,,,,,,,5f4539491d5a4f0ce250990a,602ab2f3ccc37d12d58ba79b,602b60c9b88b072b46bd9a42,mexicano,sí,2021-02-16_00h06.41.806,empathy_intonation_perc_sp,2020.2.10,MacIntel,60,0,1,1.985585,0,7,7,7,1,./stim/wavs/puertorican_statement_filler_La-nina-pinta-con-su-amiga.wav,0,,,,,,,,,,,,,,,,,,
