1.3236 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
21.0939 	INFO 	Loaded monitor calibration from ['2019_11_06 10:16']
23.7103 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

23.7124 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([1., 1., 1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x137d439e8>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x115b37400>, multiSample=False, name='window1', numSamples=2, pos=[195.0, 75.0], screen=0, size=array([1050,  750]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
23.7128 	EXP 	window1: mouseVisible = True
23.7129 	EXP 	window1: recordFrameIntervals = False
23.8943 	EXP 	window1: recordFrameIntervals = True
23.9446 	DEBUG 	Screen (0) actual frame rate measured at 61.16
23.9447 	EXP 	window1: recordFrameIntervals = True
24.2186 	EXP 	Created text_stim_stim_n = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='grey', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='text_stim_stim_n', opacity=1.0, ori=0, pos=array([-0.67, -0.47]), rgb=array([128., 128., 128.]), text='default text', units='height', win=Window(...), wrapWidth=1)
24.2261 	EXP 	Created text_stim_sentence_type = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='grey', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='text_stim_sentence_type', opacity=1.0, ori=0, pos=array([-0.57, -0.47]), rgb=array([128., 128., 128.]), text='default text', units='height', win=Window(...), wrapWidth=1)
24.2319 	EXP 	Created text_stim_condition = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='grey', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='text_stim_condition', opacity=1.0, ori=0, pos=array([ 0.  , -0.47]), rgb=array([128., 128., 128.]), text='default text', units='height', win=Window(...), wrapWidth=1)
24.2635 	EXP 	Created text_stim_prompt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, languageStyle='LTR', name='text_stim_prompt', opacity=1.0, ori=0, pos=array([0. , 0.3]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
24.2963 	EXP 	Created text_stim_sentence = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.09, italic=False, languageStyle='LTR', name='text_stim_sentence', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='default text', units='height', win=Window(...), wrapWidth=1)
24.3576 	EXP 	Created text_stim_stim_n = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='grey', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='text_stim_stim_n', opacity=1.0, ori=0, pos=array([-0.67, -0.47]), rgb=array([128., 128., 128.]), text='default text', units='height', win=Window(...), wrapWidth=1)
24.3614 	EXP 	Created text_stim_sentence_type = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='grey', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='text_stim_sentence_type', opacity=1.0, ori=0, pos=array([-0.57, -0.47]), rgb=array([128., 128., 128.]), text='default text', units='height', win=Window(...), wrapWidth=1)
24.3673 	EXP 	Created text_stim_condition = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='grey', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='text_stim_condition', opacity=1.0, ori=0, pos=array([ 0.  , -0.47]), rgb=array([128., 128., 128.]), text='default text', units='height', win=Window(...), wrapWidth=1)
24.3937 	EXP 	Created text_stim_prompt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, languageStyle='LTR', name='text_stim_prompt', opacity=1.0, ori=0, pos=array([0. , 0.3]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
24.4018 	EXP 	Created text_stim_sentence = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.09, italic=False, languageStyle='LTR', name='text_stim_sentence', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='default text', units='height', win=Window(...), wrapWidth=1)
24.4501 	DEBUG 	Read csv file with pandas: trials/stim_list.csv
24.4578 	DEBUG 	Clearing unnamed columns from trials/stim_list.csv
24.4672 	EXP 	Imported trials/stim_list.csv as conditions, 65 conditions, 6 params
24.4681 	EXP 	Created sequence: sequential, trialTypes=65, nReps=1, seed=None
24.4688 	EXP 	New trial (rep=0, index=0): OrderedDict([('stim_n', 0), ('sentence_type', ' '), ('condition', ' '), ('prompt', 'Instrucciones'), ('sentence', 'Por favor lea las siguientes frases.'), ('color', 'blue')])
24.5817 	WARNING 	t of last frame was 638.08ms (=1/1)
24.5817 	EXP 	text_stim_stim_n: text = 0
24.5817 	EXP 	text_stim_sentence_type: text = ' '
24.5817 	EXP 	text_stim_condition: text = ' '
24.5817 	EXP 	text_stim_prompt: color = 'blue (named)'
24.5817 	EXP 	text_stim_prompt: text = 'Instrucciones'
24.5817 	EXP 	text_stim_sentence: text = 'Por favor lea las siguientes frases.'
24.5817 	EXP 	text_stim_stim_n: autoDraw = True
24.5817 	EXP 	text_stim_sentence_type: autoDraw = True
24.5817 	EXP 	text_stim_condition: autoDraw = True
24.5817 	EXP 	text_stim_prompt: autoDraw = True
24.6442 	WARNING 	t of last frame was 62.49ms (=1/16)
24.6442 	EXP 	text_stim_sentence: autoDraw = True
24.7105 	WARNING 	t of last frame was 33.63ms (=1/29)
24.7427 	WARNING 	t of last frame was 32.20ms (=1/31)
24.7799 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
148.9268 	DATA 	Keypress: right
148.9412 	EXP 	New trial (rep=0, index=1): OrderedDict([('stim_n', 1), ('sentence_type', 'match'), ('condition', 'declarative_broad_focus'), ('prompt', ' '), ('sentence', 'Daniel iba a Bolivia.'), ('color', 'white')])
