Type,Variety,L2,Monolingual
Broad focus statement,Andalusian,"0.92 [0.90, 0.93]","0.98 [0.98, 0.99]"
Broad focus statement,Argentine,"0.93 [0.92, 0.94]","0.96 [0.95, 0.98]"
Broad focus statement,Chilean,"0.91 [0.90, 0.92]","0.96 [0.95, 0.98]"
Broad focus statement,Cuban,"0.97 [0.97, 0.98]","1.00 [0.99, 1.00]"
Broad focus statement,Madrileño,"0.96 [0.95, 0.97]","1.00 [1.00, 1.00]"
Broad focus statement,Mexican,"0.92 [0.90, 0.93]","0.99 [0.98, 1.00]"
Broad focus statement,Peruvian,"0.96 [0.96, 0.97]","0.99 [0.98, 1.00]"
Broad focus statement,Puerto Rican,"0.93 [0.92, 0.94]","0.99 [0.99, 1.00]"
Narrow focus statement,Andalusian,"0.89 [0.87, 0.90]","0.94 [0.93, 0.95]"
Narrow focus statement,Argentine,"0.95 [0.94, 0.96]","0.99 [0.98, 0.99]"
Narrow focus statement,Chilean,"0.90 [0.88, 0.91]","0.92 [0.90, 0.94]"
Narrow focus statement,Cuban,"0.94 [0.92, 0.95]","0.98 [0.97, 0.99]"
Narrow focus statement,Madrileño,"0.93 [0.92, 0.95]","0.99 [0.98, 1.00]"
Narrow focus statement,Mexican,"0.93 [0.92, 0.95]","1.00 [1.00, 1.00]"
Narrow focus statement,Peruvian,"0.94 [0.93, 0.95]","1.00 [0.99, 1.00]"
Narrow focus statement,Puerto Rican,"0.95 [0.94, 0.96]","0.97 [0.96, 0.98]"
Wh- question,Andalusian,"0.67 [0.64, 0.69]","0.92 [0.91, 0.93]"
Wh- question,Argentine,"0.63 [0.60, 0.65]","0.87 [0.85, 0.90]"
Wh- question,Chilean,"0.89 [0.87, 0.90]","1.00 [1.00, 1.00]"
Wh- question,Cuban,"0.56 [0.54, 0.58]","0.85 [0.82, 0.87]"
Wh- question,Madrileño,"0.96 [0.96, 0.97]","1.00 [1.00, 1.00]"
Wh- question,Mexican,"0.76 [0.74, 0.78]","0.94 [0.93, 0.96]"
Wh- question,Peruvian,"0.67 [0.64, 0.69]","0.85 [0.83, 0.88]"
Wh- question,Puerto Rican,"0.61 [0.59, 0.64]","0.90 [0.88, 0.92]"
y/n question,Andalusian,"0.80 [0.78, 0.82]","0.97 [0.96, 0.98]"
y/n question,Argentine,"0.60 [0.58, 0.63]","0.90 [0.88, 0.92]"
y/n question,Chilean,"0.61 [0.59, 0.63]","0.85 [0.82, 0.87]"
y/n question,Cuban,"0.13 [0.11, 0.14]","0.55 [0.52, 0.58]"
y/n question,Madrileño,"0.85 [0.83, 0.87]","0.97 [0.96, 0.98]"
y/n question,Mexican,"0.80 [0.78, 0.82]","0.92 [0.90, 0.94]"
y/n question,Peruvian,"0.72 [0.70, 0.74]","0.94 [0.93, 0.96]"
y/n question,Puerto Rican,"0.28 [0.26, 0.30]","0.80 [0.77, 0.82]"
